RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
120|Robbie John Hummel|PUR|F|35|32.2|16.4|5.5|13.3|41.7|2.1|5.4|38.3|3.2|3.9|82.5|7.2|1.9|0.7|1.2|0.9
121|Jordan Burgason|LIP|G|19|33.6|16.4|5.2|10.8|48.3|3.7|7.1|52.6|2.2|2.8|79.2|3.2|1.6|0.5|0.2|2.1
122|Jamal Wilson|URI|G|11|34.3|16.4|5.5|13.9|39.2|1.1|4.1|26.7|4.4|5.3|82.8|5.1|2.1|1.2|0.2|3.1
123|Rian Pearson|TOL|G|36|32.3|16.4|6.4|13.5|47.5|0.2|0.9|25.8|3.3|4.9|68.0|8.3|1.9|1.6|0.4|2.6
124|Tyler Zeller|UNC|F|38|28.2|16.3|5.8|10.5|55.3|0.0|0.0|0.0|4.8|5.9|80.8|9.6|0.9|0.9|1.5|1.9
125|Mitchell Watt|BUFF|F|31|30.2|16.3|6.1|11.0|55.4|0.4|1.1|32.4|3.7|5.0|74.4|7.5|2.3|0.6|2.2|2.6
126|Draymond Green|MSU|F|37|33.2|16.2|5.7|12.8|44.9|1.4|3.6|38.8|3.4|4.7|72.3|10.6|3.8|1.5|1.0|3.0
127|Steven Pledger|OU|G|30|32.9|16.2|5.7|12.3|45.9|2.4|5.8|41.6|2.5|3.0|83.3|3.9|1.6|1.0|0.2|1.9
128|Isaiah Wilkerson|NJIT|G|32|31.1|16.2|5.6|12.9|43.4|1.4|3.7|37.3|3.6|4.4|81.6|6.6|2.1|1.8|0.2|1.7
129|Jeffery Taylor|VAN|F|36|32.1|16.1|5.8|11.8|49.3|1.8|4.3|42.3|2.6|4.4|60.5|5.6|1.7|1.3|0.4|2.2
130|Drew Crawford|NU|G|33|34.6|16.1|5.9|12.2|48.4|1.8|4.5|41.2|2.5|3.5|70.4|4.7|2.1|1.2|0.6|1.6
131|Matt Dickey|UNCA|G|34|33.2|16.1|4.5|10.0|44.8|1.8|5.0|36.7|5.4|6.2|86.7|3.3|3.6|1.5|0.1|2.4
131|Anthony Ireland|LMU|G|34|36.5|16.1|5.6|12.7|44.0|1.5|4.4|33.8|3.5|4.5|77.1|3.9|4.9|1.7|0.0|3.1
133|Ian Hummer|PRIN|C|32|32.1|16.1|5.9|12.7|46.7|0.6|1.9|31.7|3.6|5.4|67.1|7.3|3.2|1.4|1.2|2.8
134|Tahj Tate|DSU|G|24|35.3|16.1|6.0|13.8|43.9|1.2|3.5|33.3|2.8|3.7|76.4|2.6|2.7|1.3|0.2|2.3
135|Cameron Moore|UAB|F|31|35.8|16.1|6.3|13.0|48.3|0.2|0.7|21.7|3.3|5.4|61.3|10.5|1.3|0.6|2.4|2.1
135|Travis McKie|WAKE|F|31|34.5|16.1|5.6|11.8|47.8|1.1|2.8|37.9|3.7|5.0|73.7|7.0|1.1|0.8|0.6|2.5
137|Jordan Theodore|HALL|G|34|36.1|16.1|5.2|13.3|38.9|1.3|4.1|31.9|4.4|5.4|82.4|3.1|6.6|1.8|0.1|2.9
138|Savalace Townsend|UAPB|G|33|37.4|16.0|5.2|12.5|41.1|1.1|3.1|34.0|4.7|6.4|73.3|4.7|3.1|2.2|0.7|3.0
139|Andre Jones|WIN|G|32|34.7|16.0|5.7|13.2|43.2|1.7|4.9|34.0|3.0|3.7|79.8|3.2|1.7|1.2|0.3|2.4
140|Velton Jones|RMU|G|37|29.6|16.0|4.4|12.4|35.4|1.6|5.0|32.3|5.6|7.3|76.7|2.8|4.5|1.8|0.0|2.7
141|Tony Wroten|WASH|G|35|30.3|16.0|5.7|12.8|44.3|0.3|1.6|16.1|4.4|7.5|58.3|5.0|3.7|1.9|0.4|3.8
142|James Nunnally|UCSB|G|31|33.7|16.0|5.8|12.4|47.0|1.8|5.0|37.0|2.5|3.2|79.6|5.9|2.8|0.7|0.3|2.5
143|A.J. Davis|JMU|G|32|32.4|15.9|5.3|12.1|43.7|1.7|5.0|33.1|3.7|5.1|73.5|4.7|1.9|1.7|0.3|2.7
144|Antwaine Wiggins|COFC|F|31|34.9|15.9|5.7|12.9|43.9|1.9|5.4|35.7|2.6|4.6|57.7|6.5|2.2|1.1|0.5|2.4
145|Jeremy Granger|EIU|G|29|33.6|15.9|5.8|12.5|46.4|1.0|2.7|37.2|3.3|3.9|85.8|3.4|3.0|1.0|0.1|2.3
146|Travis Bader|OAK|G|36|36.2|15.9|5.2|12.3|42.6|3.4|8.7|39.5|2.0|2.6|77.7|3.2|1.2|0.9|0.1|1.0
147|J.J. Avila|CSU|F|21|33.4|15.9|5.9|12.1|48.6|1.0|3.6|27.6|3.1|4.0|78.3|7.2|2.9|1.8|0.5|2.5
148|Kenny Boynton|FLA|G|37|31.6|15.9|5.1|11.5|44.0|3.0|7.3|40.7|2.8|3.7|75.4|2.6|2.7|0.8|0.0|1.4
149|Landon Clement|NCCU|G|9|31.6|15.9|5.1|11.9|43.0|3.7|8.3|44.0|2.0|2.1|94.7|1.6|2.0|0.6|0.0|1.4
149|Quinn|NORF|C|36|31.3|15.9|5.7|9.9|57.3|0.2|0.9|18.8|4.3|6.2|69.6|10.3|1.4|0.7|2.6|2.6
