RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Tyler Harvey|EWU|G|32|36.9|23.1|7.2|15.3|46.9|4.0|9.3|43.1|4.7|5.5|85.2|3.6|2.6|1.1|0.1|2.0
2|Zeek Woodley|NWST|G|32|31.5|22.2|8.2|14.6|56.0|1.2|3.1|39.8|4.6|5.7|81.3|5.0|1.1|1.0|0.7|1.2
3|Tyler Haws|BYU|G|35|32.1|22.2|7.4|15.4|48.0|1.5|4.2|36.7|5.9|6.7|87.3|4.5|2.4|0.9|0.3|2.0
4|Denzel Livingston|UIW|G|29|36.9|21.5|6.6|14.4|45.5|1.6|4.6|34.3|6.8|8.5|80.5|5.9|2.9|2.6|1.3|2.8
5|Damion Lee|LOU|G|27|38.1|21.4|6.3|14.4|43.8|2.4|6.3|38.5|6.4|7.2|88.7|6.1|2.3|1.5|0.3|1.9
6|Saah Nimley|CHSO|G|31|35.7|21.4|5.9|15.4|38.4|3.5|9.9|35.8|6.0|7.4|82.0|4.1|4.1|0.9|0.0|2.7
7|Amere May|DSU|G|32|34.2|21.0|7.1|17.0|41.8|2.8|7.2|38.7|4.0|4.9|82.1|4.2|2.7|1.0|0.2|2.9
8|Corey Hawkins|UCD|G|28|33.4|20.9|6.7|13.4|50.3|2.9|5.9|48.8|4.6|5.6|82.2|4.9|3.4|1.4|0.2|3.0
9| Newbill|PSU|G|34|37.1|20.7|7.1|15.9|45.0|1.8|4.9|37.0|4.6|6.1|75.8|4.7|3.1|1.3|0.2|2.6
10|Joe Young|ORE|G|36|36.7|20.7|7.4|16.4|44.8|2.5|7.1|35.7|3.4|3.7|92.5|4.4|3.8|1.1|0.0|2.4
11|Chavaughn Lewis|MRST|F|29|35.7|20.6|7.0|16.9|41.3|1.4|4.9|28.9|5.1|7.7|66.5|5.3|2.7|2.3|0.8|3.6
12|Ty Greene|UPST|G|35|34.0|20.3|6.6|14.9|44.4|2.9|7.2|40.7|4.1|5.4|75.1|3.1|2.1|2.1|0.2|1.3
13|Jalen Riley|ETSU|G|29|27.5|20.2|5.7|14.7|38.7|2.8|7.4|37.4|6.1|7.4|82.7|2.3|2.7|1.7|0.1|2.8
14|Cameron Payne|MUR|G|35|32.2|20.2|7.0|15.3|45.6|2.4|6.4|37.7|3.8|4.8|78.7|3.7|6.0|1.9|0.5|2.5
15| English|IONA|G|34|37.4|20.1|6.2|14.4|43.2|3.1|8.1|38.7|4.6|5.8|78.7|5.1|5.1|1.4|0.5|3.8
