RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Antoine Davis|DETM|G|33|37.3|28.2|9.2|22.2|41.4|4.8|11.7|41.2|5.0|5.5|90.7|3.0|3.6|1.2|0.1|3.3
2|Jordan Dingle|SJU|G|28|33.5|23.4|7.8|16.8|46.4|2.8|7.7|35.6|5.1|6.0|85.6|3.6|2.3|1.1|0.1|2.9
3|Darius McGhee|LIB|G|36|31.9|22.8|7.6|17.3|43.9|4.5|11.4|39.4|3.1|3.6|86.7|3.3|3.0|1.6|0.2|1.9
4|Elijah Pepper|UCD|G|31|35.5|22.5|7.4|16.5|44.9|2.2|6.8|32.2|5.5|6.7|81.6|5.9|3.4|1.6|0.2|3.5
5|Jordan Walker|UAB|G|33|33.5|22.3|7.0|17.4|40.3|4.1|10.8|37.8|4.2|4.9|84.6|2.8|4.2|1.2|0.0|2.8
6|Zach Edey|PUR|C|34|31.7|22.3|8.5|14.1|60.7|0.0|0.0|0.0|5.2|7.1|73.4|12.9|1.5|0.2|2.1|2.3
7|Taevion Kinsey|MRSH|G|32|37.8|22.1|8.5|15.6|54.2|0.6|1.5|40.4|4.5|6.1|74.4|4.9|5.4|1.7|0.5|2.2
8|Kendric Davis|MEM|G|34|35.0|21.9|6.7|16.2|41.4|1.9|5.5|34.6|6.6|7.7|85.4|3.7|5.4|2.0|0.2|3.1
9|Max Abmas|TEX|G|34|36.1|21.9|6.9|15.7|43.6|3.5|9.4|37.3|4.6|5.1|91.9|4.4|4.0|1.1|0.2|2.0
10|Josh Cohen|MASS|F|31|33.7|21.8|8.3|14.2|58.5|0.0|0.0|0.0|5.2|8.0|65.6|8.3|2.5|0.9|0.9|1.8
11|Xavier Castaneda|AKR|G|31|33.7|21.7|5.7|13.7|41.5|3.5|9.1|39.0|6.8|7.9|86.2|4.3|2.9|1.0|0.1|2.2
12|James Bishop |IVGW|G|32|37.7|21.6|7.5|17.5|42.9|2.0|6.7|29.9|4.6|6.0|76.6|2.3|5.2|0.8|0.3|2.9
13|Cam Shelton|LMU|G|31|35.6|21.4|7.8|16.0|49.1|1.8|4.7|37.9|4.0|5.6|70.3|5.4|4.3|1.8|0.2|2.5
14|Drew Timme|GONZ|F|37|31.6|21.2|8.5|13.7|61.6|0.1|0.6|16.7|4.2|6.7|63.2|7.5|3.2|0.6|1.0|2.6
15|Drew Pember|UNCA|F|35|33.7|20.9|5.9|12.6|46.4|1.6|4.4|37.3|7.6|9.1|83.6|9.1|2.3|0.9|2.3|3.4
16|Trayce Jackson-Davis|IU|F|32|34.6|20.9|8.2|14.1|58.1|0.0|0.0|0.0|4.6|6.6|69.5|10.8|4.0|0.8|2.9|2.5
17|Jameer Nelson Jr.|TCU|G|29|35.2|20.6|6.7|15.0|44.5|1.7|5.6|30.7|5.5|7.1|77.6|4.6|3.6|2.4|0.6|3.1
18|Sam Sessoms|COPP|G|32|36.5|20.5|7.5|14.7|50.9|1.8|5.0|34.8|3.8|4.7|80.1|4.3|5.0|2.0|0.1|3.9
19|Trey Calvin|WRST|G|32|34.4|20.3|7.8|15.9|49.2|1.7|4.3|39.0|3.1|3.5|88.3|2.9|3.7|1.3|0.3|2.8
20|Justin Johnson|RGV|G|31|34.3|20.3|6.7|15.1|44.1|1.0|3.2|30.3|6.0|8.8|67.9|5.1|3.0|0.8|0.1|3.8
21|Kris Murray|IOWA|F|29|34.8|20.2|7.5|15.7|47.6|2.3|6.8|33.5|3.0|4.1|72.9|7.9|2.0|1.0|1.2|1.5
22|Aaron Estrada|ALA|G|31|37.2|20.2|7.7|16.2|47.8|2.3|6.1|36.8|2.5|3.0|80.9|5.5|4.3|1.5|0.2|3.1
23|Dalton Knecht|TENN|G|32|35.3|20.2|7.3|15.3|47.9|2.4|6.3|38.1|3.2|4.1|77.1|7.2|1.8|0.8|0.6|2.1
24|Andrew Taylor|MSST|G|32|36.5|20.2|7.9|19.0|41.7|2.6|7.1|36.4|1.8|2.2|80.0|4.7|4.7|2.1|0.0|3.0
25|Denver Jones|AUB|G|28|33.5|20.1|6.7|14.0|47.8|2.1|5.7|37.1|4.7|5.5|84.5|3.8|2.0|1.8|0.0|3.2
26|Jalen Wilson|KU|F|36|35.4|20.1|6.9|16.0|43.0|1.9|5.8|33.7|4.4|5.5|79.9|8.3|2.2|0.9|0.5|2.3
27|Jalen Cook|LSU|G|26|34.4|19.9|7.1|15.7|45.2|2.2|6.3|34.5|3.6|4.2|84.5|2.9|4.9|1.8|0.0|2.9
28|Brandin Podziemski|SCU|G|32|36.0|19.9|6.9|14.4|48.3|2.5|5.8|43.8|3.5|4.5|77.1|8.8|3.7|1.8|0.5|2.3
29|Azuolas Tubelis|ARIZ|F|35|30.2|19.8|7.8|13.7|57.0|0.3|0.9|31.3|3.9|5.1|76.4|9.1|2.0|1.1|0.7|2.4
30|Erik Reynolds |IIJOES|G|33|35.1|19.6|6.2|14.5|43.0|3.0|7.9|37.9|4.2|4.8|88.5|3.1|2.5|1.3|0.4|2.2
31|Jalen Moore|OAK|G|29|38.0|19.6|5.7|13.2|42.7|1.3|4.8|26.4|7.0|8.4|84.0|3.8|5.6|2.3|0.1|3.4
32|DeMarcus Sharp|APSU|G|33|34.4|19.5|7.6|16.5|46.1|0.9|1.6|54.7|3.4|4.2|80.7|5.0|5.0|1.9|0.8|2.5
33|RayJ Dennis|BAY|G|35|33.9|19.5|7.6|15.6|48.4|1.5|4.1|36.6|2.9|3.7|76.9|4.3|5.8|1.5|0.2|1.9
34|Noah Thomasson|UGA|G|31|36.4|19.5|7.5|15.5|48.1|1.7|4.5|38.6|2.8|4.3|66.7|3.8|3.5|0.7|0.4|2.5
35|Ben Krikke|IOWA|F|32|35.7|19.4|7.6|13.8|55.2|0.5|1.9|27.9|3.7|4.6|79.6|5.9|2.1|0.5|0.9|2.2
36|Isaac Jones|WSU|F|31|31.5|19.4|7.3|11.6|62.9|0.2|0.6|31.6|4.5|6.7|67.6|7.8|1.7|0.6|1.1|2.0
37|Jr. Clay|TNST|G|30|34.1|19.3|6.5|15.1|43.2|2.1|6.3|33.2|4.2|5.4|77.6|5.0|5.5|1.5|0.3|3.6
38|Jordan Brown|MEM|C|33|31.9|19.3|7.5|13.1|57.1|0.1|0.5|25.0|4.3|7.0|61.3|8.6|1.8|0.7|1.2|2.8
39|Emoni Bates|EMU|F|30|33.5|19.2|6.4|15.9|40.5|2.5|7.7|33.0|3.8|4.9|78.2|5.8|1.4|0.7|0.5|2.5
40|Jamal Mashburn Jr.|UNM|G|34|33.6|19.1|6.9|16.0|42.8|1.4|3.6|38.2|4.1|5.0|81.7|3.2|2.1|0.7|0.1|1.6
41|Patrick Gardner|MRST|C|33|30.9|19.1|7.4|14.8|49.7|1.7|4.5|38.3|2.7|3.9|67.7|6.6|1.9|0.8|1.0|2.5
42|EJ Harkless|UNLV|G|32|31.0|19.1|6.0|14.6|41.4|1.7|5.8|28.6|5.4|6.9|77.8|5.1|3.4|1.6|0.2|2.8
43|Tyler Burton|VILL|F|33|36.2|19.0|6.3|14.0|44.9|1.7|5.7|29.3|4.7|6.2|76.1|7.4|1.5|1.5|0.5|2.2
43|Trenton Massner|WIU|G|29|35.6|19.0|6.7|15.2|43.9|2.9|8.2|35.7|2.7|3.2|83.0|5.2|5.4|1.6|0.3|2.7
45|Isaiah Moore|USA|G|34|33.5|18.9|7.9|14.9|53.0|0.2|1.2|19.5|2.9|4.0|72.6|3.3|4.6|1.3|0.2|2.9
46|Tyree Appleby|WAKE|G|33|36.7|18.8|5.6|13.2|42.7|2.3|6.5|36.0|5.2|6.4|82.0|3.5|6.4|1.8|0.1|3.4
47|Ben Sheppard|BEL|G|32|34.3|18.8|6.8|14.2|47.5|2.5|6.0|41.5|2.8|4.2|68.4|5.2|2.9|1.4|0.2|2.2
48|Marques Warrick|NKU|G|35|34.4|18.8|6.5|15.0|43.1|2.5|6.5|38.2|3.4|4.2|81.6|2.3|2.6|1.3|0.3|2.1
49|Chris Ledlum|SJU|G|28|31.4|18.8|7.1|15.0|47.3|1.4|4.9|29.4|3.3|5.1|63.6|8.5|1.6|1.8|1.1|2.6
50|Brandon Miller|ALA|F|37|32.7|18.8|6.0|13.9|43.0|2.9|7.5|38.4|3.9|4.6|85.9|8.2|2.1|0.9|0.9|2.2
51|Quincy Olivari|XAV|G|35|33.6|18.7|6.1|14.7|41.3|2.7|7.4|36.4|3.8|4.8|79.3|5.9|2.2|1.0|0.1|2.5
52|Isaiah Burke|MORG|G|31|34.5|18.7|6.5|14.3|45.1|3.0|7.1|42.0|2.8|3.9|71.9|2.3|2.8|1.5|0.3|2.8
53|Cameron Tyson|SEA|G|30|32.9|18.6|5.9|15.5|38.1|3.2|9.6|33.6|3.6|4.5|79.4|4.4|0.8|0.7|0.0|1.8
54|Tucker DeVries|DRKE|G|34|33.1|18.6|6.2|14.0|44.6|2.6|6.9|37.3|3.5|4.2|83.8|5.7|1.8|1.1|0.2|1.5
55|Hunter Dickinson|KU|C|34|32.7|18.5|7.2|12.8|56.0|0.7|1.7|42.1|3.4|4.7|72.7|9.0|1.5|0.5|1.8|2.0
56|Jaylen Forbes|TULN|G|31|36.5|18.5|5.6|13.2|42.5|2.8|7.3|38.8|4.4|5.1|86.1|5.0|1.7|1.9|0.4|1.5
57|Bryce Pope|UCSD|G|29|35.5|18.4|6.8|15.7|43.1|1.9|6.1|31.6|2.9|3.7|78.7|4.4|1.5|1.2|0.4|1.4
58|DaRon Holmes |IIDAY|F|34|34.2|18.4|6.8|11.5|59.0|0.2|0.6|31.6|4.6|6.9|66.9|8.1|1.7|0.7|1.9|2.3
59|Zyon Pullin|FLA|G|29|33.9|18.3|7.0|14.3|48.6|0.9|2.3|39.4|3.5|4.5|77.1|4.4|4.2|0.9|0.1|2.4
60|e Moffitt|IDHO|G|32|34.4|18.3|6.5|13.8|47.3|0.6|2.4|26.3|4.6|5.5|83.5|2.7|4.8|0.8|0.0|3.0
61|Zeke Mayo|SDSU|G|32|35.7|18.2|6.2|14.5|42.6|2.6|7.0|36.9|3.2|3.6|90.4|6.2|3.4|1.0|0.2|3.0
62|BJ Freeman|MILW|G|32|30.6|18.2|5.8|14.4|40.6|2.3|6.9|33.6|4.2|5.0|83.1|5.1|2.9|0.8|0.3|3.2
63|Cameron Parker|PRST|G|29|34.7|18.1|5.3|10.2|52.5|0.7|1.7|42.9|6.7|8.1|82.6|3.7|6.3|1.1|0.1|2.6
64|Phillip Russell|UTA|G|34|32.5|18.1|5.3|13.3|39.8|2.4|6.7|36.1|5.1|6.3|80.5|2.9|5.1|1.6|0.1|2.9
65|Jordan Johnson|UNO|G|27|33.6|18.0|5.7|12.4|46.1|3.4|7.1|48.2|3.2|3.9|81.9|2.3|3.8|1.3|0.0|2.9
66|Dwayne Cohill|YSU|G|34|34.1|18.0|6.2|12.3|50.6|1.6|3.6|43.1|3.9|4.6|86.5|3.5|4.8|1.4|0.3|2.7
67|Terquavion Smith|NCSU|G|34|33.6|17.9|6.1|16.1|38.0|2.7|8.0|33.6|3.0|4.3|70.1|3.6|4.1|1.4|0.4|2.2
68|Khalif Battle|ARK|G|27|32.2|17.9|5.7|14.0|41.0|2.9|8.1|35.0|3.6|4.0|89.8|3.6|1.8|1.0|0.1|2.3
69|Bowen Born|UNI|G|32|33.3|17.9|5.5|13.5|40.9|2.5|6.8|36.7|4.3|5.2|83.7|2.3|2.7|0.9|0.0|2.3
70|Isaiah Stevens|CSU|G|26|36.8|17.9|6.6|14.2|46.5|1.8|4.9|37.8|2.9|3.3|86.2|3.4|6.7|0.8|0.3|2.2
71|Grant Nelson|ALA|F|30|30.6|17.9|6.6|12.7|52.1|0.8|3.1|26.9|3.8|5.2|72.0|9.3|2.1|0.8|1.7|2.6
72|Mike Miles Jr.|TCU|G|27|32.0|17.9|5.9|11.8|49.7|1.4|3.9|36.2|4.7|6.3|74.9|2.7|2.7|1.2|0.3|2.6
73|Jaime Jaquez Jr.|UCLA|G|37|33.2|17.8|7.1|14.7|48.1|0.9|2.8|31.7|2.8|3.6|77.0|8.2|2.4|1.5|0.6|1.8
74|Khalil Shabazz|SF|G|34|35.4|17.8|5.4|13.2|40.6|2.8|7.9|35.2|4.3|5.0|85.9|5.4|3.0|2.1|0.1|2.3
75|Ray Harrison|GCU|G|36|32.1|17.8|5.7|12.9|44.2|1.4|4.2|32.9|4.9|6.5|76.1|4.0|3.6|0.7|0.2|2.4
76|Jarred Godfrey|PFW|G|31|33.2|17.8|5.6|13.7|40.7|2.3|6.8|33.8|4.3|4.8|89.3|5.3|3.6|1.6|0.5|3.0
77|Tevian Jones|SUU|G|36|33.8|17.8|5.4|13.2|40.7|2.4|6.5|36.2|4.7|5.5|84.4|4.4|1.3|1.1|0.1|2.2
77|Joe Bryant Jr.|NORF|G|32|32.3|17.8|5.6|13.1|42.7|2.1|5.8|37.0|4.4|5.3|84.0|4.4|3.1|1.8|0.3|2.2
79|Jalen Pickett|PSU|G|37|36.5|17.7|7.0|13.8|50.8|1.2|3.2|38.1|2.4|3.2|76.3|7.4|6.6|0.9|0.5|2.3
80|Keion Brooks Jr.|WASH|F|30|35.4|17.7|6.2|14.3|43.3|1.1|3.7|28.6|4.2|5.3|79.4|6.7|1.4|0.7|1.2|3.2
81|Nicolas Timberlake|KU|G|33|35.7|17.7|6.0|13.1|45.5|2.8|6.7|41.6|3.0|3.5|84.5|3.9|2.4|1.0|0.4|2.4
82|Mike Bothwell|FUR|G|36|33.4|17.7|5.9|11.4|51.7|1.4|4.1|34.2|4.5|5.5|82.2|3.4|2.8|0.9|0.1|1.6
83|DeAndre Williams|MEM|F|35|31.0|17.7|6.8|12.8|53.2|0.8|2.1|40.3|3.2|4.4|73.2|8.2|2.9|1.5|0.9|2.3
83|RaeQuan Battle|WVU|G|35|29.7|17.7|6.4|13.6|46.9|1.5|4.3|35.3|3.4|4.1|83.3|2.9|0.9|0.8|0.5|1.5
85|Shaun Doss Jr.|UAPB|G|31|36.5|17.7|5.5|13.3|41.4|1.0|2.9|33.0|5.7|7.0|82.4|4.6|2.2|1.5|0.6|2.6
86|KJ Williams|LSU|F|33|32.9|17.7|6.5|13.3|49.0|1.8|4.3|41.1|2.9|3.7|78.5|7.7|0.9|1.2|0.8|1.5
86|Boogie Ellis|USC|G|33|33.1|17.7|5.8|13.3|43.4|2.5|6.5|38.6|3.6|4.5|80.5|3.7|3.1|1.4|0.2|1.9
86|Jacob Ognacevic|LIP|F|33|26.6|17.7|6.7|11.0|60.7|0.8|2.7|29.5|3.5|4.1|85.2|4.4|0.6|0.2|0.3|1.3
89|El Ellis|ARK|G|32|36.0|17.7|5.9|14.4|41.0|1.8|5.8|31.9|4.0|4.9|81.0|2.6|4.4|1.0|0.1|3.8
90|Nate Calmese|WASH|G|31|31.4|17.6|6.5|13.6|48.1|2.0|5.4|36.7|2.6|3.4|75.5|2.5|2.0|1.2|0.3|2.4
91|Markquis Nowell|KSU|G|36|36.9|17.6|5.0|12.9|38.6|2.4|6.9|35.5|5.1|5.8|88.9|3.5|8.3|2.6|0.1|3.7
92|Jalen Cone|CAL|G|33|33.1|17.6|5.7|13.5|42.4|2.9|7.3|40.0|3.2|3.7|86.2|2.8|2.5|0.8|0.0|2.5
93|Sincere Carry|KENT|G|35|36.7|17.5|6.1|15.0|40.8|1.8|6.0|30.5|3.5|4.3|81.2|3.7|4.8|1.7|0.2|2.6
94|Zhuric Phelps|SMU|G|30|31.3|17.5|6.2|15.8|39.4|1.6|5.1|30.9|3.4|5.6|60.9|3.7|3.2|2.3|0.3|2.7
95|Jordan Minor|UVA|F|28|33.5|17.4|6.6|12.9|51.5|0.0|0.3|11.1|4.1|7.0|58.7|9.4|2.3|1.4|2.6|2.8
96|Keyontae Johnson|KSU|F|36|34.1|17.4|6.6|12.7|51.6|1.3|3.2|40.5|3.0|4.2|71.5|6.8|2.1|1.0|0.2|2.9
97|Brendan Adams|GW|G|32|37.6|17.4|5.9|12.5|47.0|2.3|6.1|37.9|3.3|4.0|83.5|4.2|2.9|0.7|0.2|2.5
98|Omari Moore|SJSU|G|35|36.4|17.4|6.3|14.8|42.9|1.9|5.7|33.8|2.8|3.7|75.8|4.7|4.8|0.7|0.7|2.6
99|Claudell Harris Jr.|BC|G|30|31.3|17.4|6.3|13.7|46.0|2.2|6.6|33.3|2.6|3.3|78.6|3.9|2.3|0.9|0.2|2.0
100|Tylor Perry|KSU|G|36|34.1|17.3|4.9|11.3|43.7|3.1|7.5|41.3|4.4|5.0|87.2|3.4|2.1|1.3|0.1|1.7
101|Lamar Norman Jr.|WMU|G|30|36.4|17.3|5.9|14.5|40.6|2.8|8.4|33.6|2.7|3.3|83.7|2.8|3.1|0.9|0.1|2.0
102|Boo Buie|NU|G|34|34.9|17.3|5.9|14.4|40.6|1.9|5.9|31.8|3.7|4.3|86.9|3.4|4.5|1.1|0.1|2.4
103|Kam Woods|NCSU|G|31|34.9|17.3|5.7|14.8|38.5|2.7|7.9|33.7|3.2|4.5|71.2|4.2|3.3|1.6|0.0|2.5
104|RayQuawndis Mitchell|PSU|G|32|35.5|17.3|5.0|14.6|34.5|2.5|8.1|30.5|4.8|5.7|83.5|3.8|1.6|0.8|0.1|3.1
105|Marcellus Earlington|USD|G|30|28.8|17.3|6.0|12.3|48.9|1.2|3.5|35.6|4.0|5.0|78.8|6.8|1.5|0.9|0.2|2.2
105|Jaden House|URI|G|30|28.8|17.3|5.8|13.5|43.2|1.1|4.1|27.9|4.5|6.9|64.7|3.9|2.3|0.7|0.1|2.9
107|Daylen Kountz|UNCO|G|32|34.0|17.3|5.8|13.3|43.8|1.0|3.1|33.0|4.5|5.7|79.2|3.0|2.9|0.8|0.1|2.5
107|Mekhi Lairy|M-OH|G|32|34.6|17.3|5.7|12.2|46.5|1.8|4.9|36.9|4.1|4.4|92.2|3.3|3.9|1.2|0.1|2.7
109|Terrence Shannon Jr.|ILL|G|31|32.0|17.2|5.1|11.6|44.2|1.6|5.0|32.1|5.4|6.8|79.0|4.6|2.8|1.3|0.5|2.6
110|Adama Sanogo|CONN|C|39|26.6|17.2|7.1|11.7|60.6|0.5|1.3|36.5|2.5|3.3|76.6|7.7|1.3|0.7|0.8|1.9
111|Sherif Gross-Bullock|BRY|G|29|29.7|17.1|5.7|12.2|46.6|2.2|5.7|39.6|3.5|4.9|71.3|4.5|2.8|0.9|0.1|3.0
112|Andrew Rohde|UVA|G|31|33.0|17.1|6.1|13.6|44.8|1.8|5.6|32.0|3.1|3.8|81.5|3.7|3.6|1.7|0.1|2.2
113|Maxwell Lewis|PEPP|F|31|31.4|17.1|6.1|13.0|46.8|1.5|4.3|34.8|3.5|4.4|78.7|5.7|2.8|0.8|0.8|3.3
114|Jarkel Joiner|NCSU|G|34|35.9|17.0|5.9|13.7|42.8|1.8|5.1|35.4|3.4|4.0|85.3|4.8|3.6|1.3|0.1|1.4
114|Shemarri Allen|UCF|G|29|34.7|17.0|5.9|14.3|41.4|0.8|2.4|34.3|4.3|6.0|71.8|5.0|2.7|2.0|0.4|2.4
116|Jarod Lucas|NEV|G|33|34.5|17.0|5.0|12.1|41.2|2.4|6.3|37.8|4.6|5.3|86.3|2.6|1.4|0.4|0.0|1.1
117|Cameron Gooden|UTU|G|28|31.8|17.0|5.5|11.4|48.1|2.0|4.9|39.9|4.0|5.0|80.0|2.7|3.4|1.0|0.0|2.8
118|Kenny Dye|QUOC|G|33|34.7|16.9|5.7|12.7|45.0|1.5|4.2|37.2|4.0|5.7|70.2|4.1|4.8|1.1|0.1|2.9
119|Jaelen House|UNM|G|32|31.4|16.9|5.3|12.3|43.4|1.8|4.7|37.7|4.5|5.3|85.3|3.9|4.7|2.7|0.6|2.2
120|Devontae Blanton|EKU|F|37|30.0|16.9|6.6|14.5|45.7|1.1|2.9|37.0|2.5|3.5|71.5|6.1|2.8|0.9|0.2|2.5
121|Tyler Harris|USF|G|32|32.0|16.9|5.4|13.8|39.5|3.0|7.9|38.5|3.0|3.6|83.3|2.8|3.3|0.9|0.1|2.5
121|Darius Quisenberry|FOR|G|32|35.3|16.9|5.1|13.2|38.5|2.2|6.9|31.5|4.6|5.5|82.5|3.8|3.2|1.2|0.0|1.7
123|Camren Hunter|CARK|G|30|33.9|16.9|6.1|14.3|42.3|1.7|5.4|31.1|3.1|3.9|78.6|5.0|3.9|1.5|0.6|2.8
124|Kino Lilly Jr.|BRWN|G|27|34.7|16.9|5.9|13.5|43.8|2.9|7.1|39.9|2.1|2.6|82.9|2.1|2.4|1.1|0.0|2.4
125|Landers Nolley |IICIN|G|36|32.1|16.8|5.9|13.2|44.7|2.7|6.4|41.7|2.3|3.1|75.0|5.8|2.6|1.0|0.5|2.2
126|Enrique Freeman|AKR|F|33|31.0|16.8|6.7|10.8|61.6|0.0|0.1|33.3|3.5|5.6|61.6|11.2|1.9|0.6|1.2|2.1
127|Walter Clayton Jr.|FLA|G|32|30.4|16.8|5.7|12.5|45.5|2.3|5.2|43.1|3.2|3.3|95.3|4.3|3.2|1.8|0.6|1.8
128|Marcus Sasser|HOU|G|36|30.8|16.8|5.3|12.1|43.8|2.7|6.9|38.4|3.6|4.2|84.8|2.8|3.1|1.6|0.2|1.6
129|Atin Wright|DRKE|G|31|32.7|16.7|4.9|12.5|39.4|2.0|6.1|32.8|4.9|5.6|86.3|3.2|1.7|1.4|0.0|2.1
130|Marcus Domask|ILL|F|33|35.4|16.7|5.7|12.8|44.7|1.6|4.7|34.8|3.6|4.2|87.6|5.8|3.8|1.0|0.4|2.9
130|Caleb Love|ARIZ|G|33|35.8|16.7|5.7|15.1|37.8|2.2|7.4|29.9|3.1|4.0|76.5|3.7|2.8|1.1|0.2|2.4
132|Dillon Jones|WEB|F|32|36.2|16.7|5.3|11.5|46.2|1.1|3.7|30.3|4.9|6.0|81.3|10.9|3.8|1.6|0.1|3.4
133|Wesley Cardet Jr.|CHST|G|31|33.9|16.6|5.3|11.7|45.3|1.0|3.0|34.4|5.0|6.2|81.3|5.0|3.1|1.0|0.6|3.1
134|Jonathan Cisse|UIW|G|30|33.9|16.6|5.2|12.5|41.9|1.8|4.4|40.2|4.4|5.0|88.6|3.0|2.8|1.5|0.0|2.5
135|Jalen Rucker|ARMY|G|33|32.8|16.6|6.2|13.6|45.5|1.5|5.0|30.1|2.7|3.3|83.3|4.1|3.6|0.8|0.1|2.8
136|Demetre Roberts|FDU|G|37|34.4|16.6|5.5|12.9|42.4|1.8|5.4|32.5|3.9|4.8|79.9|3.1|4.2|1.2|0.1|2.2
137|Jace Carter|TA&M|G|30|35.1|16.6|5.7|12.5|45.6|1.8|5.9|30.1|3.4|5.0|68.5|7.0|1.6|1.8|0.7|2.2
138|B.J. Mack|SC|F|32|31.2|16.6|6.0|12.1|49.2|1.6|4.8|33.5|3.0|3.7|80.7|5.6|1.4|0.6|0.4|1.4
139|Leon Ayers |IIIBGSU|G|31|30.1|16.5|6.0|12.7|47.3|1.3|3.2|41.4|3.1|3.9|80.8|4.0|3.1|0.9|0.3|2.1
140|Tyler Thomas|HOF|G|35|33.3|16.5|6.5|13.2|49.5|2.6|6.5|40.5|0.8|1.0|77.8|3.8|1.3|0.8|0.4|1.1
141|Trey Townsend|OAK|F|32|36.2|16.5|6.6|12.8|51.8|0.6|1.6|38.5|2.6|3.6|73.7|7.6|1.5|1.0|1.0|2.1
142|Dayvion McKnight|XAV|G|33|33.2|16.5|6.0|13.2|45.6|0.6|1.7|33.9|3.8|4.6|84.1|5.0|3.8|1.8|0.1|3.3
143|Carter Hendricksen|UNF|F|31|31.7|16.5|5.4|12.0|45.3|2.3|6.0|38.7|3.3|3.9|85.1|6.2|2.1|0.6|0.4|2.0
143|Caleb Huffman|NICH|G|31|29.1|16.5|6.7|13.0|52.0|1.9|4.9|39.5|1.1|2.1|51.6|5.1|1.5|2.1|0.2|1.9
145|Oscar Tshiebwe|UK|C|32|33.5|16.5|6.1|10.9|56.0|0.0|0.1|0.0|4.3|5.9|72.9|13.7|1.6|1.6|1.0|2.0
146|Joseph Girard |IIICLEM|G|32|34.4|16.4|5.5|13.7|40.3|2.8|7.2|38.1|2.6|3.1|85.7|2.8|3.0|0.8|0.0|2.4
147|Ishmael Leggett|PITT|G|31|34.5|16.4|5.1|12.9|39.3|1.5|4.8|32.0|4.7|5.6|84.5|5.8|2.4|1.4|0.3|2.3
