RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Reggie Williams|VMI|F|33|32.4|28.1|10.2|19.3|53.1|2.3|7.2|31.9|5.3|8.1|65.9|8.0|4.4|1.7|0.3|3.0
2|Trey Johnson|JKST|G|35|37.8|27.1|8.9|21.5|41.4|2.3|6.8|33.3|7.0|9.5|74.3|4.5|2.6|0.9|0.1|3.6
3|Morris Almond|RICE|F|32|33.4|26.4|8.2|17.0|48.3|2.4|5.3|45.6|7.5|8.9|84.6|6.6|1.2|1.2|0.8|3.4
4|Kevin Durant|TEX|G-F|35|35.9|25.8|8.7|18.5|47.3|2.3|5.8|40.4|6.0|7.3|81.6|11.1|1.3|1.9|1.9|2.8
5|Gary Neal|TOW|G|32|36.5|25.3|8.3|18.7|44.6|2.9|8.7|33.5|5.7|6.8|83.6|4.2|3.5|1.4|0.2|2.3
6|Bo Lester McCalebb|UNO|G|31|34.5|25.0|9.3|19.4|47.8|0.8|2.5|33.3|5.7|8.0|71.0|6.8|3.3|2.0|0.2|2.8
7|Rodney Stuckey|EWU|G|29|33.3|24.6|7.8|17.3|45.3|1.5|5.6|26.7|7.4|8.8|84.6|4.7|5.5|2.4|0.3|3.4
8|M|MD|G|29|35.1|22.2|7.1|16.0|44.1|2.0|5.8|34.3|6.0|8.1|74.8|5.0|2.7|1.9|0.4|4.1
9|Stephen Curry|DAV|G|34|30.9|21.5|7.1|15.4|46.3|3.6|8.8|40.8|3.6|4.3|85.5|4.6|2.8|1.8|0.2|2.8
10|Jaycee Carroll|USU|G|35|35.9|21.3|7.3|13.9|52.7|2.4|5.5|43.2|4.3|4.9|88.8|6.3|1.8|0.9|0.2|2.5
11|Alex Harris|UCSB|G|29|35.1|21.1|6.6|13.8|47.6|2.4|5.3|45.8|5.4|6.9|78.6|4.8|2.1|0.9|0.1|2.7
12|Adrian Banks|ARST|G|33|36.9|21.1|7.0|14.2|49.6|2.9|6.2|47.5|4.1|5.5|73.2|4.4|1.9|0.9|0.1|2.6
13| Reid|HPU|F|32|33.2|21.0|8.9|17.5|50.9|0.6|1.8|34.5|2.5|3.8|65.9|9.5|1.9|1.2|0.5|2.8
14|Kyle Hines|UNCG|F|29|32.0|20.9|8.0|14.5|55.5|0.0|0.2|16.7|4.8|7.9|60.0|9.0|0.9|1.4|2.2|2.6
15|Chris Lofton|TENN|G|31|29.6|20.8|6.6|13.8|47.9|3.4|8.2|41.9|4.2|5.1|81.1|3.1|1.7|1.5|0.1|1.6
16|Loren Stokes|HOF|G|33|37.9|20.6|7.3|15.2|47.8|0.9|2.5|37.3|5.1|7.6|67.1|5.6|3.0|1.2|0.3|2.7
17|Charron Fisher|NIA|G-F|27|33.5|20.6|7.0|15.3|45.6|1.4|3.8|36.3|5.3|6.9|76.8|8.0|1.1|0.9|0.5|3.0
18|Adam Haluska|IOWA|G|31|34.5|20.5|6.1|15.0|40.8|2.9|8.0|36.3|5.4|6.2|87.0|4.6|2.6|1.4|0.3|1.7
19|Caleb Green|ORU|F|34|34.8|20.5|6.1|12.1|50.1|0.2|0.5|35.3|8.2|10.8|76.0|9.3|2.6|1.4|0.4|4.0
20|DeAndre Rice|FAU|G|21|34.2|20.5|6.6|13.2|50.2|3.2|6.8|47.9|4.0|5.0|79.2|3.5|2.3|1.5|0.0|3.0
21|Nick Fazekas|NEV|F|32|30.3|20.4|7.8|13.7|56.8|0.9|2.0|43.1|4.0|4.7|84.8|11.1|1.8|0.8|1.5|2.0
22|Larry Blair|LIB|G|31|33.0|20.4|7.6|17.4|44.1|1.7|5.5|30.2|3.4|4.0|84.7|4.2|3.3|1.9|0.2|2.7
23|Bobby Brown|CSUF|G|27|34.6|20.2|7.0|14.9|46.8|3.0|7.6|38.8|3.3|4.2|78.9|2.7|5.1|1.3|0.1|3.6
24|Jason Thompson|RID|F|31|34.1|20.1|7.1|13.7|52.0|0.2|0.7|27.3|5.7|7.8|72.4|10.1|2.1|0.7|2.2|3.0
25|Dionte Christmas|TEM|G|30|34.3|20.0|6.4|13.7|46.6|2.9|7.3|40.0|4.3|4.9|87.1|4.2|2.1|1.4|0.4|2.4
25|Adam Gore|COR|G|1|36.0|20.0|7.0|13.0|53.8|5.0|10.0|50.0|1.0|1.0|100.0|2.0|4.0|1.0|0.0|2.0
27|Jarrius Jackson|TTU|G|34|38.0|19.9|6.6|15.2|43.3|2.3|5.3|43.6|4.4|5.6|78.9|3.3|1.8|1.4|0.0|1.4
28|Alando Tucker|WIS|F|36|32.8|19.9|7.1|15.1|47.0|1.1|3.4|32.5|4.6|6.9|65.9|5.4|2.0|0.9|0.3|1.7
29|Antoine Agudio|HOF|G|33|38.1|19.9|6.8|14.8|45.8|3.1|7.1|43.0|3.3|4.8|69.0|4.0|2.5|1.2|0.1|2.2
30|Brandon Ewing|WYO|G|31|37.0|19.9|6.0|13.6|44.0|1.6|5.4|29.9|6.3|7.8|80.5|3.2|3.1|1.3|0.1|2.7
31|Al Thornton|FSU|F|35|31.2|19.7|7.0|13.1|53.0|1.0|2.3|44.4|4.7|6.0|79.0|7.2|0.7|1.5|1.1|2.5
32|Dashaun Wood|WRST|G|33|36.2|19.6|6.8|15.5|43.5|1.8|4.8|37.3|4.3|4.9|88.3|5.1|4.0|1.9|0.2|2.5
33|Martin Samarco|BGSU|G|31|35.9|19.5|6.5|16.3|39.5|2.6|7.8|32.9|4.0|5.2|77.0|3.6|2.3|0.9|0.2|2.4
34|Mark Tyndale|TEM|G|24|34.2|19.4|6.8|12.7|53.9|1.0|2.3|42.9|4.7|6.6|71.1|6.7|2.8|1.5|0.5|2.7
35|Brandon Heath|SDSU|G|33|36.9|19.3|6.8|16.2|42.1|2.6|7.5|35.2|3.0|4.1|74.6|3.8|3.6|1.9|0.1|3.2
36|James Florence|MER|G|28|33.4|19.3|5.8|15.6|37.3|2.0|6.5|30.1|5.6|7.3|77.8|4.1|3.3|1.7|0.5|5.0
37|Chavis Holmes|VMI|G|32|25.2|19.2|5.9|14.4|40.9|3.4|8.7|39.0|4.1|5.5|74.4|3.3|2.1|2.8|0.3|2.5
38|Rob McKiver|HOU|G|33|37.5|19.2|6.1|16.1|37.8|3.5|10.4|33.8|3.5|4.8|72.5|3.2|3.4|1.3|0.0|3.0
39|Stefan Blaszczynski|NICH|G|24|35.8|19.2|6.2|13.6|45.6|1.7|4.9|35.0|5.0|6.5|78.1|7.0|3.2|1.3|0.3|3.1
40|Jared Dudley|BC|F|30|38.4|19.0|6.5|11.6|56.2|1.3|2.9|44.3|4.7|6.4|74.3|8.3|3.0|1.4|0.3|2.6
41|Sean Singletary|UVA|G|32|33.3|19.0|5.3|13.3|40.0|2.5|6.3|38.9|5.9|6.8|87.2|4.6|4.7|1.2|0.0|3.1
42|Mario Boggan|OKST|F-C|34|32.6|19.0|7.1|13.2|54.0|0.4|1.7|22.0|4.4|5.8|76.1|7.6|1.4|1.1|0.8|2.5
43|Demetris Nichols|SYR|F|35|34.8|18.9|6.4|14.4|44.7|2.9|6.9|41.7|3.2|3.8|85.0|5.4|1.5|1.4|1.1|2.2
