RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Stephen Curry|DAV|G|34|33.7|28.6|9.2|20.2|45.4|3.8|9.9|38.7|6.5|7.4|87.6|4.4|5.6|2.5|0.2|3.7
2|Lester Hudson|UTM|G|32|36.0|27.5|9.8|21.8|44.9|3.3|9.3|35.5|4.6|5.3|88.1|7.9|4.2|2.3|0.6|3.3
3|Jermaine Taylor|UCF|G|31|31.9|26.2|9.4|19.5|48.0|3.0|7.9|37.6|4.5|5.5|81.2|5.2|1.9|1.3|0.8|2.8
4|David Holston|CHST|G|32|34.9|25.9|8.4|19.8|42.6|4.6|12.3|37.2|4.5|5.5|82.4|3.7|6.4|3.0|0.0|4.1
5|Stefon Jackson|UTEP|G|37|36.1|24.5|7.6|17.8|42.7|0.9|2.8|30.8|8.4|10.1|83.4|5.4|1.9|1.1|0.1|2.1
6|Josh Emmanuel Akognon|CSUF|G|32|35.6|23.9|7.8|19.3|40.1|4.3|11.4|37.2|4.1|4.6|89.2|3.2|1.6|1.0|0.0|2.6
7|Ryan Toolson|UVU|G|28|37.1|23.8|7.2|15.5|46.4|2.6|6.8|38.9|6.8|7.3|92.7|3.8|3.1|1.0|0.3|2.5
8|Jodie Meeks|UK|G|36|34.4|23.7|7.3|15.8|46.3|3.3|8.0|40.6|5.9|6.5|90.2|3.4|1.8|1.3|0.1|2.7
9|Luke Harangody|ND|F|34|34.2|23.3|8.8|19.2|45.9|0.4|1.1|36.8|5.2|6.7|77.7|11.8|2.1|0.9|0.9|1.8
10|Ben Woodside|NDSU|G|33|34.5|23.2|7.1|15.3|46.4|2.0|4.8|42.7|7.0|8.3|84.0|3.2|6.2|1.4|0.2|3.2
11|Jeremy Hazell|HALL|G|32|36.3|22.7|7.3|17.2|42.7|3.3|9.1|36.2|4.7|6.4|74.0|3.8|0.9|1.8|0.0|2.2
12|Blake Griffin|OU|F|35|33.3|22.7|8.6|13.1|65.4|0.1|0.2|37.5|5.5|9.3|59.0|14.4|2.3|1.1|1.2|3.3
