RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Max Abmas|TEX|G|28|37.0|24.5|8.0|16.8|47.7|3.6|8.3|42.9|4.9|5.5|89.0|3.2|3.8|1.5|0.2|2.3
2|Luka Garza|IOWA|C|31|31.5|24.1|9.1|16.4|55.3|1.4|3.2|44.0|4.5|6.4|70.9|8.7|1.7|0.7|1.6|1.5
3|Antoine Davis|DETM|G|22|38.5|24.0|8.1|19.1|42.4|3.8|10.1|37.2|4.0|4.4|91.7|2.9|4.8|1.5|0.0|3.3
4|Cam Thomas|LSU|G|29|34.0|23.0|7.0|17.2|40.6|2.3|7.2|32.5|6.7|7.6|88.2|3.4|1.4|0.9|0.2|1.7
5|Loren Cristian Jackson|AKR|G|23|35.3|22.3|7.1|17.6|40.5|2.5|7.6|33.1|5.5|6.2|88.1|3.1|6.1|1.0|0.0|3.0
6|T.J. Starks|CSUN|G|20|33.6|21.7|7.8|17.2|45.5|1.9|5.2|36.9|4.2|5.4|78.5|3.0|3.0|1.4|0.1|3.0
7|Marcus Burk|IUPU|G|18|34.2|21.7|7.7|15.9|48.1|2.5|6.1|40.9|3.8|4.8|80.2|3.7|2.2|1.8|0.4|3.2
8|Terry Taylor|APSU|G|27|37.0|21.6|8.4|16.2|52.1|0.9|3.2|27.9|3.9|4.9|79.4|11.1|1.6|1.2|0.9|2.7
9|Stanley Umude|ARK|G|25|32.3|21.6|7.7|16.4|47.1|1.6|4.4|35.5|4.6|5.8|79.9|7.0|3.0|0.4|0.4|2.5
10|Justin Jaworski|LAF|G|15|36.1|21.5|7.0|15.1|46.3|2.6|6.5|39.8|4.9|5.3|91.3|3.7|2.3|1.5|0.0|2.3
11|Obadiah Noel|UML|G|18|34.1|21.4|6.7|13.7|48.6|1.6|4.9|32.6|6.4|8.6|75.3|4.8|3.3|1.2|0.2|3.4
12|Santi Aldama|ESP|PF|17|35.0|21.2|7.9|15.5|51.3|1.9|5.1|36.8|3.5|5.1|68.6|10.1|2.3|1.0|1.7|3.2
13|Davion Warren|TTU|G|25|34.9|21.2|7.5|16.4|45.5|1.9|6.4|30.2|4.3|5.7|75.5|6.3|3.0|2.1|0.6|3.7
14|Tristan Jarrett|JKST|G|18|31.8|21.1|6.7|15.9|42.0|2.4|6.7|35.8|5.3|6.3|84.2|5.3|1.4|1.4|0.4|3.0
15|Michael Flowers|WSU|G|28|37.2|21.0|6.7|15.3|43.8|3.1|8.1|38.8|4.5|5.5|81.8|4.6|3.6|1.6|0.1|3.0
16|Scotty Pippen Jr.|VAN|G|22|31.8|20.8|6.2|14.5|42.8|2.0|5.5|35.8|6.5|7.6|85.0|2.9|4.9|1.8|0.2|3.8
17|John-Michael Wright|OKST|G|22|33.5|20.7|6.9|16.4|41.8|2.2|6.4|34.3|4.8|6.2|77.9|5.2|3.2|1.6|0.3|2.2
18|Jamir Harris|HALL|G|10|38.7|20.5|6.7|14.2|47.2|3.9|8.9|43.8|3.2|4.2|76.2|2.8|3.5|1.0|0.0|3.3
