RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1|Erick Green|VT|G|32|36.4|25.0|8.2|17.2|47.5|1.9|4.9|38.9|6.8|8.3|81.6|4.0|3.8|1.3|0.2|2.2
2|CJ McCollum|LEH|G|12|31.0|23.9|8.0|16.2|49.5|2.8|5.3|51.6|5.2|6.1|84.9|5.0|2.9|1.4|0.3|2.7
3|Doug McDermott|CREI|F|36|31.6|23.2|7.9|14.4|54.8|2.1|4.4|49.0|5.3|6.0|87.5|7.7|1.6|0.2|0.1|2.6
4|Lamont Jones|IONA|G|34|36.6|22.6|7.2|16.5|43.9|1.6|5.2|31.5|6.5|7.3|88.8|3.0|3.4|1.2|0.1|3.4
5|Nate Wolters|SDSU|G|33|38.1|22.3|7.3|15.1|48.5|1.9|5.1|37.9|5.7|7.0|81.3|5.6|5.8|1.7|0.1|2.3
6|Travis Bader|OAK|G|33|38.2|22.1|6.2|15.8|39.4|4.2|10.9|38.6|5.4|6.1|88.6|2.9|1.0|0.9|0.1|1.4
7|Darren White|CAM|G|11|33.7|21.8|8.5|16.5|51.4|0.6|2.7|23.3|4.3|6.8|62.7|7.2|1.8|2.0|0.5|2.5
8|Isaiah Canaan|MUR|G|31|36.5|21.8|6.9|16.1|43.1|3.0|8.2|37.0|4.9|6.0|82.2|3.5|4.3|1.5|0.1|3.2
9|Tyler Haws|BYU|G|36|34.3|21.7|7.7|15.9|48.3|1.2|3.1|38.1|5.1|5.9|87.7|4.6|2.0|1.3|0.1|2.0
10|Kyle Vinales|CCSU|G|30|38.2|21.6|7.6|18.6|41.1|2.7|7.3|36.5|3.7|4.6|80.4|2.0|3.8|1.4|0.1|3.3
11|Shane Gibson|SHU|G|29|32.8|21.6|7.3|16.4|44.6|3.0|7.2|41.6|4.0|4.6|87.1|4.2|1.4|1.1|0.3|3.3
12|Stan Okoye|VMI|F|31|32.6|21.5|7.6|16.9|45.1|1.9|5.2|36.6|4.4|6.5|66.8|9.4|2.6|1.5|0.4|3.2
13|Greg Gantt|FAU|G|32|36.7|21.2|7.3|17.2|42.7|2.6|6.8|38.7|3.8|4.8|79.4|4.2|1.4|0.8|0.1|2.4
14|James Kinney|SJSU|G|14|33.9|20.6|7.8|18.7|41.6|2.4|7.4|32.7|2.6|4.0|66.1|5.5|2.6|2.4|0.1|2.8
15|Khalif Wyatt|TEM|G|34|33.4|20.5|6.1|14.7|41.7|2.2|7.0|31.6|6.0|7.2|83.6|2.9|4.0|1.7|0.2|3.1
16|Corey Hawkins|UCD|G|28|34.0|20.3|6.5|13.8|47.4|1.7|4.3|40.0|5.5|6.6|84.2|5.6|3.3|1.5|0.3|2.6
17|Anthony Ireland|LMU|G|34|37.5|20.2|6.7|16.2|41.3|1.9|5.1|37.6|4.9|6.0|82.3|4.4|3.6|1.7|0.0|3.3
18|Colt Ryan|EVAN|G-F|34|33.0|20.1|6.4|15.2|42.4|1.9|4.7|39.4|5.4|6.1|89.3|3.6|4.0|1.5|0.1|2.2
19|Marshall Henderson|MISS|G|36|31.5|20.1|5.8|15.3|38.1|3.8|10.9|35.0|4.6|5.2|88.3|3.1|1.8|1.3|0.1|2.1
20|Fred Hunter|NICH|G|27|31.9|19.9|6.9|12.1|56.7|0.6|2.1|27.6|5.5|8.3|66.2|8.1|2.1|1.8|0.3|2.4
21|Devon Saddler|DEL|G|33|37.8|19.9|6.5|15.3|42.8|1.7|5.0|33.7|5.1|6.2|82.0|4.5|2.8|1.0|0.2|3.2
22|Deshaun Thomas|OSU|F|37|35.4|19.8|7.0|15.8|44.5|1.9|5.6|34.4|3.8|4.6|83.4|5.9|1.3|0.5|0.3|1.4
23|Pierre Deshawn Jackson|BAY|C|36|34.8|19.8|6.0|14.1|42.7|2.4|6.8|35.9|5.3|6.7|80.0|3.8|7.1|1.5|0.0|3.4
24|Frank Gaines|PFW|G|32|34.0|19.8|6.2|14.3|43.3|1.7|5.0|34.4|5.7|7.7|73.9|4.0|1.2|1.4|0.5|2.5
25|Bryce Cotton|PROV|G|32|37.8|19.7|6.1|13.9|43.7|3.1|8.4|36.4|4.4|5.6|79.3|3.6|2.9|0.9|0.1|1.5
26|Augustine Rubit|USA|F|30|33.2|19.4|6.4|13.3|48.0|0.0|0.2|0.0|6.6|8.3|79.5|10.5|1.1|0.7|1.2|2.5
27|Jud Dillard|TNTC|G|29|33.9|19.3|6.3|13.9|45.0|1.2|3.7|33.6|5.5|6.8|81.2|7.8|2.3|1.1|0.3|3.0
28|Kevin Foster|SCU|G|38|32.4|19.3|6.3|15.8|40.0|3.2|8.8|35.8|3.4|4.4|78.3|2.7|4.3|2.4|0.1|3.4
29|Troy Huff|UND|G|25|32.2|19.2|7.0|15.5|44.8|1.5|4.2|35.6|3.8|5.8|66.2|6.9|1.2|2.4|0.3|2.2
30|Anthony Raffa|CCU|G|29|32.6|19.1|6.9|14.7|46.7|2.1|5.9|35.3|3.3|4.4|75.6|3.6|1.4|1.9|0.2|2.0
31|Warren Niles|ORU|G|35|36.4|18.9|6.3|14.5|43.8|2.7|6.9|39.5|3.5|4.4|79.2|4.1|1.6|1.2|0.2|2.0
32|Jamal Olasewere|LIU|F|32|30.3|18.9|6.3|12.1|51.5|0.6|1.9|32.3|5.8|8.4|69.0|8.6|1.3|1.5|0.6|3.4
33|Maurice Kemp|ECU|F|35|34.3|18.9|6.6|13.1|50.5|0.5|1.7|27.6|5.2|6.9|75.5|8.0|2.4|1.7|1.1|1.9
34|M|M|G|30|36.3|18.8|6.0|13.7|44.0|3.1|7.1|43.5|3.7|4.4|82.7|2.8|2.8|0.9|0.5|3.1
35|Davon Usher|DEL|G|28|32.7|18.8|5.6|13.5|41.7|2.2|5.5|39.6|5.3|6.8|78.0|6.1|1.4|1.6|0.4|2.3
36|Kyle Randall|CMU|G|31|34.5|18.7|5.6|13.4|42.3|2.1|5.4|39.3|5.3|6.2|85.5|3.5|2.5|0.8|0.0|2.9
37|Mike Muscala|BUCK|C|34|31.7|18.7|6.7|13.1|50.9|0.1|0.5|25.0|5.3|6.7|78.9|11.1|2.3|0.5|2.4|1.7
38|Russ Smith|LOU|G|40|30.3|18.7|5.8|14.0|41.4|1.6|4.7|32.8|5.6|6.9|80.4|3.3|2.9|2.1|0.1|2.7
39|Ray McCallum|DETM|G|33|36.6|18.7|6.5|13.2|49.1|1.3|3.9|32.3|4.5|6.2|71.7|5.1|4.5|1.9|0.6|2.1
40|Brock Motum|WSU|F|32|35.3|18.7|6.8|14.8|45.6|1.4|4.2|33.6|3.8|5.1|74.1|6.3|1.1|0.6|0.8|2.4
41|Antoine Mason|AUB|G|29|36.3|18.7|5.8|13.1|44.1|1.2|3.7|31.5|6.0|7.5|79.4|4.1|1.5|1.1|0.2|2.2
41|Trevis Simpson|UNCG|G-F|29|29.6|18.7|6.4|15.9|40.6|2.2|6.5|34.0|3.6|4.4|79.8|4.2|1.4|0.7|0.1|2.0
43|Trey Burke|MICH|G|39|35.3|18.6|6.6|14.4|46.3|1.9|5.1|38.4|3.4|4.3|80.1|3.2|6.7|1.6|0.5|2.2
44|Julian Boyd|LIU|F|8|28.6|18.5|7.4|13.5|54.6|0.1|1.4|9.1|3.6|5.9|61.7|6.1|1.1|1.0|1.3|1.4
45|Jahii Carson|ASU|G|35|37.2|18.5|6.6|13.9|47.3|0.9|2.9|32.0|4.3|5.9|73.4|3.7|5.1|1.2|0.1|3.5
46|Pope|UGA|G|32|33.9|18.5|5.8|13.4|43.3|2.6|7.0|37.3|4.2|5.3|79.9|7.1|1.8|2.0|0.5|2.0
47|Allen Crabbe|CAL|G|33|36.2|18.4|6.5|14.2|45.9|1.9|5.6|34.8|3.4|4.2|81.3|6.1|2.6|1.1|0.7|2.5
