RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
1| Clark|SPU|G|29|38.8|26.7|8.0|19.4|41.5|3.9|10.2|38.0|6.8|8.1|83.8|4.3|4.3|1.8|0.1|3.4
2|Kevin Martin|WCU|G|27|31.2|24.9|7.7|16.3|47.4|1.9|5.6|33.6|7.6|9.3|81.7|4.8|1.7|1.9|0.3|3.1
3|David Hawkins|TEM|G|29|38.9|24.4|7.7|19.7|39.2|2.9|9.5|30.4|6.1|8.1|75.6|5.1|2.8|2.7|0.3|2.6
4|Taylor Coppenrath|UVM|F|24|36.3|24.1|8.5|16.6|51.0|0.6|2.0|29.8|6.6|8.8|75.0|7.2|1.4|1.3|0.6|2.2
5|Luis Alberto Flores|MAN|G|31|36.2|24.0|7.5|17.1|44.2|2.2|5.9|37.4|6.7|7.8|86.3|3.9|1.6|1.9|0.1|2.4
6|Michael Watson|KC|G|29|37.9|23.4|7.8|19.2|40.3|3.3|8.9|37.4|4.6|5.3|86.5|3.4|3.6|1.4|0.2|2.8
7|Mike Helms|OAK|G|30|30.7|23.2|7.5|18.5|40.3|2.6|7.6|34.6|5.6|7.5|75.0|3.6|2.4|1.5|0.5|2.7
8|Odell Bradley|IUPU|F|29|37.6|23.1|8.1|16.8|48.3|1.1|3.4|31.3|5.9|7.7|76.2|8.5|2.3|0.8|0.2|3.4
9|Ike Diogu|ASU|F-C|27|36.9|22.8|6.6|12.5|53.0|0.5|1.4|37.8|9.0|11.0|81.5|8.9|1.6|0.5|1.7|3.7
10|Derrick Tarver|AKR|G|27|31.3|22.7|7.3|14.8|49.0|1.7|5.6|31.1|6.4|8.5|75.2|2.9|1.6|0.9|0.0|2.8
11|Bryant Matthews|VT|G-F|29|35.4|22.1|7.6|16.0|47.3|1.1|3.0|36.0|5.9|8.9|66.4|8.9|1.5|2.5|0.8|3.0
12|Andrew Wisniewski|CENTELA|G|28|35.0|21.9|7.0|13.7|51.2|2.4|5.6|41.8|5.5|7.0|78.6|3.5|4.3|1.6|0.0|3.1
13|Ricky Minard|MORE|G-F|29|34.3|21.8|7.2|16.1|45.1|1.6|4.8|32.6|5.7|7.4|77.6|7.3|5.1|2.1|0.5|3.7
14|Kris Humphries|MINN|F|29|34.1|21.7|7.6|17.2|44.4|0.6|1.7|34.0|5.9|7.9|74.2|10.1|0.7|0.9|1.1|2.8
15|Luke Jackson|ORE|F|31|34.6|21.2|6.8|13.9|48.8|2.4|5.4|44.0|5.3|6.1|86.2|7.2|4.5|1.3|0.2|3.0
16|Dylan Page|MILW|F|31|31.5|20.9|7.3|14.5|50.7|1.9|4.7|40.4|4.3|5.6|77.5|6.6|1.2|0.5|1.2|2.3
17| Barea|NE|G|26|34.2|20.7|6.9|18.0|38.5|2.8|7.8|35.8|4.0|5.6|71.9|3.6|5.8|1.7|0.0|3.0
18|Ken Tutt|ORU|G|28|35.4|20.7|6.9|15.4|44.7|3.6|8.0|44.9|3.3|3.9|84.4|2.4|2.0|0.9|0.0|2.0
19|Andre Emmett|TTU|G|34|37.0|20.6|7.6|14.5|52.6|0.5|1.3|35.6|4.9|6.6|73.0|6.6|1.8|1.3|0.3|2.1
20|Jameer Nelson|JOES|G|32|33.9|20.6|7.3|15.4|47.5|2.3|5.8|39.0|3.7|4.7|79.2|4.7|5.3|3.0|0.0|2.8
21|Juan Mendez|NIA|F|32|33.7|20.5|6.5|12.5|52.1|0.5|1.8|28.8|7.0|8.6|80.8|8.8|0.9|0.9|1.8|2.2
22|M|M|F|28|36.0|20.3|6.9|16.5|42.1|2.0|6.8|30.2|4.4|5.8|75.5|6.7|2.3|1.6|0.1|2.0
23|Terrence Woods|FAMU|G|31|30.1|20.3|6.2|15.0|41.3|4.5|11.2|40.2|3.4|3.9|85.2|3.9|1.1|1.5|0.1|2.4
24|Ron Barnes|COR|G|27|35.1|20.1|6.8|16.6|41.2|2.1|6.0|34.8|4.4|5.7|77.4|3.5|4.6|1.9|0.3|4.3
25|Maurice Bailey|SHU|G|27|33.0|20.1|6.4|15.9|40.7|1.5|4.7|31.7|5.7|6.9|82.4|3.7|2.7|2.3|0.1|3.4
26|Rashad McCants|UNC|G-F|30|32.0|20.0|7.2|15.0|47.9|2.6|6.4|40.8|3.0|4.0|74.8|4.6|2.2|1.8|0.7|2.5
27|Hakim Warrick|SYR|F|31|37.3|19.8|7.2|14.1|50.9|0.0|0.2|0.0|5.5|8.0|69.2|8.5|2.6|0.9|1.1|3.1
28|Chris Thomas|ND|G|32|38.3|19.7|6.6|17.1|38.5|2.9|8.4|35.1|3.6|4.3|82.6|4.2|4.7|1.6|0.1|2.4
