Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Tommie Lipsey|Los Angeles Lakers|Cal State-Los Angeles|1976|7|9|113
Barry Davis|Houston Rockets|Texas A&M|1976|7|10|114
Brad Warble|Phoenix Suns|Eastern Illinois|1976|7|11|115
Mark Klein|Seattle SuperSonics|Malone|1976|7|12|116
Phil Walker|Philadelphia 76ers|Millersville|1976|7|13|117
Frank Jones|Buffalo Braves|Tennessee Tech|1976|7|14|118
Ralph Vallott|Washington Bullets|Loyola-Chicago|1976|7|15|119
Johnny Britt|Cleveland Cavaliers|Western Kentucky|1976|7|16|120
Ralph Drollinger|Boston Celtics|California-Los Angeles|1976|7|17|121
Jesse Campbell|Golden State Warriors|Mercyhurst|1976|7|18|122
Dale Koehler|Cleveland Cavaliers|Wisconsin|1976|8|1|123
Doug Terry|Atlanta Hawks|Utah|1976|8|2|124
Mike Davis|Kansas City Kings|Bradley|1976|8|3|125
Randy Henry|Detroit Pistons|Illinois State|1976|8|4|126
Brant Gibbler|Portland Trail Blazers|Puget Sound|1976|8|5|127
Richard Bryant|New Orleans Jazz|Texas State|1976|8|6|128
Bob Warner|Milwaukee Bucks|Maine|1976|8|7|129
Rick McCutcheon|New York Knicks|Arizona State|1976|8|8|130
Ed Gregg|Los Angeles Lakers|Utah State|1976|8|9|131
Dan Kruger|Houston Rockets|Texas|1976|8|10|132
Tom DeBerry|Phoenix Suns|Northern Arizona|1976|8|11|133
Norton Barnhill|Seattle SuperSonics|Washington State|1976|8|12|134
Lee Dixon|Philadelphia 76ers|Hardin-Simmons|1976|8|13|135
Mark McAndrew|Buffalo Braves|Providence|1976|8|14|136
Merlin Wilson|Washington Bullets|Georgetown|1976|8|15|137
Tim Sisneros|Cleveland Cavaliers|Middle Tennessee State|1976|8|16|138
John Clark|Boston Celtics|Northeastern|1976|8|17|139
Stan Boskovich|Golden State Warriors|West Virginia|1976|8|18|140
John Thomas|Chicago Bulls|Connecticut|1976|9|1|141
Bob Kovach|Atlanta Hawks|San Diego State|1976|9|2|142
Dave Logan|Kansas City Kings|Colorado|1976|9|3|143
Bill Martin|Detroit Pistons|Hartwick|1976|9|4|144
Rob Torresdal|Portland Trail Blazers|Linfield|1976|9|5|145
Benny Shaw|Milwaukee Bucks|Florida Tech|1976|9|6|146
Archie Talley|New York Knicks|Salem International|1976|9|7|147
Calvin Robinson|New Orleans Jazz|Mississippi Valley State|1976|9|8|148
David Pickett|Los Angeles Lakers|Louisiana-Monroe|1976|9|9|149
John Irving|Phoenix Suns|Hofstra|1976|9|10|150
Ron Johnson|Seattle SuperSonics|North Carolina A&T|1976|9|11|151
Fly Williams|Philadelphia 76ers|Austin Peay|1976|9|12|152
Bob Rozyczko|Buffalo Braves|St. Bonaventure|1976|9|13|153
Clyde Agnew|Washington Bullets|Newberry|1976|9|14|154
Bruce Parkinson|Cleveland Cavaliers|Purdue|1976|9|15|155
Bill Collins|Boston Celtics|Boston College|1976|9|16|156
Howard Smith|Golden State Warriors|San Francisco|1976|9|17|157
John Hudson|Chicago Bulls|Concord|1976|10|1|158
Mike Dickerson|Atlanta Hawks|South Florida|1976|10|2|159
Harry Bailey|Kansas City Kings|North Texas|1976|10|3|160
Bob Johnson|Detroit Pistons|Wisconsin|1976|10|4|161
Marcus Leite|Portland Trail Blazers|Pepperdine|1976|10|5|162
