Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
John Ribock|Boston Celtics|South Carolina|1971|8|10|129
Wayne Jones|Detroit Pistons|Niagara|1971|8|11|130
Barry Yates|Philadelphia 76ers|Maryland|1971|8|12|131
Luke Adams|Los Angeles Lakers|Lamar|1971|8|13|132
Vernell Ellzy|Phoenix Suns|Florida State|1971|8|14|133
Clarence Sherrod|Chicago Bulls|Wisconsin|1971|8|15|134
Leroy Eldridge|New York Knicks|Cheyney|1971|8|16|135
Felix Thurston|Milwaukee Bucks|Trinity (TX)|1971|8|17|136
Rich Walker|Cleveland Cavaliers|Bowling Green|1971|9|1|137
Gary Stewart|Buffalo Braves|Canisius|1971|9|2|138
Eugene Kennedy|Portland Trail Blazers|Texas Christian|1971|9|3|139
Ernie Fleming|Atlanta Hawks|Jacksonville|1971|9|4|140
Larry Holliday|Seattle SuperSonics|Oregon|1971|9|5|141
Willie Kerry|Houston Rockets|Denver|1971|9|6|142
Clarence Smith|Golden State Warriors|Villanova|1971|9|7|143
Ron Johnston|Baltimore Bullets|Murray State|1971|9|8|144
Ray Green|Boston Celtics|California (PA)|1971|9|9|145
Paul Botts|Detroit Pistons|Central Michigan|1971|9|10|146
Tom Lee|Philadelphia 76ers|Arizona|1971|9|11|147
Bob Cheeks|Los Angeles Lakers|Whittier|1971|9|12|148
Mike Johnson|Phoenix Suns|Kansas State|1971|9|13|149
Jackie Dinkins|Chicago Bulls|Voorhees|1971|9|14|150
Mike O'Brien|New York Knicks|Saint Leo|1971|9|15|151
Rick Howat|Milwaukee Bucks|Illinois|1971|9|16|152
Jim Meredith|Cleveland Cavaliers|Washington State|1971|10|1|153
Don Ward|Buffalo Braves|Colgate|1971|10|2|154
Greg Starrick|Portland Trail Blazers|Southern Illinois|1971|10|3|155
Ron Rippitoe|Atlanta Hawks|Lipscomb|1971|10|4|156
Ed Huston|Seattle SuperSonics|Puget Sound|1971|10|5|157
Calvin Oliver|Houston Rockets|Texas-Pan American|1971|10|6|158
Bill Drosdiak|Golden State Warriors|Oregon|1971|10|7|159
Eddie Myers|Baltimore Bullets|Arizona|1971|10|8|160
Dale Dover|Boston Celtics|Harvard|1971|10|9|161
Steve Butcher|Detroit Pistons|Pikeville|1971|10|10|162
Jim Dinwiddie|Philadelphia 76ers|Kentucky|1971|10|11|163
Cliff Mosely|Los Angeles Lakers|Quinnipiac|1971|10|12|164
Tom Newell|Phoenix Suns|Hawaii|1971|10|13|165
David Withers|Chicago Bulls|Delaware|1971|10|14|166
Andy Toth|New York Knicks|Cheyney|1971|10|15|167
Dan Fife|Milwaukee Bucks|Michigan|1971|10|16|168
Mike Casey|Cleveland Cavaliers|Kentucky|1971|11|1|169
Bill Warner|Buffalo Braves|Arizona|1971|11|2|170
Howard Burford|Portland Trail Blazers|Gonzaga|1971|11|3|171
Levi Wyatt|Atlanta Hawks|Alcorn State|1971|11|4|172
Jerome Perry|Seattle SuperSonics|Western Kentucky|1971|11|5|173
Doug Rex|Houston Rockets|California-Santa Barbara|1971|11|6|174
Chuck Olowski|Baltimore Bullets|Baltimore|1971|11|7|175
Reggie Brooks|Boston Celtics|New Hampshire|1971|11|8|176
Larry Saunders|Detroit Pistons|Duke|1971|11|9|177
Dana Pagett|Philadelphia 76ers|Southern California|1971|11|10|178
