Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jamie Thompson|Los Angeles Lakers|Wichita State|1967|7|4|71
Butch Wade|New York Knicks|Indiana State|1967|7|5|72
Carl Fuller|St. Louis Hawks|Bethune-Cookman|1967|7|6|73
Charles Beasley|Cincinnati Royals|Southern Methodist|1967|7|7|74
Sonny Bustion|San Francisco Warriors|Colorado State|1967|7|8|75
Edgar Lacey|Boston Celtics|California-Los Angeles|1967|7|9|76
Frank Card|Philadelphia 76ers|South Carolina State|1967|7|10|77
Dick Kolbert|Seattle SuperSonics|California-Santa Barbara|1967|7|11|78
Elbert Miller|San Diego Rockets|Nevada-Las Vegas|1967|7|12|79
Ed Manning|Baltimore Bullets|Jackson State|1967|8|1|80
George Carter|Detroit Pistons|St. Bonaventure|1967|8|2|81
Leon Simon|Chicago Bulls|Santa Fe|1967|8|3|82
Don Carlos|Los Angeles Lakers|Otterbein|1967|8|4|83
Gil Radday|New York Knicks|St. Francis Brooklyn|1967|8|5|84
Arvesta Kelly|St. Louis Hawks|Lincoln (MO)|1967|8|6|85
Frank Hollendoner|Cincinnati Royals|Georgetown|1967|8|7|86
Bob Krulish|San Francisco Warriors|Pacific|1967|8|8|87
Andrew Anderson|Boston Celtics|Canisius|1967|8|9|88
Jim Conley|Philadelphia 76ers|Virginia|1967|8|10|89
Al Grundy|San Diego Rockets|Saint Joseph's|1967|8|11|90
Willie Wolters|Seattle SuperSonics|Boston College|1967|8|12|91
Robert Allen|Baltimore Bullets|Arkansas-Pine Bluff|1967|9|1|92
Ernie Laurent|Chicago Bulls|Albuquerque|1967|9|2|93
Jay McMillon|Los Angeles Lakers|Maryland|1967|9|3|94
Ray Smith|New York Knicks|Kansas State|1967|9|4|95
Ed Biedenbach|St. Louis Hawks|North Carolina State|1967|9|5|96
Ron Sepic|Cincinnati Royals|Ohio State|1967|9|6|97
Richard Dean|San Francisco Warriors|Syracuse|1967|9|7|98
Henry Brown|Boston Celtics|Massachusetts Lowell|1967|9|8|99
Ron Filipek|Philadelphia 76ers|Tennessee Tech|1967|9|9|100
Roderick McDonald|Seattle SuperSonics|Whitworth|1967|9|10|101
Ron Coleman|San Diego Rockets|Missouri|1967|9|11|102
Bill Gillespie|Baltimore Bullets|Montana State|1967|10|1|103
Jim Boshart|Chicago Bulls|Wake Forest|1967|10|2|104
Don Kruze|Los Angeles Lakers|Houston|1967|10|3|105
Bruce Kaplan|New York Knicks|New York University|1967|10|4|106
Rich Falkenbrush|St. Louis Hawks|Saint Michael's|1967|10|5|107
Willie Davis|Cincinnati Royals|North Texas|1967|10|6|108
Joe Galbo|San Francisco Warriors|San Francisco State|1967|10|7|109
Rick Weitzman|Boston Celtics|Northeastern|1967|10|8|110
Butch Ervin|Philadelphia 76ers|Niagara|1967|10|9|111
John Duncan|San Diego Rockets|Murray State|1967|10|10|112
Gary Lechman|Seattle SuperSonics|Gonzaga|1967|10|11|113
Bubba Smith|Baltimore Bullets|Michigan State|1967|11|1|114
Jim Andros|Chicago Bulls|New Haven|1967|11|2|115
Nick Pino|Los Angeles Lakers|Kansas State|1967|11|3|116
Mark Merkin|New York Knicks|North Carolina|1967|11|4|117
Ken Callaway|Cincinnati Royals|Cincinnati|1967|11|5|118
Bill Morgan|San Francisco Warriors|New Mexico|1967|11|6|119
Joe Harrington|Boston Celtics|Maryland|1967|11|7|120
