Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Dennis Rodman|Detroit Pistons|Southeastern Oklahoma State|1986|2|3|27
Larry Krystkowiak|Chicago Bulls|Montana|1986|2|4|28
Johnny Newman|Cleveland Cavaliers|Richmond|1986|2|5|29
Nate McMillan|Seattle SuperSonics|North Carolina State|1986|2|6|30
Joe Ward|Phoenix Suns|Georgia|1986|2|7|31
Cedric Henderson|Atlanta Hawks|Georgia|1986|2|8|32
Kevin Duckworth|San Antonio Spurs|Eastern Illinois|1986|2|9|33
Johnny Rogers|Sacramento Kings|California-Irvine|1986|2|10|34
Milt Wagner|Dallas Mavericks|Louisville|1986|2|11|35
Steve Mitchell|Washington Bullets|Alabama-Birmingham|1986|2|12|36
Parragiotis Fasoulas|Portland Trail Blazers|North Carolina State|1986|2|13|37
Lemone Lampley|Seattle SuperSonics|DePaul|1986|2|14|38
Rafael Addison|Phoenix Suns|Syracuse|1986|2|15|39
Augusto Binelli|Atlanta Hawks|Virtus Pallacanestro Bologna (Italy)|1986|2|16|40
Otis Smith|Denver Nuggets|Jacksonville|1986|2|17|41
Ron Kellogg|Atlanta Hawks|Kansas|1986|2|18|42
Dave Feitl|Houston Rockets|Texas-El Paso|1986|2|19|43
David Wingate|Philadelphia 76ers|Georgetown|1986|2|20|44
Keith Smith|Milwaukee Bucks|Loyola-Marymount|1986|2|21|45
Jeff Hornacek|Phoenix Suns|Iowa State|1986|2|22|46
Michael Jackson|New York Knicks|Georgetown|1986|2|23|47
Forrest McKenzie|San Antonio Spurs|Loyola-Marymount|1986|3|1|48
Juden Smith|Portland Trail Blazers|Texas-El Paso|1986|3|2|49
Kevin Henderson|Cleveland Cavaliers|Cal State-Fullerton|1986|3|3|50
Mike Williams|Golden State Warriors|Bradley|1986|3|4|51
Ricky Wilson|Chicago Bulls|George Mason|1986|3|5|52
Tod Murphy|Seattle SuperSonics|California-Irvine|1986|3|6|53
Dwayne Polee|Los Angeles Clippers|Pepperdine|1986|3|7|54
Kenny Gattison|Phoenix Suns|Old Dominion|1986|3|8|55
Keith Colbert|Philadelphia 76ers|Virginia Tech|1986|3|9|56
Bruce Douglas|Sacramento Kings|Illinois|1986|3|10|57
Dave Henderson|Washington Bullets|Duke|1986|3|11|58
Wendell Alexis|Golden State Warriors|Syracuse|1986|3|12|59
Drazen Petrovic|Portland Trail Blazers|KK Cibona (Croatia)|1986|3|13|60
John Shasky|Utah Jazz|Minnesota|1986|3|14|61
Anthony Welch|Dallas Mavericks|Illinois|1986|3|15|62
Bill Breeding|Utah Jazz|Rocky Mountain|1986|3|16|63
Don Redden|Denver Nuggets|Louisiana State|1986|3|17|64
Dave Hoppen|Atlanta Hawks|Nebraska|1986|3|18|65
Anthony Bowie|Houston Rockets|Oklahoma|1986|3|19|66
Ron Rowan|Philadelphia 76ers|St. John's (NY)|1986|3|20|67
Baskerville Holmes|Milwaukee Bucks|Memphis|1986|3|21|68
Andre Turner|Los Angeles Lakers|Memphis|1986|3|22|69
Jim Les|Atlanta Hawks|Bradley|1986|3|23|70
Calvin Thompson|New York Knicks|Kansas|1986|4|1|71
Derrick Taylor|Indiana Pacers|Louisiana State|1986|4|2|72
Warren Martin|Cleveland Cavaliers|North Carolina|1986|4|3|73
Scott Meents|Chicago Bulls|Illinois|1986|4|4|74
Dan Bingenheimer|Golden State Warriors|Missouri|1986|4|5|75
Michael Graham|Seattle SuperSonics|Georgetown|1986|4|6|76
