Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Eddie Jordan|Cleveland Cavaliers|Rutgers|1977|2|11|33
Larry Moffett|Houston Rockets|Nevada-Las Vegas|1977|2|12|34
Mark Landsberger|Chicago Bulls|Arizona State|1977|2|13|35
Ben Poquette|Detroit Pistons|Central Michigan|1977|2|14|36
Jeff Wilkins|San Antonio Spurs|Illinois State|1977|2|15|37
Ricky Love|Golden State Warriors|Alabama-Huntsville|1977|2|16|38
Phil Walker|Washington Bullets|Millersville|1977|2|17|39
Robert Reid|Houston Rockets|St. Mary's (TX)|1977|2|18|40
T.R. Dunn|Portland Trail Blazers|Alabama|1977|2|19|41
Bob Elliott|Philadelphia 76ers|Arizona|1977|2|20|42
Herm Harris|Philadelphia 76ers|Arizona|1977|2|21|43
Essie Hollis|New Orleans Jazz|St. Bonaventure|1977|2|22|44
Bill Paterno|Kansas City Kings|Notre Dame|1977|3|1|45
James Edwards|Los Angeles Lakers|Washington|1977|3|2|46
Gary Yoder|Milwaukee Bucks|Cincinnati|1977|3|3|47
Sammy Smith|Atlanta Hawks|Nevada-Las Vegas|1977|3|4|48
Eddie Johnson|Atlanta Hawks|Auburn|1977|3|5|49
Tony Hanson|New Orleans Jazz|Connecticut|1977|3|6|50
Stan Mayhew|Indiana Pacers|Weber State|1977|3|7|51
Joey Hassett|Seattle SuperSonics|Providence|1977|3|8|52
John Kuester|Kansas City Kings|North Carolina|1977|3|9|53
Lloyd McMillian|New York Knicks|Long Beach State|1977|3|10|54
Steve Grote|Cleveland Cavaliers|Michigan|1977|3|11|55
Skip Brown|Boston Celtics|Wake Forest|1977|3|12|56
Steve Puidokas|Washington Bullets|Washington State|1977|3|13|57
John Irving|Detroit Pistons|Hofstra|1977|3|14|58
Dan Henderson|San Antonio Spurs|Arkansas State|1977|3|15|59
Marlon Redmond|Golden State Warriors|San Francisco|1977|3|16|60
Jerry Schellenberg|Washington Bullets|Wake Forest|1977|3|17|61
Phil Bond|Houston Rockets|Louisville|1977|3|18|62
Ricky Brown|Portland Trail Blazers|Alabama|1977|3|19|63
Arnold Dugger|Philadelphia 76ers|Oral Roberts|1977|3|20|64
Robert Smith|Denver Nuggets|Nevada-Las Vegas|1977|3|21|65
Mike Bratz|Phoenix Suns|Stanford|1977|3|22|66
Bob Elmore|New Jersey Nets|Wichita State|1977|4|1|67
Melvin Watkins|Buffalo Braves|North Carolina-Charlotte|1977|4|2|68
Lewis Brown|Milwaukee Bucks|Nevada-Las Vegas|1977|4|3|69
Dave Bormann|Atlanta Hawks|Gardner-Webb|1977|4|4|70
Greg Griffin|Phoenix Suns|Idaho State|1977|4|5|71
Dennis Boyd|New Orleans Jazz|Detroit Mercy|1977|4|6|72
George Pendleton|Indiana Pacers|Georgia State|1977|4|7|73
Jim Cooper|Seattle SuperSonics|Alabama|1977|4|8|74
Larry Williams|Kansas City Kings|Texas Southern|1977|4|9|75
Steve Hayes|New York Knicks|Idaho State|1977|4|10|76
Melvin Jones|Cleveland Cavaliers|West Texas A&M|1977|4|11|77
Jeff Cummings|Boston Celtics|Tulane|1977|4|12|78
Mike McConalthy|Chicago Bulls|Louisiana Tech|1977|4|13|79
Bruce King|Detroit Pistons|Iowa|1977|4|14|80
Matt Hicks|San Antonio Spurs|Northern Illinois|1977|4|15|81
Roy Smith|Golden State Warriors|Kentucky State|1977|4|16|82
