Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Dennis Wuycik|Boston Celtics|North Carolina|1972|2|14|27
Mike Ratliff|Kansas City-Omaha Kings|Wisconsin-Eau Claire|1972|2|15|28
Chuck Terry|Milwaukee Bucks|Long Beach State|1972|2|16|29
Ollie Johnson|Portland Trail Blazers|Temple|1972|2|17|30
Lloyd Neal|Portland Trail Blazers|Tennessee State|1972|3|1|31
Bob Morse|Buffalo Braves|Pennsylvania|1972|3|2|32
Scott English|Phoenix Suns|Texas-El Paso|1972|3|3|33
Don Buse|Phoenix Suns|Evansville|1972|3|4|34
Frank Russell|Chicago Bulls|Detroit Mercy|1972|3|5|35
Charlie Tharpe|Philadelphia 76ers|Belhaven|1972|3|6|36
Eric McWilliams|Houston Rockets|Long Beach State|1972|3|7|37
Ron Riley|Kansas City-Omaha Kings|Southern California|1972|3|8|38
Kevin Porter|Baltimore Bullets|Saint Francis (PA)|1972|3|9|39
Jim Creighton|Seattle SuperSonics|Colorado|1972|3|10|40
Ansley Truitt|New York Knicks|California|1972|3|11|41
Claude Terry|Phoenix Suns|Stanford|1972|3|12|42
Bill Chamberlain|Golden State Warriors|North Carolina|1972|3|13|43
Wayne Grabiec|Boston Celtics|Michigan|1972|3|14|44
Chuck Jura|Chicago Bulls|Nebraska|1972|3|15|45
George Adams|Milwaukee Bucks|Gardner-Webb|1972|3|16|46
Gregg Northington|Los Angeles Lakers|Alabama State|1972|3|17|47
Gary Stewart|Portland Trail Blazers|Canisius|1972|4|1|48
George Bryant|Buffalo Braves|Eastern Kentucky|1972|4|2|49
Hank Siemiontkowski|Cleveland Cavaliers|Villanova|1972|4|3|50
Ernie Fleming|Detroit Pistons|Jacksonville|1972|4|4|51
Marshall Wingate|Philadelphia 76ers|Niagara|1972|4|5|52
Frank Schade|Kansas City-Omaha Kings|Wisconsin-Eau Claire|1972|4|6|53
Wilbert Robinson|Houston Rockets|West Virginia|1972|4|7|54
Reggie Bird|Atlanta Hawks|Princeton|1972|4|8|55
Al Saunders|Baltimore Bullets|Louisiana State|1972|4|9|56
Joe Mackey|Seattle SuperSonics|Southern California|1972|4|10|57
Henry Bibby|New York Knicks|California-Los Angeles|1972|4|11|58
Matt Gantt|Phoenix Suns|St. Bonaventure|1972|4|12|59
John Tshogl|Golden State Warriors|California-Santa Barbara|1972|4|13|60
Nate Stephens|Boston Celtics|Long Beach State|1972|4|14|61
Ted Martiniuk|Chicago Bulls|St. Peter's|1972|4|15|62
Art White|Milwaukee Bucks|Georgetown|1972|4|16|63
Mike Reid|Portland Trail Blazers|California-Riverside|1972|5|1|64
Arnie Berman|Buffalo Braves|Brown|1972|5|2|65
Sam Cash|Cleveland Cavaliers|California-Riverside|1972|5|3|66
Ernest Pettis|Detroit Pistons|Western Michigan|1972|5|4|67
David Bustion|Kansas City-Omaha Kings|Denver|1972|5|5|68
Joe Bynes|Philadelphia 76ers|Arkansas-Pine Bluff|1972|5|6|69
James Silas|Houston Rockets|Stephen F. Austin|1972|5|7|70
Bob Lackey|Atlanta Hawks|Marquette|1972|5|8|71
Walter Jones|Baltimore Bullets|Long Island-Brooklyn|1972|5|9|72
Gary Ladd|Seattle SuperSonics|Seattle|1972|5|10|73
Bob Ford|New York Knicks|Purdue|1972|5|11|74
Wardell Dyson|Phoenix Suns|Shaw|1972|5|12|75
Charles Dudley|Golden State Warriors|Washington|1972|5|13|76
