Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Joffrey Lauvergne|Memphis Grizzlies|KK Partizan (Serbia)|2013|2|25|55
Peyton Siva|Detroit Pistons|Louisville|2013|2|26|56
Alex Oriakhi|Phoenix Suns|Missouri|2013|2|27|57
Deshaun Thomas|San Antonio Spurs|Ohio State|2013|2|28|58
Bojan Dubljevic|Minnesota Timberwolves|Valencia BC (Spain)|2013|2|29|59
Janis Timma|Memphis Grizzlies|BK Ventspils (Latvia)|2013|2|30|60
Anthony Davis|New Orleans Hornets|Kentucky|2012|1|1|1
Michael Kidd-Gilchrist|Charlotte Bobcats|Kentucky|2012|1|2|2
Bradley Beal|Washington Wizards|Florida|2012|1|3|3
Dion Waiters|Cleveland Cavaliers|Syracuse|2012|1|4|4
Thomas Robinson|Sacramento Kings|Kansas|2012|1|5|5
Damian Lillard|Portland Trail Blazers|Weber State|2012|1|6|6
Harrison Barnes|Golden State Warriors|North Carolina|2012|1|7|7
Terrence Ross|Toronto Raptors|Washington|2012|1|8|8
Andre Drummond|Detroit Pistons|Connecticut|2012|1|9|9
Austin Rivers|New Orleans Hornets|Duke|2012|1|10|10
Meyers Leonard|Portland Trail Blazers|Illinois|2012|1|11|11
Jeremy Lamb|Houston Rockets|Connecticut|2012|1|12|12
Kendall Marshall|Phoenix Suns|North Carolina|2012|1|13|13
John Henson|Milwaukee Bucks|North Carolina|2012|1|14|14
Maurice Harkless|Philadelphia 76ers|St. John's (NY)|2012|1|15|15
Royce White|Houston Rockets|Iowa State|2012|1|16|16
Tyler Zeller|Dallas Mavericks|North Carolina|2012|1|17|17
Terrence Jones|Houston Rockets|Kentucky|2012|1|18|18
Andrew Nicholson|Orlando Magic|St. Bonaventure|2012|1|19|19
Evan Fournier|Denver Nuggets|Poitiers Basket 86 (France)|2012|1|20|20
Jared Sullinger|Boston Celtics|Ohio State|2012|1|21|21
Fab Melo|Boston Celtics|Syracuse|2012|1|22|22
John Jenkins|Atlanta Hawks|Vanderbilt|2012|1|23|23
Jared Cunningham|Cleveland Cavaliers|Oregon State|2012|1|24|24
Tony Wroten|Memphis Grizzlies|Washington|2012|1|25|25
Miles Plumlee|Indiana Pacers|Duke|2012|1|26|26
Arnett Moultrie|Miami Heat|Mississippi State|2012|1|27|27
Perry Jones III|Oklahoma City Thunder|Baylor|2012|1|28|28
Marquis Teague|Chicago Bulls|Kentucky|2012|1|29|29
Festus Ezeli|Golden State Warriors|Vanderbilt|2012|1|30|30
Jeffery Taylor|Charlotte Bobcats|Vanderbilt|2012|2|1|31
Tomas Satoransky|Washington Wizards|CB Sevilla (Spain)|2012|2|2|32
Bernard James|Cleveland Cavaliers|Florida State|2012|2|3|33
Jae Crowder|Cleveland Cavaliers|Marquette|2012|2|4|34
Draymond Green|Golden State Warriors|Michigan State|2012|2|5|35
Orlando Johnson|Sacramento Kings|California-Santa Barbara|2012|2|6|36
Quincy Acy|Toronto Raptors|Baylor|2012|2|7|37
Quincy Miller|Denver Nuggets|Baylor|2012|2|8|38
Khris Middleton|Detroit Pistons|Texas A&M|2012|2|9|39
Will Barton|Portland Trail Blazers|Memphis|2012|2|10|40
Tyshawn Taylor|Portland Trail Blazers|Kansas|2012|2|11|41
Doron Lamb|Milwaukee Bucks|Kentucky|2012|2|12|42
Mike Scott|Atlanta Hawks|Virginia|2012|2|13|43
Kim English|Detroit Pistons|Missouri|2012|2|14|44
