Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Eugene Shy|New York Knicks|Florida|1976|10|6|163
Art Johnson|New Orleans Jazz|Iowa State|1976|10|7|164
Hugo Cabrera|Milwaukee Bucks|Texas A&M-Commerce|1976|10|8|165
Gary Jackson|Phoenix Suns|Arizona State|1976|10|9|166
Ricky Lewis|Seattle SuperSonics|Alcorn State|1976|10|10|167
Ed Stefanski|Philadelphia 76ers|Pennsylvania|1976|10|11|168
Tim Stokes|Buffalo Braves|Canisius|1976|10|12|169
Mike Beuscher|Washington Bullets|Seton Hall|1976|10|13|170
Elisha McSweeney|Cleveland Cavaliers|Minnesota State-Mankato|1976|10|14|171
Otho Tucker|Boston Celtics|Illinois|1976|10|15|172
Ken Smith|Golden State Warriors|San Diego State|1976|10|16|173
David Thompson|Atlanta Hawks|North Carolina State|1975|1|1|1
Dave Meyers|Los Angeles Lakers|California-Los Angeles|1975|1|2|2
Marvin Webster|Atlanta Hawks|Morgan State|1975|1|3|3
Alvan Adams|Phoenix Suns|Oklahoma|1975|1|4|4
Darryl Dawkins|Philadelphia 76ers|Maynard Evans|1975|1|5|5
Lionel Hollins|Portland Trail Blazers|Arizona State|1975|1|6|6
Rich Kelley|New Orleans Jazz|Stanford|1975|1|7|7
Junior Bridgeman|Los Angeles Lakers|Louisville|1975|1|8|8
Gene Short|New York Knicks|Jackson State|1975|1|9|9
Bill Robinzine|Kansas City Kings|DePaul|1975|1|10|10
Joe Meriweather|Houston Rockets|Southern Illinois|1975|1|11|11
Frank Oleynick|Seattle SuperSonics|Seattle|1975|1|12|12
Bob Bigelow|Kansas City Kings|Pennsylvania|1975|1|13|13
Joe Bryant|Golden State Warriors|La Salle|1975|1|14|14
John Lambert|Cleveland Cavaliers|Southern California|1975|1|15|15
Ricky Sobers|Phoenix Suns|Nevada-Las Vegas|1975|1|16|16
Tom Boswell|Boston Celtics|South Carolina|1975|1|17|17
Kevin Grevey|Washington Bullets|Kentucky|1975|1|18|18
Bill Willoughby|Atlanta Hawks|Dwight Morrow|1975|2|1|19
Gus Williams|Golden State Warriors|Southern California|1975|2|2|20
Bruce Seals|Seattle SuperSonics|Xavier (LA)|1975|2|3|21
Clyde Mayes|Milwaukee Bucks|Furman|1975|2|4|22
World Free|Philadelphia 76ers|Guilford|1975|2|5|23
Cornelius Cash|Milwaukee Bucks|Bowling Green|1975|2|6|24
Bob Gross|Portland Trail Blazers|Long Beach State|1975|2|7|25
Luther Burden|New York Knicks|Utah|1975|2|8|26
Walter Luckett|Detroit Pistons|Ohio|1975|2|9|27
Dan Roundfield|Cleveland Cavaliers|Central Michigan|1975|2|10|28
Jim Blanks|Houston Rockets|Gardner-Webb|1975|2|11|29
Steve Green|Chicago Bulls|Indiana|1975|2|12|30
Glenn Hansen|Kansas City Kings|Louisiana State|1975|2|13|31
John Laskowski|Chicago Bulls|Indiana|1975|2|14|32
Mel Utley|Cleveland Cavaliers|St. John's (NY)|1975|2|15|33
Larry Fogle|New York Knicks|Canisius|1975|2|16|34
Allen Murphy|Phoenix Suns|Louisville|1975|2|17|35
Jimmy Conner|Phoenix Suns|Kentucky|1975|2|18|36
Rudy Hackett|New Orleans Jazz|Syracuse|1975|3|1|37
Jim McElroy|New Orleans Jazz|Central Michigan|1975|3|2|38
Jimmie Baker|Philadelphia 76ers|Hawaii|1975|3|3|39
