Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jay Vincent|Dallas Mavericks|Michigan State|1981|2|1|24
Tracy Jackson|Boston Celtics|Notre Dame|1981|2|2|25
Brian Jackson|Portland Trail Blazers|Utah State|1981|2|3|26
Howard Wood|Utah Jazz|Tennessee|1981|2|4|27
Gene Banks|San Antonio Spurs|Duke|1981|2|5|28
Eddie Johnson|Kansas City Kings|Illinois|1981|2|6|29
Ed Rains|San Antonio Spurs|South Alabama|1981|2|7|30
Danny Ainge|Boston Celtics|Brigham Young|1981|2|8|31
Mike Olliver|Chicago Bulls|Lamar|1981|2|9|32
Samuel Williams|Golden State Warriors|Arizona State|1981|2|10|33
Ken Green|Denver Nuggets|Texas-Pan American|1981|2|11|34
Charlie Davis|Washington Bullets|Vanderbilt|1981|2|12|35
Ray Blume|Indiana Pacers|Oregon State|1981|2|13|36
Al Leslie|Indiana Pacers|Bucknell|1981|2|14|37
Clyde Bradshaw|Atlanta Hawks|DePaul|1981|2|15|38
Harvey Knuckles|Los Angeles Lakers|Toledo|1981|2|16|39
Greg Cook|New York Knicks|Louisiana State|1981|2|17|40
Claude Gregory|Washington Bullets|Wisconsin|1981|2|18|41
Elvis Rolle|Los Angeles Lakers|Florida State|1981|2|19|42
Elston Turner|Dallas Mavericks|Mississippi|1981|2|20|43
Steve Lingenfelter|Washington Bullets|South Dakota State|1981|2|21|44
Ed Turner|Houston Rockets|Texas A&M-Kingsville|1981|2|22|45
Vernon Smith|Philadelphia 76ers|Texas A&M|1981|2|23|46
Art Housey|Dallas Mavericks|Kansas|1981|3|1|47
Mike Ferrara|Washington Bullets|Colgate|1981|3|2|48
David Burns|New Jersey Nets|Saint Louis|1981|3|3|49
Derek Holcomb|Portland Trail Blazers|Illinois|1981|3|4|50
Zam Fredrick|Los Angeles Lakers|South Carolina|1981|3|5|51
Rudy Macklin|Atlanta Hawks|Louisiana State|1981|3|6|52
Mark Radford|Seattle SuperSonics|Oregon State|1981|3|7|53
Jim Smith|San Diego Clippers|Ohio State|1981|3|8|54
Mickey Dillard|Cleveland Cavaliers|Florida State|1981|3|9|55
Carlton Neverson|Golden State Warriors|Pittsburgh|1981|3|10|56
Frank Brickowski|New York Knicks|Penn State|1981|3|11|57
Curtis Berry|Kansas City Kings|Missouri|1981|3|12|58
Russell Bowers|Cleveland Cavaliers|American|1981|3|13|59
Purvis Miller|Indiana Pacers|Southern California|1981|3|14|60
Petur Gudmundsson|Portland Trail Blazers|Washington|1981|3|15|61
Sam Clancy|Phoenix Suns|Pittsburgh|1981|3|16|62
Wayne McKoy|New York Knicks|St. John's (NY)|1981|3|17|63
Tom Baker|San Antonio Spurs|Eastern Kentucky|1981|3|18|64
Ron Cornelius|Los Angeles Lakers|Pacific|1981|3|19|65
Craig Dykema|Phoenix Suns|Long Beach State|1981|3|20|66
Mark Smith|Milwaukee Bucks|Illinois|1981|3|21|67
Ernest Graham|Philadelphia 76ers|Maryland|1981|3|22|68
John Johnson|Boston Celtics|Michigan|1981|3|23|69
Eddie Moss|Dallas Mavericks|Syracuse|1981|4|1|70
John May|Detroit Pistons|South Alabama|1981|4|2|71
Edmund Sherod|New Jersey Nets|Virginia Commonwealth|1981|4|3|72
George Torres|Utah Jazz|Southern Nazarene|1981|4|4|73
