Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Larry Hennessy|Philadelphia Warriors|Villanova|1953|2|0|0
Richard Atha|New York Knicks|Indiana State|1953|0|0|0
John O'Brien|Milwaukee Hawks|Seattle|1953|0|0|0
Irv Bemoras|Milwaukee Hawks|Illinois|1953|0|0|0
Don Stemmerich|Baltimore Bullets||1953|0|0|0
Vernon Stokes|Boston Celtics|St. Francis Brooklyn|1953|6|0|0
Ernie Beck|Philadelphia Warriors|Pennsylvania|1953|0|0|0
Bob Speight|Baltimore Bullets|North Carolina State|1953|0|0|0
Herman Sledzik|Baltimore Bullets|Penn State|1953|0|0|0
Bill Schyman|Baltimore Bullets|DePaul|1953|0|0|0
Neil Gordon|New York Knicks|Furman|1953|3|0|0
Darrell Tucker|Milwaukee Hawks|Utah State|1953|0|0|0
Joe Piorkowski|Baltimore Bullets||1953|0|0|0
Thomas Bishop|New York Knicks|Southern Mississippi|1953|4|0|0
Delmer Diercks|New York Knicks|Iowa State|1953|0|0|0
Bob Rousey|Milwaukee Hawks|Kansas State|1953|0|0|0
Will Walls|Rochester Royals|Miami (FL)|1953|0|0|0
Jim Doherty|Boston Celtics|Whitworth|1953|12|0|0
Eddie O'Brien|Milwaukee Hawks|Seattle|1953|0|0|0
Joe Cipriano|Milwaukee Hawks|Washington|1953|0|0|0
Andy McGowan|Syracuse Nationals|Manhattan|1953|0|0|0
Russ Johnson|Baltimore Bullets||1953|0|0|0
Paul Brandt|Milwaukee Hawks|Columbia|1953|0|0|0
Gerald Nappy|Syracuse Nationals|Georgetown|1953|0|0|0
Bob Kraback|Baltimore Bullets||1953|0|0|0
Dennis Murphy|Baltimore Bullets|Georgetown|1953|0|0|0
Warren Shackelford|Syracuse Nationals|Tulsa|1953|0|0|0
Mark Workman|Milwaukee Hawks|West Virginia|1952|1|0|1
Jim Baechtold|Baltimore Bullets|Eastern Kentucky|1952|1|0|2
Dick Groat|Ft. Wayne Zollner Pistons|Duke|1952|1|0|3
Joe Dean|Indianapolis Olympians|Louisiana State|1952|1|0|4
Ralph Polson|New York Knicks|Whitworth|1952|1|0|5
Bill Stauffer|Boston Celtics|Missouri|1952|1|0|6
Bob Lochmueller|Syracuse Nationals|Louisville|1952|1|0|7
Chuck Darling|Rochester Royals|Iowa|1952|1|0|8
Clyde Lovellette|Minneapolis Lakers|Kansas|1952|1|0|9
Chuck Grigsby|Baltimore Bullets|Dayton|1952|0|0|0
Dick Bunt|New York Knicks|New York University|1952|0|0|0
Don Meineke|Ft. Wayne Zollner Pistons|Dayton|1952|0|0|0
Jack McMahon|Rochester Royals|St. John's (NY)|1952|0|0|0
Gene Rhodes|Indianapolis Olympians|Western Kentucky|1952|0|0|0
Tom Brennan|Philadelphia Warriors|Villanova|1952|0|0|0
Jim Walsh|Baltimore Bullets|Stanford|1952|0|0|0
Lucian Whitaker|Indianapolis Olympians|Kentucky|1952|0|0|0
Walt Davis|Philadelphia Warriors|Texas A&M|1952|2|0|0
Jim Brasco|Syracuse Nationals|New York University|1952|0|0|0
Carl McNulty|Minneapolis Lakers|Purdue|1952|0|0|0
Blaine Denning|Baltimore Bullets|Lawrence Tech|1952|0|0|0
Bert Cook|New York Knicks|Utah State|1952|0|0|0
Gene Conley|Boston Celtics|Washington State|1952|10|0|0
