Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Bob Miller|Phoenix Suns|Cincinnati|1978|4|19|85
Rich Adams|San Antonio Spurs|Illinois|1978|4|20|86
Brett Vroman|Philadelphia 76ers|Nevada-Las Vegas|1978|4|21|87
Wayne Smith|Phoenix Suns|California-Irvine|1978|4|22|88
Cecile Rose|New Jersey Nets|Houston|1978|5|1|89
David Thompson|San Diego Clippers|Florida State|1978|5|2|90
Gary Goodner|Houston Rockets|Texas|1978|5|3|91
James Sparrow|Indiana Pacers|North Carolina A&T|1978|5|4|92
Derick Clairborne|Kansas City Kings|Massachusetts|1978|5|5|93
Greg Tynes|Boston Celtics|Seton Hall|1978|5|6|94
Dave Caligaris|Detroit Pistons|Northeastern|1978|5|7|95
Don Williams|New Orleans Jazz|Notre Dame|1978|5|8|96
Ron Anthony|Chicago Bulls|Jacksonville|1978|5|9|97
Chris Potter|Atlanta Hawks|Holy Cross|1978|5|10|98
Ken Koenigs|Cleveland Cavaliers|Kansas|1978|5|11|99
Greg Green|New York Knicks|Southern University|1978|5|12|100
Thomas Wilson|Golden State Warriors|Western Carolina|1978|5|13|101
Roger Dickens|Washington Bullets|Towson|1978|5|14|102
Russ Coleman|Milwaukee Bucks|Pacific|1978|5|15|103
Carlos Terry|Los Angeles Lakers|Winston-Salem State|1978|5|16|104
Ralph Drollinger|Seattle SuperSonics|California-Los Angeles|1978|5|17|105
Michael Edwards|Denver Nuggets|Texas-Pan American|1978|5|18|106
Andre Wakefield|Phoenix Suns|Loyola-Chicago|1978|5|19|107
Eugene Parker|San Antonio Spurs|Purdue|1978|5|20|108
Mark Haymore|Philadelphia 76ers|Massachusetts|1978|5|21|109
Clay Johnson|Portland Trail Blazers|Missouri|1978|5|22|110
Golie Augustus|New Jersey Nets|South Carolina|1978|6|1|111
Bob Miscevicious|San Diego Clippers|Providence|1978|6|2|112
Eddie Joe Chavez|Houston Rockets|Santa Clara|1978|6|3|113
Jim Krivacs|Kansas City Kings|Texas|1978|6|4|114
Sherman Dillard|Indiana Pacers|James Madison|1978|6|5|115
Dave Winey|Boston Celtics|Minnesota|1978|6|6|116
Audie Matthews|Detroit Pistons|Illinois|1978|6|7|117
John Douglas|New Orleans Jazz|Kansas|1978|6|8|118
John Shoemaker|Chicago Bulls|Miami (OH)|1978|6|9|119
Gerald Glover|Atlanta Hawks|Howard|1978|6|10|120
Ed Warren|New York Knicks|Briar Cliff|1978|6|11|121
Buzz Hartnett|Golden State Warriors|San Diego|1978|6|12|122
Ron Bell|Cleveland Cavaliers|Virginia Tech|1978|6|13|123
Dave Kyle|Milwaukee Bucks|Cleveland State|1978|6|14|124
Archie Aldridge|Washington Bullets|Miami (OH)|1978|6|15|125
Kim Stewart|Los Angeles Lakers|Washington|1978|6|16|126
Robert Heard|Denver Nuggets|Columbus State|1978|6|17|127
Charles Thompson|Phoenix Suns|Houston|1978|6|18|128
Harry Morgan|San Antonio Spurs|Indiana State|1978|6|19|129
Osborne Lockhart|Philadelphia 76ers|Minnesota|1978|6|20|130
Tim Evans|Portland Trail Blazers|Puget Sound|1978|6|21|131
Doug Jemison|New Jersey Nets|San Francisco|1978|7|1|132
Stan Pietkiewicz|San Diego Clippers|Auburn|1978|7|2|133
Stan Stewart|Houston Rockets|Loyola-Marymount|1978|7|3|134
