Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Prince Bridges|Denver Nuggets|Missouri|1984|5|10|103
Terry Martin|Atlanta Hawks|Louisiana-Monroe|1984|5|11|104
Bill Flye|Phoenix Suns|Richmond|1984|5|12|105
Eli Pasquale|Seattle SuperSonics|Victoria (CAN)|1984|5|13|106
Dave Williams|Dallas Mavericks|Illinois-Chicago|1984|5|14|107
Marcus Gaither|Utah Jazz|Fairleigh Dickinson|1984|5|15|108
Michael Gerren|New Jersey Nets|South Alabama|1984|5|16|109
Scott McCollum|Golden State Warriors|Pepperdine|1984|5|17|110
Mike Whitmarsh|Portland Trail Blazers|San Diego|1984|5|18|111
Rick Doyle|Detroit Pistons|Texas-San Antonio|1984|5|19|112
Ernie Floyd|Milwaukee Bucks|Holy Cross|1984|5|20|113
Dan Federman|Philadelphia 76ers|Tennessee|1984|5|21|114
Lance Berwald|Los Angeles Lakers|North Dakota State|1984|5|22|115
Todd Orlando|Boston Celtics|Bentley|1984|5|23|116
Clyde Vaughn|Indiana Pacers|Pittsburgh|1984|6|1|117
Jeff Tipton|Chicago Bulls|Morehead State|1984|6|2|118
Matt Doherty|Cleveland Cavaliers|North Carolina|1984|6|3|119
Mckinley Singleton|Milwaukee Bucks|Alabama-Birmingham|1984|6|4|120
Phillip Haynes|Los Angeles Clippers|Memphis|1984|6|5|121
Blaise Bugajeski|Washington Bullets|Illinois Wesleyan|1984|6|6|122
Tony Martin|Golden State Warriors|Wyoming|1984|6|7|123
Dion Brown|San Antonio Spurs|Louisiana-Lafayette|1984|6|8|124
Willie Burton|Denver Nuggets|Tennessee|1984|6|9|125
Bruce Vanley|Kansas City Kings|Tulsa|1984|6|10|126
Jim Master|Atlanta Hawks|Kentucky|1984|6|11|127
Herman Veal|Phoenix Suns|Maryland|1984|6|12|128
Graylin Warner|Seattle SuperSonics|Louisiana-Lafayette|1984|6|13|129
LaVerne Evans|Dallas Mavericks|Marshall|1984|6|14|130
Oscar Schmidt|New Jersey Nets|Juvecaserta Basket (Italy)|1984|6|15|131
Chris Harrison|Utah Jazz|West Virginia Wesleyan|1984|6|16|132
Eddielee Wilkins|New York Knicks|Gardner-Webb|1984|6|17|133
Lance Ball|Portland Trail Blazers|Western Oregon|1984|6|18|134
Rennie Bailey|Detroit Pistons|Louisiana Tech|1984|6|19|135
Mike Reddick|Milwaukee Bucks|Stetson|1984|6|20|136
Gary Springer|Philadelphia 76ers|Iona|1984|6|21|137
Keith Jones|Los Angeles Lakers|Stanford|1984|6|22|138
Steve Carfino|Boston Celtics|Iowa|1984|6|23|139
Kent Edelin|Indiana Pacers|Virginia|1984|7|1|140
Butch Hays|Chicago Bulls|California|1984|7|2|141
Joe Jakubick|Cleveland Cavaliers|Akron|1984|7|3|142
Joedy Gardner|Houston Rockets|Long Beach State|1984|7|4|143
David Brantley|Los Angeles Clippers|Oregon|1984|7|5|144
Tim Garrett|Washington Bullets|New Mexico|1984|7|6|145
Michael Pitts|San Antonio Spurs|California|1984|7|7|146
Cliff Higgins|Golden State Warriors|Cal State-Northridge|1984|7|8|147
Chip Harris|Kansas City Kings|Robert Morris|1984|7|9|148
Mark Simpson|Denver Nuggets|Catawba|1984|7|10|149
Vince Martello|Atlanta Hawks|Florida State|1984|7|11|150
Raymond Crenshaw|Phoenix Suns|Oklahoma State|1984|7|12|151
Gary Gatewood|Seattle SuperSonics|Oregon|1984|7|13|152
