Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Karl Godine|Washington Bullets|Stephen F. Austin|1980|7|13|151
Joe Nehls|Houston Rockets|Arizona|1980|7|14|152
Alan Zahn|San Antonio Spurs|Arkansas|1980|7|15|153
Arnold McDowell|Kansas City Kings|Montana State|1980|7|16|154
Ron White|Milwaukee Bucks|Furman|1980|7|17|155
Charles Hightower|Atlanta Hawks|Dillard|1980|7|18|156
Ron Williams|Phoenix Suns|Montana Western|1980|7|19|157
Carl Ervin|Seattle SuperSonics|Seattle|1980|7|20|158
Richard Smith|Philadelphia 76ers|Weber State|1980|7|21|159
Les Hanson|Boston Celtics|Virginia Tech|1980|7|22|160
Leroy Loggins|Detroit Pistons|Fairmont State|1980|8|1|161
Kurt Kanaskie|Golden State Warriors|La Salle|1980|8|2|162
Jim Brandon|Utah Jazz|St. Peter's|1980|8|3|163
Modzel Greer|Chicago Bulls|North Park|1980|8|4|164
Lloyd Terry|New Jersey Nets|New Orleans|1980|8|5|165
Jim Ellinghausen|Cleveland Cavaliers|Ohio State|1980|8|6|166
Steve Stielper|Indiana Pacers|James Madison|1980|8|7|167
John Stroeder|Portland Trail Blazers|Montana|1980|8|8|168
Clarence Kea|Dallas Mavericks|Lamar|1980|8|9|169
Rich Valavicious|Washington Bullets|Auburn|1980|8|10|170
James Salters|New York Knicks|Pennsylvania|1980|8|11|171
Bill Bailey|San Antonio Spurs|Texas-Pan American|1980|8|12|172
Rosie Barnes|Houston Rockets|Bowling Green|1980|8|13|173
Keith Valentine|Milwaukee Bucks|Virginia Union|1980|8|14|174
Jim Conolly|Phoenix Suns|La Salle|1980|8|15|175
Al Dutch|Seattle SuperSonics|Georgetown|1980|8|16|176
Martin Lemelle|Philadelphia 76ers|Grambling|1980|8|17|177
Melvin Hooker|Los Angeles Lakers|Edinboro|1980|8|18|178
Steve Wright|Boston Celtics|Boston University|1980|8|19|179
Terry Dupris|Detroit Pistons|Huron|1980|9|1|180
Paul Renfro|Utah Jazz|Texas-Arlington|1980|9|2|181
Billy Reid|Golden State Warriors|San Francisco|1980|9|3|182
Jay Shidler|Chicago Bulls|Kentucky|1980|9|4|183
Jim Graziano|Denver Nuggets|South Carolina|1980|9|5|184
Barry Young|New Jersey Nets|Colorado State|1980|9|6|185
Scott Rogers|Indiana Pacers|Kenyon|1980|9|7|186
Melvin Crafter|Cleveland Cavaliers|Central State (OH)|1980|9|8|187
Rich Boucher|Portland Trail Blazers|Maine|1980|9|9|188
Ken Williams|Dallas Mavericks|Houston|1980|9|10|189
Don Wiley|New York Knicks|Monmouth|1980|9|11|190
Clinton Wyatt|Washington Bullets|Alcorn State|1980|9|12|191
Al Williams|San Antonio Spurs|North Texas|1980|9|13|192
Charley Cole|Kansas City Kings|Delta State|1980|9|14|193
Del Yarbrough|Milwaukee Bucks|Illinois State|1980|9|15|194
Stanley Lamb|Atlanta Hawks|Franciscan|1980|9|16|195
Keith French|Phoenix Suns|North Park|1980|9|17|196
Jim Tillman|Seattle SuperSonics|Eastern Kentucky|1980|9|18|197
Luke Griffin|Philadelphia 76ers|Saint Joseph's|1980|9|19|198
Brian Jung|Boston Celtics|Northwestern|1980|9|20|199
Tim Higgins|Golden State Warriors|Nebraska-Kearney|1980|10|1|200
