Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Alonzo Weatherley|Denver Nuggets|Denver|1981|6|9|124
Robert Williams|Washington Bullets|Grambling|1981|6|10|125
Carter Scott|Golden State Warriors|Ohio State|1981|6|11|126
Fred Cowan|Houston Rockets|Kentucky|1981|6|12|127
Brian Walker|Kansas City Kings|Purdue|1981|6|13|128
Robert Fronk|Indiana Pacers|Washington|1981|6|14|129
Roger Burkman|Chicago Bulls|Louisville|1981|6|15|130
Roshern Arnie|Portland Trail Blazers|Texas-El Paso|1981|6|16|131
John Blair|New York Knicks|Monmouth|1981|6|17|132
Norman Shavers|San Antonio Spurs|Jackson State|1981|6|18|133
Kevin Singleton|Los Angeles Lakers|California|1981|6|19|134
Pete Harris|Phoenix Suns|Northeastern|1981|6|20|135
Jo Jo Hunter|Milwaukee Bucks|Colorado|1981|6|21|136
Steve Waite|Boston Celtics|Iowa|1981|6|22|137
Michael Thomas|Philadelphia 76ers|North Park|1981|6|23|138
Danny Davis|Dallas Mavericks|North Carolina-Wilmington|1981|7|1|139
Greg Nance|Detroit Pistons|West Virginia|1981|7|2|140
Rod Robertson|New Jersey Nets|Northwestern|1981|7|3|141
Andre Smith|Cleveland Cavaliers|Nebraska|1981|7|4|142
Mike Robinson|Utah Jazz|Central Michigan|1981|7|5|143
Kevin Vesey|Atlanta Hawks|Iona|1981|7|6|144
Tom Sienkiewicz|Seattle SuperSonics|Villanova|1981|7|7|145
Randy Johnson|San Diego Clippers|Colorado State-Pueblo|1981|7|8|146
Greg Manning|Denver Nuggets|Maryland|1981|7|9|147
Robby Dosty|Golden State Warriors|Arizona|1981|7|10|148
Randy Martel|Washington Bullets|Houston Baptist|1981|7|11|149
Clinton Wheeler|Kansas City Kings|William Paterson|1981|7|12|150
Joe Faine|Houston Rockets|Bowling Green|1981|7|13|151
Larry McKinney|Indiana Pacers|Boise State|1981|7|14|152
Julius Wayne|Portland Trail Blazers|Texas-El Paso|1981|7|15|153
Scott Williams|Chicago Bulls|South Alabama|1981|7|16|154
Terry Cramer|New York Knicks|Ripon|1981|7|17|155
Mark Minderman|San Antonio Spurs|Northern Michigan|1981|7|18|156
Larry Petty|Los Angeles Lakers|Wisconsin|1981|7|19|157
David Williams|Phoenix Suns|Southern University|1981|7|20|158
Lewis Latimore|Milwaukee Bucks|Virginia|1981|7|21|159
John Crawford|Philadelphia 76ers|Kansas|1981|7|22|160
Tom Seaman|Boston Celtics|Holy Cross|1981|7|23|161
David Kennedy|Dallas Mavericks|Cincinnati|1981|8|1|162
Joe Schoen|Detroit Pistons|Saint Francis (PA)|1981|8|2|163
Ken Webb|New Jersey Nets|Fairleigh Dickinson|1981|8|3|164
Bobby Cattage|Utah Jazz|Auburn|1981|8|4|165
Glen Marcus|Cleveland Cavaliers|Alabama-Birmingham|1981|8|5|166
Gilbert Salinas|Atlanta Hawks|Notre Dame|1981|8|6|167
Todd Haynes|San Diego Clippers|Davidson|1981|8|7|168
Curtis Redding|Denver Nuggets|St. John's (NY)|1981|8|8|169
Mike Howard|Washington Bullets|Wofford|1981|8|9|170
Yasutaka Okayama|Golden State Warriors|Japan Basketball Association (Japan)|1981|8|10|171
Stanley Brewer|Houston Rockets|West Georgia|1981|8|11|172
Randy Smithson|Kansas City Kings|Wichita State|1981|8|12|173
