Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jim Hoverder|Indianapolis Olympians|Central Missouri|1952|0|0|0
Ray Royce|Rochester Royals|Houston|1952|0|0|0
Gordon Stauffer|Indianapolis Olympians|Michigan State|1952|0|0|0
Dale Toft|Indianapolis Olympians|Denver|1952|0|0|0
Sam Miranda|Rochester Royals|Indiana|1952|0|0|0
Bud Donnelly|Syracuse Nationals|La Salle|1952|0|0|0
Jewell McDowell|Rochester Royals|Texas A&M|1952|0|0|0
Leroy Leslie|Rochester Royals|Notre Dame|1952|0|0|0
Bryant Ivey|Rochester Royals|Alabama|1952|0|0|0
John Wallesea|Minneapolis Lakers|Memphis|1952|0|0|0
Homer Spain|Minneapolis Lakers|Union (TN)|1952|0|0|0
Middie Smith|Minneapolis Lakers|Xavier|1952|0|0|0
Bill Harrell|Indianapolis Olympians|Siena|1952|0|0|0
Gene Smith|Minneapolis Lakers|Huron|1952|0|0|0
Don Schneider|Minneapolis Lakers|Arizona|1952|0|0|0
Dick Surhoff|New York Knicks|Long Island-Brooklyn|1952|0|0|0
Ed Ramiraz|Minneapolis Lakers|Centenary (LA)|1952|0|0|0
Dwight Morrison|Minneapolis Lakers|Southern California|1952|0|0|0
Dick Means|Minneapolis Lakers|Minnesota|1952|0|0|0
Tom Katsimpalis|Minneapolis Lakers|Eastern Illinois|1952|0|0|0
Bob Holt|Minneapolis Lakers|Tulane|1952|0|0|0
Cliff Haag|Minneapolis Lakers|Wyoming|1952|0|0|0
Rod Fletcher|Minneapolis Lakers|Illinois|1952|0|0|0
Jim Bishop|Minneapolis Lakers|Southern Mississippi|1952|0|0|0
Tom Ackerman|Minneapolis Lakers|West Liberty|1952|0|0|0
Lee Terrill|Ft. Wayne Zollner Pistons|North Carolina State|1952|0|0|0
Leo Corkery|Ft. Wayne Zollner Pistons|St. Bonaventure|1952|0|0|0
Jim Kennedy|Syracuse Nationals|Duquesne|1952|0|0|0
Bob Clifton|Ft. Wayne Zollner Pistons|Iowa|1952|0|0|0
Hal Cerra|Ft. Wayne Zollner Pistons|Duquesne|1952|0|0|0
Bill Carlson|Ft. Wayne Zollner Pistons|Fordham|1952|0|0|0
Benny Purcell|Baltimore Bullets|Murray State|1952|0|0|0
Art Press|Baltimore Bullets|McDaniel|1952|0|0|0
Gene Melchiorre|Baltimore Bullets|Bradley|1951|1|1|1
Mel Hutchins|Milwaukee Hawks|Brigham Young|1951|1|2|2
Marcus Freiberger|Indianapolis Olympians|Oklahoma|1951|1|3|3
Zeke Sinicola|Ft. Wayne Zollner Pistons|Niagara|1951|1|4|4
John McConathy|Syracuse Nationals|Northwestern State|1951|1|5|5
Ed Smith|New York Knicks|Harvard|1951|1|6|6
Ernie Barrett|Boston Celtics|Kansas State|1951|1|7|7
Sam Ranzino|Rochester Royals|North Carolina State|1951|1|8|8
Don Sunderlage|Philadelphia Warriors|Illinois|1951|1|9|9
Jack Stone|Baltimore Bullets|Kansas State|1951|2|1|10
Bill Gossett|Milwaukee Hawks|Colorado State|1951|2|2|11
Scotty Steagall|Indianapolis Olympians|Millikin|1951|2|3|12
Jack Kiley|Ft. Wayne Zollner Pistons|Syracuse|1951|2|4|13
Don Savage|Syracuse Nationals|Le Moyne|1951|2|5|14
Roland Minson|New York Knicks|Brigham Young|1951|2|6|15
Bill Garrett|Boston Celtics|Indiana|1951|2|7|16
Ray Ragelis|Rochester Royals|Northwestern|1951|2|8|17
