Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Doug Hess|Buffalo Braves|Toledo|1970|6|7|92
George Janky|Portland Trail Blazers|Dayton|1970|6|8|93
Joe Cooke|Cleveland Cavaliers|Indiana|1970|6|9|94
Joe Thomas|Phoenix Suns|Marquette|1970|6|10|95
Lonnie Kluttz|Chicago Bulls|North Carolina A&T|1970|6|11|96
Jerry Venable|Philadelphia 76ers|Kansas State|1970|6|12|97
Jerry Kroll|Los Angeles Lakers|Davidson|1970|6|13|98
Dave Parker|Atlanta Hawks|Windham|1970|6|14|99
Marvin Polnick|Baltimore Bullets|Stephen F. Austin|1970|6|15|100
Willy Watson|Milwaukee Bucks|Oklahoma City|1970|6|16|101
Jim Signorile|New York Knicks|New York University|1970|6|17|102
Billy Paultz|San Diego Rockets|St. John's (NY)|1970|7|1|103
Joe Bergman|San Francisco Warriors|Creighton|1970|7|2|104
Marv Copeland|Detroit Pistons|Michigan Lutheran|1970|7|3|105
Charlie Scott|Boston Celtics|North Carolina|1970|7|4|106
Mike Bernard|Cincinnati Royals|Kentucky State|1970|7|5|107
James Morgan|Seattle SuperSonics|Maryland|1970|7|6|108
Narvis Anderson|Cleveland Cavaliers|Stephen F. Austin|1970|7|7|109
Claude English|Portland Trail Blazers|Rhode Island|1970|7|8|110
Cliff Shegogg|Buffalo Braves|Colorado State|1970|7|9|111
Heyward Dotson|Phoenix Suns|Columbia|1970|7|10|112
Lou West|Chicago Bulls|Seattle|1970|7|11|113
Carlton Poole|Philadelphia 76ers|Philadelphia University|1970|7|12|114
Willie Woods|Los Angeles Lakers|Eastern Kentucky|1970|7|13|115
John Shinall|Atlanta Hawks|Jackson State|1970|7|14|116
Charlie Wallace|Baltimore Bullets|Oklahoma City|1970|7|15|117
John Rinka|Milwaukee Bucks|Kenyon|1970|7|16|118
Roy Hodge|New York Knicks|Wagner|1970|7|17|119
Don Adams|San Diego Rockets|Northwestern|1970|8|1|120
Jeff Sewell|San Francisco Warriors|Marquette|1970|8|2|121
Dan Issel|Detroit Pistons|Kentucky|1970|8|3|122
Bobby Croft|Boston Celtics|Tennessee|1970|8|4|123
Joel McBride|Cincinnati Royals|Augusta State|1970|8|5|124
George Irvine|Seattle SuperSonics|Washington|1970|8|6|125
Larry Woods|Buffalo Braves|West Virginia|1970|8|7|126
Doug Boyd|Portland Trail Blazers|Texas Christian|1970|8|8|127
Walter Robertson|Cleveland Cavaliers|Loyola-Chicago|1970|8|9|128
Steve Patterson|Phoenix Suns|California-Los Angeles|1970|8|10|129
Mike Casey|Chicago Bulls|Kentucky|1970|8|11|130
Fran O'Hanlon|Philadelphia 76ers|Villanova|1970|8|12|131
Rick Mount|Los Angeles Lakers|Purdue|1970|8|13|132
Herb White|Atlanta Hawks|Georgia|1970|8|14|133
Tom Dyksera|Baltimore Bullets|Wheaton (IL)|1970|8|15|134
Jim Samo|Milwaukee Bucks|Northwestern|1970|8|16|135
Greg Fillmore|New York Knicks|Cheyney|1970|8|17|136
Jim Gottschall|San Diego Rockets|Dayton|1970|9|1|137
Lou Small|San Francisco Warriors|Nevada-Reno|1970|9|2|138
Alex Wynn|Detroit Pistons|Dartmouth|1970|9|3|139
Tom Little|Boston Celtics|Seattle|1970|9|4|140
Bob Mabry|Cincinnati Royals|Rio Grande|1970|9|5|141
