Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Dennis Lynch|New York Knicks|Yale|1964|11|1|85
Fred Glover|Baltimore Bullets|Winston-Salem State|1964|11|2|86
Thomas Lowry|Philadelphia 76ers|West Virginia|1964|11|3|87
Gerald Govan|St. Louis Hawks|St. Mary of the Plains|1964|11|4|88
Jim Reynolds|Cincinnati Royals|Abilene Christian|1964|11|5|89
Frank Kamiaski|Baltimore Bullets|Randolph-Macon|1964|12|1|90
Julius Myers|Philadelphia 76ers|Morris Brown|1964|12|2|91
Warren Sutton|St. Louis Hawks|Sir George Williams (CAN)|1964|12|3|92
Fred Jones|Cincinnati Royals|Youngstown State|1964|12|4|93
Doug Moon|Baltimore Bullets|Utah|1964|13|1|94
Cecil Tuttle|St. Louis Hawks|Georgetown (KY)|1964|13|2|95
Pete Gent|Baltimore Bullets|Michigan State|1964|14|1|96
Bill Blair|St. Louis Hawks|Virginia Military Institute|1964|14|2|97
Sandy Williams|Baltimore Bullets|Saint Francis (PA)|1964|15|1|98
Al Cech|St. Louis Hawks|Detroit Mercy|1964|15|2|99
Walt Hazzard|Los Angeles Lakers|California-Los Angeles|1964|0|0|0
George Wilson|Cincinnati Royals|Cincinnati|1964|0|0|0
Art Heyman|New York Knicks|Duke|1963|1|1|1
Rod Thorn|Baltimore Bullets|West Virginia|1963|1|2|2
Nate Thurmond|San Francisco Warriors|Bowling Green|1963|1|3|3
Eddie Miles|Detroit Pistons|Seattle|1963|1|4|4
Gerry Ward|St. Louis Hawks|Boston College|1963|1|5|5
Tom Hoover|Philadelphia 76ers|Villanova|1963|1|6|6
Roger Strickland|Los Angeles Lakers|Jacksonville|1963|1|7|7
Bill Green|Boston Celtics|Colorado State|1963|1|8|8
Jerry Harkness|New York Knicks|Loyola-Chicago|1963|2|1|9
Gus Johnson|Baltimore Bullets|Idaho|1963|2|2|10
Gary Hill|San Francisco Warriors|Oklahoma City|1963|2|3|11
Jerry Smith|Detroit Pistons|Furman|1963|2|4|12
Jim King|Los Angeles Lakers|Tulsa|1963|2|5|13
Leland Mitchell|St. Louis Hawks|Mississippi State|1963|2|6|14
Hershell West|Philadelphia 76ers|Grambling|1963|2|7|15
Mel Gibson|Los Angeles Lakers|Western Carolina|1963|2|8|16
Ken Saylors|St. Louis Hawks|Arkansas Tech|1963|2|9|17
Bill O'Connor|New York Knicks|Canisius|1963|3|1|18
Tom Bolyard|Baltimore Bullets|Indiana|1963|3|2|19
Steve Gray|San Francisco Warriors|St. Mary's (CA)|1963|3|3|20
Mike McCoy|Detroit Pistons|Miami (FL)|1963|3|4|21
Jimmy Rayl|Cincinnati Royals|Indiana|1963|3|5|22
Bill Burwell|St. Louis Hawks|Illinois|1963|3|6|23
Jerry Greenspan|Philadelphia 76ers|Maryland|1963|3|7|24
Lyle Harger|Los Angeles Lakers|Houston|1963|3|8|25
Chuck Kriston|Boston Celtics|Valparaiso|1963|3|9|26
Nate Cloud|New York Knicks|Delaware|1963|4|1|27
Nolen Ellison|Baltimore Bullets|Kansas|1963|4|2|28
Dave Downey|San Francisco Warriors|Illinois|1963|4|3|29
Dave Erickson|Detroit Pistons|Marquette|1963|4|4|30
Ken Charlton|Cincinnati Royals|Colorado|1963|4|5|31
Waite Bellamy|St. Louis Hawks|Florida A&M|1963|4|6|32
Ray Flynn|Philadelphia 76ers|Providence|1963|4|7|33
