Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jim Hudock|San Francisco Warriors|North Carolina|1962|6|7|50
Bucky Keller|Los Angeles Lakers|Virginia Tech|1962|6|8|51
Jim Hooley|Boston Celtics|Boston College|1962|6|9|52
Jack Ardon|Chicago Zephyrs|Tulane|1962|7|1|53
Richie Swartz|New York Knicks|Hofstra|1962|7|2|54
Bob McAteer|St. Louis Hawks|La Salle|1962|7|3|55
John Bradley|Detroit Pistons|Lawrence|1962|7|4|56
Bob Sharpenter|Syracuse Nationals|Georgetown|1962|7|5|57
Gary Cunningham|Cincinnati Royals|California-Los Angeles|1962|7|6|58
Howie Montgomery|San Francisco Warriors|Texas-Pan American|1962|7|7|59
Clyde Arnold|Boston Celtics|Duquesne|1962|7|8|60
Larry Pursiful|Chicago Zephyrs|Kentucky|1962|8|1|61
Warren Fouts|New York Knicks|Oklahoma|1962|8|2|62
Terry Ball|St. Louis Hawks|Washington State|1962|8|3|63
Mike Rice|Detroit Pistons|Duquesne|1962|8|4|64
Jerry Harkness|Syracuse Nationals|Loyola-Chicago|1962|8|5|65
Ed Bento|Cincinnati Royals|Loyola-Marymount|1962|8|6|66
Bill Kirvin|San Francisco Warriors|Xavier|1962|8|7|67
Bill Garner|Los Angeles Lakers|Portland|1962|8|8|68
Chuck Chevalier|Boston Celtics|Boston College|1962|8|9|69
Carroll Broussard|Chicago Zephyrs|Texas A&M|1962|9|1|70
Paul Benec|New York Knicks|Duquesne|1962|9|2|71
Marvin Trotman|St. Louis Hawks|Elizabeth City State|1962|9|3|72
Bill Nelson|Detroit Pistons|Hamline|1962|9|4|73
Vince Brewer|Syracuse Nationals|Iowa State|1962|9|5|74
Chris Jones|Cincinnati Royals|Carson-Newman|1962|9|6|75
Tom Kiefer|San Francisco Warriors|Saint Louis|1962|9|7|76
Bill Matson|Los Angeles Lakers|Minnesota|1962|9|8|77
Mike Cingiser|Boston Celtics|Brown|1962|9|9|78
Pete Campbell|Chicago Zephyrs|Princeton|1962|10|1|79
Ralph Richardson|New York Knicks|Eastern Kentucky|1962|10|2|80
Charlie Sells|St. Louis Hawks|Washington State|1962|10|3|81
Glenn Moore|Detroit Pistons|Oregon|1962|10|4|82
George Knighton|Cincinnati Royals|New Mexico State|1962|10|5|83
Ken McComb|San Francisco Warriors|North Carolina|1962|10|6|84
Jeff Slade|Chicago Zephyrs|Kenyon|1962|11|1|85
Ed Mazria|New York Knicks|Pratt|1962|11|2|86
Tom Chappelle|St. Louis Hawks|Maine|1962|11|3|87
Frank Pinchback|Cincinnati Royals|Xavier|1962|11|4|88
Donnie Walsh|San Francisco Warriors|North Carolina|1962|11|5|89
Mel Nowell|Chicago Zephyrs|Ohio State|1962|12|1|90
John Caveny|St. Louis Hawks|Le Moyne|1962|12|2|91
Charles Warren|San Francisco Warriors|Oregon|1962|12|3|92
Tom Kennedy|Chicago Zephyrs|Lewis|1962|13|1|93
Jerry Carlton|St. Louis Hawks|Arkansas|1962|13|2|94
Bob Mahland|Chicago Zephyrs|Williams|1962|14|1|95
Wilky Gilmore|St. Louis Hawks|Colorado|1962|14|2|96
Pat McKenzie|Chicago Zephyrs|Kansas State|1962|15|1|97
Dave Ricerto|St. Louis Hawks|Rhode Island|1962|15|2|98
Norman Majors|Chicago Zephyrs|Rockhurst|1962|16|1|99
