Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Kent Scott|Kansas City-Omaha Kings|Pittsburgh|1972|13|3|177
Mike Krawzyk|Baltimore Bullets|Loyola-Maryland|1972|13|4|178
Kelly Utley|Phoenix Suns|Shaw|1972|13|5|179
Mike Barr|Chicago Bulls|Duquesne|1972|13|6|180
Paul Kelley|Portland Trail Blazers|Shaw|1972|14|1|181
Greg Corson|Buffalo Braves|North Carolina|1972|14|2|182
Bob Allen|Kansas City-Omaha Kings|Missouri|1972|14|3|183
Aubrey Nash|Baltimore Bullets|Kansas|1972|14|4|184
Cleveland Hill|Seattle SuperSonics|Nicholls State|1972|14|5|185
Ray Golson|Phoenix Suns|West Texas A&M|1972|14|6|186
Andrew Pettes|Chicago Bulls|Oklahoma|1972|14|7|187
Rich Haubeggar|Portland Trail Blazers|Wake Forest|1972|15|1|188
Paul Hoffman|Buffalo Braves|St. Bonaventure|1972|15|2|189
Mike Jefferies|Kansas City-Omaha Kings|Oklahoma State|1972|15|3|190
Gary Handleman|Baltimore Bullets|Johns Hopkins|1972|15|4|191
Greg Lowery|Chicago Bulls|Texas Tech|1972|15|5|192
Mose Adolph|Portland Trail Blazers|Cal State-Los Angeles|1972|16|1|193
Norman Bounds|Buffalo Braves|SUNY Brockport|1972|16|2|194
Mike Peterson|Kansas City-Omaha Kings|Nebraska|1972|16|3|195
Charles Hall|Chicago Bulls|Montana Western|1972|16|4|196
John Thornton|Chicago Bulls|South Carolina State|1972|17|1|197
Ron Manning|Chicago Bulls|Manhattan|1972|18|1|198
Austin Carr|Cleveland Cavaliers|Notre Dame|1971|1|1|1
Sidney Wicks|Portland Trail Blazers|California-Los Angeles|1971|1|2|2
Elmore Smith|Buffalo Braves|Kentucky State|1971|1|3|3
Ken Durrett|Cincinnati Royals|La Salle|1971|1|4|4
George Trapp|Atlanta Hawks|Long Beach State|1971|1|5|5
Fred Brown|Seattle SuperSonics|Iowa|1971|1|6|6
Cliff Meely|Houston Rockets|Colorado|1971|1|7|7
Darnell Hillman|Golden State Warriors|San Jose State|1971|1|8|8
Stan Love|Baltimore Bullets|Oregon|1971|1|9|9
Clarence Glover|Boston Celtics|Western Kentucky|1971|1|10|10
Curtis Rowe|Detroit Pistons|California-Los Angeles|1971|1|11|11
Dana Lewis|Philadelphia 76ers|Tulsa|1971|1|12|12
Jim Cleamons|Los Angeles Lakers|Ohio State|1971|1|13|13
John Roche|Phoenix Suns|South Carolina|1971|1|14|14
Kenny McIntosh|Chicago Bulls|Eastern Michigan|1971|1|15|15
Dean Meminger|New York Knicks|Marquette|1971|1|16|16
Collis Jones|Milwaukee Bucks|Notre Dame|1971|1|17|17
Steve Patterson|Cleveland Cavaliers|California-Los Angeles|1971|2|1|18
Fred Hilton|Buffalo Braves|Grambling|1971|2|2|19
Willard Sojourner|Chicago Bulls|Weber State|1971|2|3|20
John Mengelt|Cincinnati Royals|Auburn|1971|2|4|21
Ted, Hound Dog McClain|Atlanta Hawks|Tennessee State|1971|2|5|22
Jim McDaniels|Seattle SuperSonics|Western Kentucky|1971|2|6|23
Mike Newlin|Houston Rockets|Utah|1971|2|7|24
Charlie Yelverton|Portland Trail Blazers|Fordham|1971|2|8|25
Amos Thomas|Buffalo Braves|Southwestern Oklahoma|1971|2|9|26
Richard Fisher|Portland Trail Blazers|Colorado State|1971|2|10|27
Jim Rose|Boston Celtics|Western Kentucky|1971|2|11|28
