Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Mike Drepling|Cincinnati Royals|Westminster (PA)|1968|15|4|185
Ed Fellers|New York Knicks|Guilford|1968|15|5|186
Johnny Baum|Los Angeles Lakers|Temple|1968|15|6|187
Bernie Foster|Atlanta Hawks|Point Loma Nazarene|1968|15|7|188
George Mack|Philadelphia 76ers|North Carolina A&T|1968|15|8|189
Chuck Caldwell|San Diego Rockets|Missouri-St. Louis|1968|16|1|190
Fred Holden|Chicago Bulls|Louisville|1968|16|2|191
Dennis Blace|Baltimore Bullets|San Francisco|1968|16|3|192
Dick Harris|Cincinnati Royals||1968|16|4|193
Bob Ferguson|New York Knicks|Tennessee Wesleyan|1968|16|5|194
Mike Eberle|Los Angeles Lakers|Wyoming|1968|16|6|195
Terry Allerton|Atlanta Hawks|Baldwin Wallace|1968|16|7|196
Joe Crews|Philadelphia 76ers|Villanova|1968|16|8|197
Dave Miller|San Diego Rockets|South Dakota State|1968|17|1|198
Tom Benedict|Chicago Bulls|Central Washington|1968|17|2|199
Greg Morris|Baltimore Bullets|Cornell|1968|17|3|200
John Howard|Cincinnati Royals|Cincinnati|1968|17|4|201
Milt Williams|New York Knicks|Lincoln (MO)|1968|17|5|202
Nate Ware|Philadelphia 76ers|Tennessee State|1968|17|6|203
Harold Grant|San Diego Rockets|Pepperdine|1968|18|1|204
Bob Zoretich|Chicago Bulls|DePaul|1968|18|2|205
Art Kenny|Baltimore Bullets|Fairfield|1968|18|3|206
Larry Humes|Cincinnati Royals|Evansville|1968|18|4|207
Bill Corley|San Diego Rockets|Connecticut|1968|19|1|208
Rich Mason|Chicago Bulls|Indiana State|1968|19|2|209
Jim LaCour|Baltimore Bullets|Seattle|1968|19|3|210
Jay Reffords|Cincinnati Royals||1968|19|4|211
Rich Rirkendal|Chicago Bulls|Norfolk State|1968|20|1|212
Ron Woodruff|Baltimore Bullets|Midwestern State|1968|20|2|213
Willie Horton|Chicago Bulls|Delaware|1968|21|1|214
Jimmy Walker|Detroit Pistons|Providence|1967|1|1|1
Earl Monroe|Baltimore Bullets|Winston-Salem State|1967|1|2|2
Clem Haskins|Chicago Bulls|Western Kentucky|1967|1|3|3
Lloyd Dove|Detroit Pistons|St. John's (NY)|1967|1|4|4
Walt Frazier|New York Knicks|Southern Illinois|1967|1|5|5
Al Tucker|Seattle SuperSonics|Oklahoma Baptist|1967|1|6|6
Pat Riley|San Diego Rockets|Kentucky|1967|1|7|7
Tom Workman|St. Louis Hawks|Seattle|1967|1|8|8
Mel Daniels|Cincinnati Royals|New Mexico|1967|1|9|9
Dave Lattin|San Francisco Warriors|Texas-El Paso|1967|1|10|10
Mal Graham|Boston Celtics|New York University|1967|1|11|11
Craig Raymond|Philadelphia 76ers|Brigham Young|1967|1|12|12
Jimmy Jones|Baltimore Bullets|Grambling|1967|2|1|13
Steve Sullivan|Detroit Pistons|Georgetown|1967|2|2|14
Byron Beck|Chicago Bulls|Denver|1967|2|3|15
Randolph Mahaffey|Los Angeles Lakers|Clemson|1967|2|4|16
Phil Jackson|New York Knicks|North Dakota|1967|2|5|17
Bob Netolicky|San Diego Rockets|Drake|1967|2|6|18
Bob Rule|Seattle SuperSonics|Colorado State|1967|2|7|19
Malikin Strong|Baltimore Bullets|Seattle|1967|3|1|20
