Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Ron Crevier|Chicago Bulls|Boston College|1983|4|5|75
Doug Arnold|Utah Jazz|Texas Christian|1983|4|6|76
Peter Thibeaux|Golden State Warriors|St. Mary's (CA)|1983|4|7|77
Steve Bouchie|Detroit Pistons|Indiana|1983|4|8|78
Johnny Martin|Dallas Mavericks|Northwestern State|1983|4|9|79
Dan Gay|Washington Bullets|Louisiana-Lafayette|1983|4|10|80
Harry Kelley|Atlanta Hawks|Texas Southern|1983|4|11|81
Mark Jones|New York Knicks|St. Bonaventure|1983|4|12|82
York Gross|Denver Nuggets|California-Santa Barbara|1983|4|13|83
Mike Jackson|Kansas City Kings|Wyoming|1983|4|14|84
Tim Dunham|Portland Trail Blazers|Chaminade|1983|4|15|85
Pete DeBisschop|Seattle SuperSonics|Fairfield|1983|4|16|86
Barney Mines|New Jersey Nets|Bradley|1983|4|17|87
Mark Nickens|Milwaukee Bucks|American|1983|4|18|88
Sam Mosley|Phoenix Suns|Nevada-Reno|1983|4|19|89
Brant Weidner|San Antonio Spurs|William & Mary|1983|4|20|90
Carlos Clark|Boston Celtics|Mississippi|1983|4|21|91
Terry Lewis|Los Angeles Lakers|Mississippi State|1983|4|22|92
Craig Robinson|Philadelphia 76ers|Princeton|1983|4|23|93
Chuck Barnett|Houston Rockets|Oklahoma|1983|5|1|94
Roger Stieg|Indiana Pacers|Mississippi|1983|5|2|95
Chris Logan|Cleveland Cavaliers|Holy Cross|1983|5|3|96
Manute Bol|San Diego Clippers|Bridgeport|1983|5|4|97
Tim Andree|Chicago Bulls|Notre Dame|1983|5|5|98
Greg Hines|Golden State Warriors|Hampton|1983|5|6|99
Matt Clark|Utah Jazz|Oklahoma|1983|5|7|100
Ken Austin|Detroit Pistons|Rice|1983|5|8|101
Jim Lampley|Dallas Mavericks|Arkansas-Little Rock|1983|5|9|102
Robin Dixon|Washington Bullets|New Hampshire|1983|5|10|103
Charles Jones|Atlanta Hawks|Oklahoma|1983|5|11|104
Troy Lee Mikell|New York Knicks|East Tennessee State|1983|5|12|105
Lorenza Andrews|Kansas City Kings|Oklahoma State|1983|5|13|106
James Braddock|Denver Nuggets|North Carolina|1983|5|14|107
Gary Monroe|Portland Trail Blazers|Wright State|1983|5|15|108
Brad Watson|Seattle SuperSonics|Washington|1983|5|16|109
Tyren Naulls|New Jersey Nets|Texas A&M|1983|5|17|110
Mark Petteway|Milwaukee Bucks|New Orleans|1983|5|18|111
Jeff Pehl|San Antonio Spurs|Richmond|1983|5|19|112
Rick Lamb|Phoenix Suns|Illinois State|1983|5|20|113
Bob Reitz|Boston Celtics|Stonehill|1983|5|21|114
Danny Dixon|Los Angeles Lakers|Alabama A&M|1983|5|22|115
Mike Milligan|Philadelphia 76ers|Tennessee State|1983|5|23|116
Jim Stack|Houston Rockets|Northwestern|1983|6|1|117
Cliff Pruitt|Indiana Pacers|Alabama-Birmingham|1983|6|2|118
Mel McLaughlin|Cleveland Cavaliers|Central Michigan|1983|6|3|119
Russell Todd|Milwaukee Bucks|West Virginia|1983|6|4|120
Ernest Patterson|Chicago Bulls|New Mexico State|1983|6|5|121
Fred Gilliam|Utah Jazz|Clemson|1983|6|6|122
Tom Heywood|Golden State Warriors|Weber State|1983|6|7|123
Derek Perry|Detroit Pistons|Michigan State|1983|6|8|124
