Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Austin Daye|Detroit Pistons|Gonzaga|2009|1|15|15
James Johnson|Chicago Bulls|Wake Forest|2009|1|16|16
Jrue Holiday|Philadelphia 76ers|California-Los Angeles|2009|1|17|17
Ty Lawson|Minnesota Timberwolves|North Carolina|2009|1|18|18
Jeff Teague|Atlanta Hawks|Wake Forest|2009|1|19|19
Eric Maynor|Utah Jazz|Virginia Commonwealth|2009|1|20|20
Darren Collison|New Orleans Hornets|California-Los Angeles|2009|1|21|21
Victor Claver|Portland Trail Blazers|Valencia BC (Spain)|2009|1|22|22
Omri Casspi|Sacramento Kings|Maccabi Tel Aviv B.C. (Israel)|2009|1|23|23
Byron Mullens|Dallas Mavericks|Ohio State|2009|1|24|24
Rodrigue Beaubois|Oklahoma City Thunder|Cholet Basket (France)|2009|1|25|25
Taj Gibson|Chicago Bulls|Southern California|2009|1|26|26
DeMarre Carroll|Memphis Grizzlies|Missouri|2009|1|27|27
Wayne Ellington|Minnesota Timberwolves|North Carolina|2009|1|28|28
Toney Douglas|Los Angeles Lakers|Florida State|2009|1|29|29
Christian Eyenga|Cleveland Cavaliers|CB Prat (Spain)|2009|1|30|30
Jeff Ayres|Sacramento Kings|Arizona State|2009|2|1|31
Jermaine Taylor|Washington Wizards|Central Florida|2009|2|2|32
Dante Cunningham|Portland Trail Blazers|Villanova|2009|2|3|33
Sergio Llull|Denver Nuggets|Real Madrid Baloncesto (Spain)|2009|2|4|34
DaJuan Summers|Detroit Pistons|Georgetown|2009|2|5|35
Sam Young|Memphis Grizzlies|Pittsburgh|2009|2|6|36
DeJuan Blair|San Antonio Spurs|Pittsburgh|2009|2|7|37
Jon Brockman|Portland Trail Blazers|Washington|2009|2|8|38
Jonas Jerebko|Detroit Pistons|Pallacanestro Biella (Italy)|2009|2|9|39
Derrick Brown|Charlotte Bobcats|Xavier|2009|2|10|40
Jodie Meeks|Milwaukee Bucks|Kentucky|2009|2|11|41
Patrick Beverley|Los Angeles Lakers|BC Dnipro (Ukraine)|2009|2|12|42
Marcus Thornton|Miami Heat|Louisiana State|2009|2|13|43
Chase Budinger|Detroit Pistons|Arizona|2009|2|14|44
Nick Calathes|Minnesota Timberwolves|Florida|2009|2|15|45
Danny Green|Cleveland Cavaliers|North Carolina|2009|2|16|46
Henk Norel|Minnesota Timberwolves|Joventut Badalona (Spain)|2009|2|17|47
Taylor Griffin|Phoenix Suns|Oklahoma|2009|2|18|48
Sergiy Gladyr|Atlanta Hawks|MBC Mykolaiv (Ukraine)|2009|2|19|49
Goran Suton|Utah Jazz|Michigan State|2009|2|20|50
Jack McClinton|San Antonio Spurs|Miami (FL)|2009|2|21|51
AJ Price|Indiana Pacers|Connecticut|2009|2|22|52
Nando De Colo|San Antonio Spurs|Cholet Basket (France)|2009|2|23|53
Robert Vaden|Charlotte Bobcats|Alabama-Birmingham|2009|2|24|54
Patty Mills|Portland Trail Blazers|St. Mary's (CA)|2009|2|25|55
Ahmad Nivins|Dallas Mavericks|Saint Joseph's|2009|2|26|56
Emir Preldzic|Phoenix Suns|Fenerbahce S.K. (Turkey)|2009|2|27|57
Lester Hudson|Boston Celtics|Tennessee-Martin|2009|2|28|58
Chinemelu Elonu|Los Angeles Lakers|Texas A&M|2009|2|29|59
Robert Dozier|Miami Heat|Memphis|2009|2|30|60
Derrick Rose|Chicago Bulls|Memphis|2008|1|1|1
Michael Beasley|Miami Heat|Kansas State|2008|1|2|2
O.J. Mayo|Minnesota Timberwolves|Southern California|2008|1|3|3
Russell Westbrook|Oklahoma City Thunder|California-Los Angeles|2008|1|4|4
