Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Marcus Washington|Houston Rockets|Marquette|1974|10|5|166
Dennis White|Kansas City-Omaha Kings|Arkansas|1974|10|6|167
Brendy Lee|Atlanta Hawks|Nebraska|1974|10|7|168
Rod Derline|Seattle SuperSonics|Seattle|1974|10|8|169
Andy Rimol|Buffalo Braves|Princeton|1974|10|9|170
Walt McGary|New Orleans Jazz|Tennessee-Chattanooga|1974|10|10|171
Marvin Buckley|Golden State Warriors|Nevada-Reno|1974|10|11|172
Pete Collins|Washington Bullets|High Point|1974|10|13|173
John O'Connell|New York Knicks|North Carolina|1974|10|14|174
Bill Ligon|Detroit Pistons|Vanderbilt|1974|10|15|175
Rick Hockenos|Chicago Bulls|Saint Francis (PA)|1974|10|16|176
Phil Rogers|Boston Celtics|Fairfield|1974|10|17|177
Bruce Featherston|Milwaukee Bucks|Texas State|1974|10|18|178
Doug Collins|Philadelphia 76ers|Illinois State|1973|1|1|1
Jim Brewer|Cleveland Cavaliers|Minnesota|1973|1|2|2
Ernie DiGregorio|Buffalo Braves|Providence|1973|1|3|3
Mike Green|Seattle SuperSonics|Louisiana Tech|1973|1|4|4
Kermit Washington|Los Angeles Lakers|American|1973|1|5|5
Ed Ratleff|Houston Rockets|Long Beach State|1973|1|6|6
Ron Behagen|Kansas City-Omaha Kings|Minnesota|1973|1|7|7
Mike Bantom|Phoenix Suns|Saint Joseph's|1973|1|8|8
Dwight Jones|Atlanta Hawks|Houston|1973|1|9|9
John Brown|Atlanta Hawks|Missouri|1973|1|10|10
Kevin Joyce|Golden State Warriors|South Carolina|1973|1|11|11
Kevin Kunnert|Chicago Bulls|Iowa|1973|1|12|12
Nick Weatherspoon|Capital Bullets|Illinois|1973|1|13|13
Mel Davis|New York Knicks|St. John's (NY)|1973|1|14|14
Barry Parkhill|Portland Trail Blazers|Virginia|1973|1|15|15
Swen Nater|Milwaukee Bucks|California-Los Angeles|1973|1|16|16
Steve Downing|Boston Celtics|Indiana|1973|1|17|17
Raymond Lewis|Philadelphia 76ers|Cal State-Los Angeles|1973|1|18|18
Louie Nelson|Capital Bullets|Washington|1973|2|1|19
Mike D'Antoni|Kansas City-Omaha Kings|Marshall|1973|2|2|20
Allan Bristow|Philadelphia 76ers|Virginia Tech|1973|2|3|21
George McGinnis|Philadelphia 76ers|Indiana|1973|2|4|22
Billy Schaeffer|Los Angeles Lakers|St. John's (NY)|1973|2|5|23
Kevin Stacom|Chicago Bulls|Providence|1973|2|6|24
Larry McNeill|Kansas City-Omaha Kings|Marquette|1973|2|7|25
Allan Hornyak|Cleveland Cavaliers|Ohio State|1973|2|8|26
Tom Ingelsby|Atlanta Hawks|Villanova|1973|2|9|27
Patrick McFarland|New York Knicks|Saint Joseph's|1973|2|10|28
Derrek Dickey|Golden State Warriors|Cincinnati|1973|2|11|29
Wendell Hudson|Chicago Bulls|Alabama|1973|2|12|30
Jim Chones|Los Angeles Lakers|Marquette|1973|2|13|31
Caldwell Jones|Philadelphia 76ers|Albany State (GA)|1973|2|14|32
Gary Melchionni|Phoenix Suns|Duke|1973|2|15|33
John Perry|Los Angeles Lakers|Texas-Pan American|1973|2|16|34
Phil Hankinson|Boston Celtics|Pennsylvania|1973|2|17|35
Ted Manakas|Atlanta Hawks|Princeton|1973|3|1|36
Jim O'Brien|Cleveland Cavaliers|Maryland|1973|3|2|37
