Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Buckshot O'Brien|Indianapolis Olympians|Butler|1950|6|0|0
Jack Laub|Baltimore Bullets|Cincinnati|1950|9|0|0
Nate DeLong|Tri-Cities Blackhawks|Wisconsin-River Falls|1950|9|0|0
Ed Dahler|Philadelphia Warriors|Duquesne|1950|2|0|0
Bill Sharman|Washington Capitols|Southern California|1950|2|0|0
Herb Scherer|New York Knicks|Long Island-Brooklyn|1950|2|0|0
Alan Sawyer|Washington Capitols|California-Los Angeles|1950|3|0|0
Claude Overton|Washington Capitols|East Central|1950|5|0|0
Jerry Reed|Baltimore Bullets|Wyoming|1950|4|0|0
Mike Zedalis|Baltimore Bullets|Loyola-Maryland|1950|10|0|0
Billy Adcock|Ft. Wayne Zollner Pistons|Vanderbilt|1950|8|0|0
Al Henningsen|Ft. Wayne Zollner Pistons|Northwest Missouri State|1950|9|0|0
Ed Jones|Ft. Wayne Zollner Pistons|Tennessee|1950|7|0|0
Bob Metcalf|Ft. Wayne Zollner Pistons|Valparaiso|1950|6|0|0
Len Rzewszewski|Ft. Wayne Zollner Pistons|Indiana State|1950|4|0|0
Ed Thompson|Ft. Wayne Zollner Pistons|Kent State|1950|5|0|0
Newt Benson|Minneapolis Lakers|Wisconsin-River Falls|1950|8|0|0
Andy Butchko|Minneapolis Lakers|Purdue|1950|10|0|0
Wayne Glasgow|Minneapolis Lakers|Oklahoma|1950|6|0|0
Hal Haskins|Minneapolis Lakers|Hamline|1950|2|0|0
Jim Reilly|Minneapolis Lakers|Swarthmore|1950|9|0|0
Howie Williams|Minneapolis Lakers|Purdue|1950|3|0|0
Harry Foley|Rochester Royals|Niagara|1950|10|0|0
Chet Giermak|Rochester Royals|William & Mary|1950|4|0|0
John Givens|Rochester Royals|Western Kentucky|1950|6|0|0
Dan Kahler|Rochester Royals|Southwestern (KS)|1950|7|0|0
Carl Kraushaar|Rochester Royals|California-Los Angeles|1950|8|0|0
Bob Roper|Rochester Royals|John Carroll|1950|3|0|0
George Stanich|Rochester Royals|California-Los Angeles|1950|2|0|0
Warren Switzer|Rochester Royals|Rice|1950|9|0|0
Sonny Allen|Indianapolis Olympians|Morehead State|1950|5|0|0
Colin Anderson|Indianapolis Olympians|Georgia Tech|1950|10|0|0
Jimmy Doyle|Indianapolis Olympians|Butler|1950|11|0|0
Jim Line|Indianapolis Olympians|Kentucky|1950|4|0|0
Gene Schmidt|Indianapolis Olympians|Texas Christian|1950|9|0|0
Jerry Stuteville|Indianapolis Olympians|Indiana|1950|8|0|0
Paul Unruh|Indianapolis Olympians|Bradley|1950|2|0|0
Lou Arko|Syracuse Nationals|Akron|1950|7|0|0
Stan Christie|Syracuse Nationals|Southern California|1950|3|0|0
Bob Healey|Syracuse Nationals|Georgia|1950|8|0|0
Paul Hickey|Syracuse Nationals|Denver|1950|5|0|0
Paul Merchant|Syracuse Nationals|Oklahoma|1950|4|0|0
Bob Savage|Syracuse Nationals|Syracuse|1950|9|0|0
Mack Suprunowicz|Syracuse Nationals|Michigan|1950|6|0|0
Glenn Wilkes|Syracuse Nationals|Mercer|1950|10|0|0
Bob Anderson|Tri-Cities Blackhawks|Loyola-Maryland|1950|6|0|0
Keith Bloom|Tri-Cities Blackhawks|Wyoming|1950|10|0|0
Clarence Brannum|Tri-Cities Blackhawks|Kansas State|1950|3|0|0
Loy Doty|Tri-Cities Blackhawks|Wyoming|1950|8|0|0
Bill Erickson|Tri-Cities Blackhawks|Illinois|1950|7|0|0
