Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Sam McCarney|Boston Celtics|Oral Roberts|1972|8|14|127
Cavin Anderson|Chicago Bulls|Valley City State|1972|8|15|128
Charles Kirkland|Milwaukee Bucks|Cheyney|1972|8|16|129
Scott McCandlish|Portland Trail Blazers|Virginia|1972|9|1|130
John Collins|Buffalo Braves|SUNY Brockport|1972|9|2|131
Greg Starrick|Cleveland Cavaliers|Southern Illinois|1972|9|3|132
Kessie Mangam|Detroit Pistons|Ferris State|1972|9|4|133
Steve McMahon|Kansas City-Omaha Kings|Merrimack|1972|9|5|134
Rod Murray|Philadelphia 76ers|Cal State-Los Angeles|1972|9|6|135
Larry Strozier|Atlanta Hawks|Morehouse|1972|9|7|136
Ruppert Breedlove|Baltimore Bullets|Oglethorpe|1972|9|8|137
Dwight Holliday|Seattle SuperSonics|Hawaii|1972|9|9|138
Tom Sullivan|New York Knicks|Fordham|1972|9|10|139
Bill Kennedy|Phoenix Suns|Arizona|1972|9|11|140
Bill Duey|Golden State Warriors|California|1972|9|12|141
Ralph Houston|Chicago Bulls|West Texas A&M|1972|9|13|142
Jim Regenold|Milwaukee Bucks|Ball State|1972|9|14|143
Kresimir Cosic|Portland Trail Blazers|Brigham Young|1972|10|1|144
Kent Martens|Cleveland Cavaliers|Abilene Christian|1972|10|2|145
Kent Hollenbeck|Detroit Pistons|Kentucky|1972|10|3|146
Gary Watson|Philadelphia 76ers|Wisconsin|1972|10|4|147
David Hall|Kansas City-Omaha Kings|Kansas State|1972|10|5|148
Jim Clesson|Atlanta Hawks|Tulsa|1972|10|6|149
Will Loftin|Baltimore Bullets|Louisiana-Lafayette|1972|10|7|150
Dan Stewart|Seattle SuperSonics|Washington State|1972|10|8|151
Richie Garner|New York Knicks|Manhattan|1972|10|9|152
Al Vilcheck|Phoenix Suns|Louisville|1972|10|10|153
Marty Hunt|Boston Celtics|Kenyon|1972|10|11|154
Chuck Taylor|Chicago Bulls|West Liberty|1972|10|12|155
Jolly Spight|Milwaukee Bucks|Santa Clara|1972|10|13|156
Jimmy Wilkins|Portland Trail Blazers|San Diego State|1972|11|1|157
Jim Prokell|Buffalo Braves|Edinboro|1972|11|2|158
Floyd Mathew|Kansas City-Omaha Kings|Northern Arizona|1972|11|3|159
Charles Allen|Atlanta Hawks|Texas Southern|1972|11|4|160
Marvin Watkins|Baltimore Bullets|Jackson State|1972|11|5|161
Steve Turner|Seattle SuperSonics|Vanderbilt|1972|11|6|162
Chic Downing|New York Knicks|Benedictine (IL)|1972|11|7|163
John Belcher|Phoenix Suns|Arkansas State|1972|11|8|164
Mark Minor|Boston Celtics|Ohio State|1972|11|9|165
Jackie Young|Chicago Bulls|Rocky Mountain|1972|11|10|166
Frank Dewitt|Buffalo Braves|Virginia|1972|12|1|167
Len Baltimore|Kansas City-Omaha Kings|George Washington|1972|12|2|168
James Green|Atlanta Hawks|Paine|1972|12|3|169
Lloyd Adams|Baltimore Bullets|Rhode Island|1972|12|4|170
Gregg Daust|Seattle SuperSonics|Missouri-St. Louis|1972|12|5|171
Mark Soderberg|Phoenix Suns|Utah|1972|12|6|172
Phil Stephens|Boston Celtics|South Carolina State|1972|12|7|173
Al Cotler|Chicago Bulls|Pennsylvania|1972|12|8|174
Larry Morris|Portland Trail Blazers|Tulsa|1972|13|1|175
Kim Huband|Buffalo Braves|North Carolina|1972|13|2|176
