Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Frank Saul|Rochester Royals|Seton Hall|1949|1|10|10
Johnny Orr|St. Louis Bombers|Beloit|1949|2|0|0
Carl Schaeffer|Providence Steamrollers|Alabama|1949|0|0|0
Ed Leede|Providence Steamrollers|Dartmouth|1949|3|0|0
Jim Nolan|Philadelphia Warriors|Georgia Tech|1949|2|0|0
Bill Tanzler|Providence Steamrollers|Florida|1949|0|0|0
Jack Theolan|Providence Steamrollers|DePaul|1949|0|0|0
Joe Crandall|St. Louis Bombers|Oregon State|1949|0|0|0
Jack Davidson|St. Louis Bombers|Stanford|1949|0|0|0
Bob Retherford|St. Louis Bombers|Nebraska|1949|0|0|0
Eddie Van Zant|St. Louis Bombers|Northwestern Oklahoma State|1949|0|0|0
Preston Ward|St. Louis Bombers|Missouri State|1949|0|0|0
Mac Otten|Indianapolis Olympians|Bowling Green|1949|3|0|0
Maynard Haitcock|Washington Capitols|George Washington|1949|0|0|0
Jim Lacy|Washington Capitols|Loyola-Maryland|1949|0|0|0
Jim Owens|Washington Capitols|Baylor|1949|2|0|0
Bill Evans|Baltimore Bullets|Drake|1949|0|0|0
Tom Gallagher|Baltimore Bullets|St. Francis Brooklyn|1949|0|0|0
Johnny Oldham|Ft. Wayne Zollner Pistons|Western Kentucky|1949|2|0|0
Jerry Nagel|Ft. Wayne Zollner Pistons|Loyola-Chicago|1949|4|0|0
Warren Perkins|Providence Steamrollers|Tulane|1949|4|0|0
Paul Courty|Providence Steamrollers|Oklahoma|1949|0|0|0
Joe Mullaney|Boston Celtics|Holy Cross|1949|3|0|0
Bob Prewitt|New York Knicks|Southern Methodist|1949|0|0|0
Ed Macauley|St. Louis Bombers|Saint Louis|1949|0|0|0
Ray Corley|Providence Steamrollers|Georgetown|1949|5|0|0
Bill Litchfield|New York Knicks|Emporia State|1949|0|0|0
Duane Klueh|Boston Celtics|Indiana State|1949|8|0|0
Bill Kleine|New York Knicks|Missouri Valley|1949|0|0|0
Ken Kearns|New York Knicks|Arkansas|1949|0|0|0
John Pritchard|St. Louis Bombers|Drake|1949|7|0|0
George Kaftan|Boston Celtics|Holy Cross|1949|2|0|0
Ed Little|Boston Celtics|Denver Junior College|1949|0|0|0
Bob Harrison|Minneapolis Lakers|Michigan|1949|0|0|0
Don Bagley|New York Knicks|Notre Dame|1949|0|0|0
Bill Weight|Boston Celtics|Brigham Young|1949|0|0|0
Vern Mikkelsen|Minneapolis Lakers|Hamline|1949|0|0|0
Jim Simpson|Boston Celtics|Bates|1949|0|0|0
Emerson Speicher|Boston Celtics|Bowling Green|1949|0|0|0
Bill Tom|Boston Celtics|Rice|1949|0|0|0
Bill Vandenburgh|Boston Celtics|Washington|1949|0|0|0
Russ Washburn|Boston Celtics|Colby|1949|0|0|0
Earl Dodd|St. Louis Bombers|Truman State|1949|5|0|0
Harry Donovan|New York Knicks|Muhlenberg|1949|2|0|0
Jim McMullen|Baltimore Bullets|Xavier|1949|0|0|0
Eppa Rixey|Baltimore Bullets|Kenyon|1949|0|0|0
Leo Barnhorst|Indianapolis Olympians|Notre Dame|1949|2|0|0
Cliff Barker|Washington Capitols|Kentucky|1949|5|0|0
Bob Royer|Providence Steamrollers|Indiana State|1949|8|0|0
Ralph Beard|Chicago Stags|Kentucky|1949|2|0|0
