Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Jerry Rook|Baltimore Bullets|Arkansas State|1965|14|1|97
Jack Morgenthal|Philadelphia 76ers|Houston|1965|14|2|98
Terry Page|St. Louis Hawks|Detroit Mercy|1965|14|3|99
Larry Franks|Cincinnati Royals|Texas|1965|14|4|100
Dave Hicks|Baltimore Bullets||1965|15|1|101
James Pitts|Philadelphia 76ers|Georgia|1965|15|2|102
George Pomey|St. Louis Hawks|Michigan|1965|15|3|103
Ronald Scharf|Cincinnati Royals|Georgia Tech|1965|15|4|104
Bunk Adams|Baltimore Bullets|Ohio|1965|16|1|105
Larry Rafferty|Philadelphia 76ers|Fairfield|1965|16|2|106
Bob Tolan|St. Louis Hawks|Eastern Kentucky|1965|16|3|107
Willie Porter|Cincinnati Royals|Tennessee State|1965|16|4|108
Roger Taylor|Baltimore Bullets|Illinois|1965|17|1|109
Gail Goodrich|Los Angeles Lakers|California-Los Angeles|1965|0|0|0
Bill Bradley|New York Knicks|Princeton|1965|0|0|0
Bill Buntin|Detroit Pistons|Michigan|1965|0|0|0
Jim Barnes|New York Knicks|Texas-El Paso|1964|1|1|1
Joe Caldwell|Detroit Pistons|Arizona State|1964|1|2|2
Gary Bradds|Baltimore Bullets|Ohio State|1964|1|3|3
Lucious Jackson|Philadelphia 76ers|Texas-Pan American|1964|1|4|4
Jeff Mullins|St. Louis Hawks|Duke|1964|1|5|5
Barry Kramer|San Francisco Warriors|New York University|1964|1|6|6
Mel Counts|Boston Celtics|Oregon State|1964|1|7|7
Willis Reed|New York Knicks|Grambling|1964|2|1|8
Les Hunter|Detroit Pistons|Loyola-Chicago|1964|2|2|9
Paul Silas|St. Louis Hawks|Creighton|1964|2|3|10
Ira Harge|Philadelphia 76ers|New Mexico|1964|2|4|11
Charles Nash|Los Angeles Lakers|Kentucky|1964|2|5|12
Howard Komives|New York Knicks|Bowling Green|1964|2|6|13
Bud Koper|San Francisco Warriors|Oklahoma City|1964|2|7|14
Bill Chmielewski|Cincinnati Royals|Dayton|1964|2|8|15
Ron Bonham|Boston Celtics|Cincinnati|1964|2|9|16
Brian Generalovich|New York Knicks|Pittsburgh|1964|3|1|17
Wali Jones|Detroit Pistons|Villanova|1964|3|2|18
Jerry Sloan|Baltimore Bullets|Evansville|1964|3|3|19
Larry Jones|Philadelphia 76ers|Toledo|1964|3|4|20
Tom Dose|Los Angeles Lakers|Stanford|1964|3|5|21
Arthur Becker|St. Louis Hawks|Arizona State|1964|3|6|22
Mccoy McLemore|San Francisco Warriors|Drake|1964|3|7|23
Steve Courtin|Cincinnati Royals|Saint Joseph's|1964|3|8|24
John Thompson|Boston Celtics|Providence|1964|3|9|25
Freddie Crawford|New York Knicks|St. Bonaventure|1964|4|1|26
Jim Davis|Detroit Pistons|Colorado|1964|4|2|27
Pete Spoden|Baltimore Bullets|Northern Iowa|1964|4|3|28
Frank Corace|Philadelphia 76ers|La Salle|1964|4|4|29
Hank Finkel|Los Angeles Lakers|Dayton|1964|4|5|30
Willie Murrell|St. Louis Hawks|Kansas State|1964|4|6|31
Gene Elmore|San Francisco Warriors|Southern Methodist|1964|4|7|32
Happy Hairston|Cincinnati Royals|New York University|1964|4|8|33
Joe Strawder|Boston Celtics|Bradley|1964|4|9|34
