Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Ken Barnes|Baltimore Bullets|Wisconsin|1966|16|2|109
Chris Pervall|Baltimore Bullets|Iowa|1966|17|1|110
Jerry Trice|Baltimore Bullets|Weber State|1966|18|1|111
Gene Visscher|Baltimore Bullets|Weber State|1966|19|1|112
Fred Hetzel|San Francisco Warriors|Davidson|1965|1|1|1
Rick Barry|San Francisco Warriors|Miami (FL)|1965|1|2|2
Dave Stallworth|New York Knicks|Wichita State|1965|1|3|3
Jerry Sloan|Baltimore Bullets|Evansville|1965|1|4|4
Billy Cunningham|Philadelphia 76ers|North Carolina|1965|1|5|5
Jim Washington|St. Louis Hawks|Villanova|1965|1|6|6
Nate Bowman|Cincinnati Royals|Wichita State|1965|1|7|7
Ollie Johnson|Boston Celtics|San Francisco|1965|1|8|8
Will Frazier|San Francisco Warriors|Grambling|1965|2|1|9
Dick Van Arsdale|New York Knicks|Indiana|1965|2|2|10
Tom Van Arsdale|Detroit Pistons|Indiana|1965|2|3|11
Tal Brody|Baltimore Bullets|Illinois|1965|2|4|12
Jesse Branson|Philadelphia 76ers|Elon|1965|2|5|13
Hal Blevins|New York Knicks|Arkansas-Pine Bluff|1965|2|6|14
Flynn Robinson|Cincinnati Royals|Wyoming|1965|2|7|15
John Fairchild|Los Angeles Lakers|Brigham Young|1965|2|8|16
Ron Watts|Boston Celtics|Wake Forest|1965|2|9|17
Keith Erickson|San Francisco Warriors|California-Los Angeles|1965|3|1|18
John Clemens|New York Knicks|Ohio Wesleyan|1965|3|2|19
Ron Reed|Detroit Pistons|Notre Dame|1965|3|3|20
Joe Newton|Baltimore Bullets|Auburn|1965|3|4|21
Bob Weiss|Philadelphia 76ers|Penn State|1965|3|5|22
Ken McIntyre|St. Louis Hawks|St. John's (NY)|1965|3|6|23
Jon McGlocklin|Cincinnati Royals|Indiana|1965|3|7|24
Jim Caldwell|Los Angeles Lakers|Georgia Tech|1965|3|8|25
Toby Kimball|Boston Celtics|Connecticut|1965|3|9|26
Warren Rustand|San Francisco Warriors|Arizona|1965|4|1|27
Larry Lembo|New York Knicks|Manhattan|1965|4|2|28
Jim King|Detroit Pistons|Oklahoma State|1965|4|3|29
Skip Thoren|Baltimore Bullets|Illinois|1965|4|4|30
Hank Finkel|Philadelphia 76ers|Dayton|1965|4|5|31
Lynn Nance|St. Louis Hawks|Washington|1965|4|6|32
Bob Love|Cincinnati Royals|Southern University|1965|4|7|33
Brooks Henderson|Los Angeles Lakers|Florida|1965|4|8|34
Richie Tarrant|Boston Celtics|Saint Michael's|1965|4|9|35
Eddie Jackson|San Francisco Warriors|Oklahoma City|1965|5|1|36
Steve Nisenson|New York Knicks|Hofstra|1965|5|2|37
Ted Manning|Detroit Pistons|North Carolina Central|1965|5|3|38
Charles Dinkens|Baltimore Bullets|Miami (FL)|1965|5|4|39
Richie Moore|Philadelphia 76ers|Villanova|1965|5|5|40
Theodore Werner|St. Louis Hawks|Washington State|1965|5|6|41
Warren Isaac|Cincinnati Royals|Iona|1965|5|7|42
A.W. Davis|Los Angeles Lakers|Tennessee|1965|5|8|43
Don Davidson|Boston Celtics|Davidson|1965|5|9|44
Jim Jarvis|San Francisco Warriors|Oregon State|1965|6|1|45
Warren Davis|New York Knicks|North Carolina A&T|1965|6|2|46
