Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Leroy Coleman|Utah Jazz|Middle Tennessee State|1980|10|2|201
Earl Sango|Denver Nuggets|Regis (CO)|1980|10|3|202
Billy Foster|Chicago Bulls|Montana State|1980|10|4|203
John Bates|Indiana Pacers|West Virginia|1980|10|5|204
Dave Kufeld|Portland Trail Blazers|Yeshiva|1980|10|6|205
Tom Morgan|Dallas Mavericks|Cal State-Fullerton|1980|10|7|206
Don Youman|Washington Bullets|Oklahoma State|1980|10|8|207
Gerald Ross|New York Knicks|Grand Canyon|1980|10|9|208
Steve Schall|San Antonio Spurs|Arkansas|1980|10|10|209
Melvin Crayton|Milwaukee Bucks|Alabama State|1980|10|11|210
Randy Carroll|Phoenix Suns|Kansas|1980|10|12|211
Kent Williams|Seattle SuperSonics|Texas Tech|1980|10|13|212
Joe Hand|Philadelphia 76ers|King's (PA)|1980|10|14|213
John Nolan|Boston Celtics|Providence|1980|10|15|214
Magic Johnson|Los Angeles Lakers|Michigan State|1979|1|1|1
David Greenwood|Chicago Bulls|California-Los Angeles|1979|1|2|2
Bill Cartwright|New York Knicks|San Francisco|1979|1|3|3
Greg Kelser|Detroit Pistons|Michigan State|1979|1|4|4
Sidney Moncrief|Milwaukee Bucks|Arkansas|1979|1|5|5
James Bailey|Seattle SuperSonics|Rutgers|1979|1|6|6
Vinnie Johnson|Seattle SuperSonics|Baylor|1979|1|7|7
Calvin Natt|New Jersey Nets|Louisiana-Monroe|1979|1|8|8
Larry Demic|New York Knicks|Arizona|1979|1|9|9
Roylee Hamilton|Detroit Pistons|California-Los Angeles|1979|1|10|10
Cliff T. Robinson|New Jersey Nets|Southern California|1979|1|11|11
Jim Paxson|Portland Trail Blazers|Dayton|1979|1|12|12
Dudley Bradley|Indiana Pacers|North Carolina|1979|1|13|13
Brad Holland|Los Angeles Lakers|California-Los Angeles|1979|1|14|14
Phil Hubbard|Detroit Pistons|Michigan|1979|1|15|15
Jim Spanarkel|Philadelphia 76ers|Duke|1979|1|16|16
Lee Johnson|Houston Rockets|Texas A&M-Commerce|1979|1|17|17
Reggie King|Kansas City Kings|Alabama|1979|1|18|18
Wiley Peck|San Antonio Spurs|Mississippi State|1979|1|19|19
Larry Knight|Utah Jazz|Loyola-Chicago|1979|1|20|20
Sly Williams|New York Knicks|Rhode Island|1979|1|21|21
Kyle Macy|Phoenix Suns|Kentucky|1979|1|22|22
Tico Brown|Utah Jazz|Georgia Tech|1979|2|1|23
Johnny High|Phoenix Suns|Nevada-Reno|1979|2|2|24
Ollie Mack|Los Angeles Lakers|East Carolina|1979|2|3|25
Bruce Flowers|Cleveland Cavaliers|Notre Dame|1979|2|4|26
Reggie Carter|New York Knicks|St. John's (NY)|1979|2|5|27
Danny Salisbury|Golden State Warriors|Texas-Pan American|1979|2|6|28
Tony Price|Detroit Pistons|Pennsylvania|1979|2|7|29
Gary Garland|Denver Nuggets|DePaul|1979|2|8|30
Edgar Jones|Milwaukee Bucks|Nevada-Reno|1979|2|9|31
Tony Zeno|Indiana Pacers|Arizona State|1979|2|10|32
Lawrence Butler|Chicago Bulls|Idaho State|1979|2|11|33
Kim Goetz|New York Knicks|San Diego State|1979|2|12|34
James Bradley|Atlanta Hawks|Memphis|1979|2|13|35
Clint Richardson|Philadelphia 76ers|Seattle|1979|2|14|36
