Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Kevin Love|Memphis Grizzlies|California-Los Angeles|2008|1|5|5
Danilo Gallinari|New York Knicks|Olimpia Milano (Italy)|2008|1|6|6
Eric Gordon|Los Angeles Clippers|Indiana|2008|1|7|7
Joe Alexander|Milwaukee Bucks|West Virginia|2008|1|8|8
D.J. Augustin|Charlotte Bobcats|Texas|2008|1|9|9
Brook Lopez|New Jersey Nets|Stanford|2008|1|10|10
Jerryd Bayless|Indiana Pacers|Arizona|2008|1|11|11
Jason Thompson|Sacramento Kings|Rider|2008|1|12|12
Brandon Rush|Portland Trail Blazers|Kansas|2008|1|13|13
Anthony Randolph|Golden State Warriors|Louisiana State|2008|1|14|14
Robin Lopez|Phoenix Suns|Stanford|2008|1|15|15
Marreese Speights|Philadelphia 76ers|Florida|2008|1|16|16
Roy Hibbert|Toronto Raptors|Georgetown|2008|1|17|17
JaVale McGee|Washington Wizards|Nevada-Reno|2008|1|18|18
JJ Hickson|Cleveland Cavaliers|North Carolina State|2008|1|19|19
Alexis Ajinca|Charlotte Bobcats|Hyeres-Toulon Var Basket (France)|2008|1|20|20
Ryan Anderson|New Jersey Nets|California|2008|1|21|21
Courtney Lee|Orlando Magic|Western Kentucky|2008|1|22|22
Kosta Koufos|Utah Jazz|Ohio State|2008|1|23|23
Serge Ibaka|Oklahoma City Thunder|CB L'Hospitalet (Spain)|2008|1|24|24
Nicolas Batum|Houston Rockets|Le Mans Sarthe Basket (France)|2008|1|25|25
George Hill|San Antonio Spurs|IUPUI|2008|1|26|26
Darrell Arthur|New Orleans Hornets|Kansas|2008|1|27|27
Donte Greene|Memphis Grizzlies|Syracuse|2008|1|28|28
DJ White|Detroit Pistons|Indiana|2008|1|29|29
J.R. Giddens|Boston Celtics|New Mexico|2008|1|30|30
Nikola Pekovic|Minnesota Timberwolves|KK Partizan (Serbia)|2008|2|1|31
Walter Sharpe|Oklahoma City Thunder|Alabama-Birmingham|2008|2|2|32
Joey Dorsey|Portland Trail Blazers|Memphis|2008|2|3|33
Mario Chalmers|Minnesota Timberwolves|Kansas|2008|2|4|34
DeAndre Jordan|Los Angeles Clippers|Texas A&M|2008|2|5|35
Omer Asik|Portland Trail Blazers|Fenerbahce S.K. (Turkey)|2008|2|6|36
Luc Mbah a Moute|Milwaukee Bucks|California-Los Angeles|2008|2|7|37
Kyle Weaver|Charlotte Bobcats|Washington State|2008|2|8|38
Sonny Weems|Chicago Bulls|Arkansas|2008|2|9|39
Chris Douglas-Roberts|New Jersey Nets|Memphis|2008|2|10|40
Nathan Jawai|Indiana Pacers|Cairns Taipans (Australia)|2008|2|11|41
Sean Singletary|Sacramento Kings|Virginia|2008|2|12|42
Patrick Ewing|Sacramento Kings|Georgetown|2008|2|13|43
Ante Tomic|Utah Jazz|KK Zagreb (Croatia)|2008|2|14|44
Goran Dragic|San Antonio Spurs|KK Olimpija (Slovenia)|2008|2|15|45
Trent Plaisted|Oklahoma City Thunder|Brigham Young|2008|2|16|46
Henry Walker|Washington Wizards|Kansas State|2008|2|17|47
Malik Hairston|Phoenix Suns|Oregon|2008|2|18|48
Richard Hendrix|Golden State Warriors|Alabama|2008|2|19|49
DeVon Hardin|Oklahoma City Thunder|California|2008|2|20|50
Shan Foster|Dallas Mavericks|Vanderbilt|2008|2|21|51
Darnell Jackson|Miami Heat|Kansas|2008|2|22|52
Tadija Dragicevic|Utah Jazz|KK Crvena zvezda (Serbia)|2008|2|23|53
Maarty Leunen|Houston Rockets|Oregon|2008|2|24|54
