Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Ken Lyles|Phoenix Suns|Washington|1982|9|15|199
Dean Sears|Denver Nuggets|California-Los Angeles|1982|9|16|200
Harry O'Brien|San Antonio Spurs|St. Mary's (TX)|1982|9|17|201
Robert Tate|Milwaukee Bucks|Idaho State|1982|9|18|202
Tim Byrne|Los Angeles Lakers|Rutgers|1982|9|19|203
George Melton|Philadelphia 76ers|Cheyney|1982|9|20|204
Panayoti Giannakis|Boston Celtics|Hellenic|1982|9|21|205
Durand Walker|Cleveland Cavaliers|Indiana Wesleyan|1982|10|1|206
Daryl Stovall|San Diego Clippers|Creighton|1982|10|2|207
Michael Edwards|Utah Jazz|New Orleans|1982|10|3|208
Albert Culton|Dallas Mavericks|Texas-Arlington|1982|10|4|209
Robert Estes|Kansas City Kings|Iowa State|1982|10|5|210
John Leonard|New York Knicks|Manhattan|1982|10|6|211
Tony Britto|Chicago Bulls|Campbell|1982|10|7|212
Craig Summers|Indiana Pacers|Wisconsin-Stout|1982|10|8|213
David Coulthard|Detroit Pistons|York (CAN)|1982|10|9|214
Grant Taylor|Portland Trail Blazers|California-Irvine|1982|10|10|215
Ronnie McAdoo|Atlanta Hawks|Old Dominion|1982|10|11|216
Donald Sinclair|Washington Bullets|North Carolina Central|1982|10|12|217
Sean Tuohy|New Jersey Nets|Mississippi|1982|10|13|218
Randy Whieldon|Golden State Warriors|California-Irvine|1982|10|14|219
Mike Phillips|Denver Nuggets|Niagara|1982|10|15|220
Dale Wilkinson|Phoenix Suns|Idaho State|1982|10|16|221
Keith White|San Antonio Spurs|McMurry|1982|10|17|222
Bob Coenen|Milwaukee Bucks|Wisconsin-Eau Claire|1982|10|18|223
Randy Burkert|Philadelphia 76ers|Drexel|1982|10|20|224
Landon Turner|Boston Celtics|Indiana|1982|10|21|225
Mark Aguirre|Dallas Mavericks|DePaul|1981|1|1|1
Isiah Thomas|Detroit Pistons|Indiana|1981|1|2|2
Buck Williams|New Jersey Nets|Maryland|1981|1|3|3
Al Wood|Atlanta Hawks|North Carolina|1981|1|4|4
Danny Vranes|Seattle SuperSonics|Utah|1981|1|5|5
Orlando Woolridge|Chicago Bulls|Notre Dame|1981|1|6|6
Steve Johnson|Kansas City Kings|Oregon State|1981|1|7|7
Tom Chambers|San Diego Clippers|Utah|1981|1|8|8
Rolando Blackman|Dallas Mavericks|Kansas State|1981|1|9|9
Albert King|New Jersey Nets|Maryland|1981|1|10|10
Frank Johnson|Washington Bullets|Wake Forest|1981|1|11|11
Kelly Tripucka|Detroit Pistons|Notre Dame|1981|1|12|12
Dan Schayes|Utah Jazz|Syracuse|1981|1|13|13
Herb Williams|Indiana Pacers|Ohio State|1981|1|14|14
Jeff Lamp|Portland Trail Blazers|Virginia|1981|1|15|15
Darnell Valentine|Portland Trail Blazers|Kansas|1981|1|16|16
Kevin Loder|Kansas City Kings|Alabama State|1981|1|17|17
Ray Tolbert|New Jersey Nets|Indiana|1981|1|18|18
Mike McGee|Los Angeles Lakers|Michigan|1981|1|19|19
Larry Nance|Phoenix Suns|Clemson|1981|1|20|20
Alton Lister|Milwaukee Bucks|Arizona State|1981|1|21|21
Franklin Edwards|Philadelphia 76ers|Cleveland State|1981|1|22|22
Charles Bradley|Boston Celtics|Wyoming|1981|1|23|23
