Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Tom Thacker|Cincinnati Royals|Cincinnati|1963|0|0|0
Bill McGill|Chicago Zephyrs|Utah|1962|1|1|1
Paul Hogue|New York Knicks|Cincinnati|1962|1|2|2
Zelmo Beaty|St. Louis Hawks|Prairie View A&M|1962|1|3|3
Len Chappell|Syracuse Nationals|Wake Forest|1962|1|4|4
Wayne Hightower|San Francisco Warriors|Kansas|1962|1|5|5
Leroy Ellis|Los Angeles Lakers|St. John's (NY)|1962|1|6|6
John Havlicek|Boston Celtics|Ohio State|1962|1|7|7
Terry Dischinger|Chicago Zephyrs|Purdue|1962|2|1|8
John Rudometkin|New York Knicks|Southern California|1962|2|2|9
Bob Duffy|St. Louis Hawks|Colgate|1962|2|3|10
Kevin Loughery|Detroit Pistons|St. John's (NY)|1962|2|4|11
Chet Walker|Syracuse Nationals|Bradley|1962|2|5|12
Enoch Olsen|Cincinnati Royals|Louisville|1962|2|6|13
Hubie White|San Francisco Warriors|Villanova|1962|2|7|14
Gene Wiley|Los Angeles Lakers|Wichita State|1962|2|8|15
Jack Foley|Boston Celtics|Holy Cross|1962|2|9|16
Don Nelson|Chicago Zephyrs|Iowa|1962|3|1|17
Bobby Rascoe|New York Knicks|Western Kentucky|1962|3|2|18
Charlie Hardnett|St. Louis Hawks|Grambling|1962|3|3|19
Harold Hudgens|Detroit Pistons|Texas Tech|1962|3|4|20
Porter Meriwether|Syracuse Nationals|Tennessee State|1962|3|5|21
Chris Appel|Cincinnati Royals|Southern California|1962|3|6|22
Dave Fedor|San Francisco Warriors|Florida State|1962|3|7|23
John Green|Los Angeles Lakers|California-Los Angeles|1962|3|8|24
Jim Hadnot|Boston Celtics|Providence|1962|3|9|25
Charles Vaughn|St. Louis Hawks|Southern Illinois|1962|4|1|26
Cliff Luyk|New York Knicks|Florida|1962|4|2|27
Jerry Grote|St. Louis Hawks|Loyola-Marymount|1962|4|3|28
Reggie Harding|Detroit Pistons|Eastern|1962|4|4|29
Bob McCully|Syracuse Nationals|St. Bonaventure|1962|4|5|30
Jack Thobe|Cincinnati Royals|Xavier|1962|4|6|31
Garry Roggenburk|San Francisco Warriors|Dayton|1962|4|7|32
Jan Loudermilk|Los Angeles Lakers|Southern Methodist|1962|4|8|33
Roger Strickland|Boston Celtics|Jacksonville|1962|4|9|34
Cornell Green|Chicago Zephyrs|Utah State|1962|5|1|35
Bob Burgess|New York Knicks|Marshall|1962|5|2|36
Tom Hatton|St. Louis Hawks|Dayton|1962|5|3|37
Lindbergh Moody|Detroit Pistons|South Carolina|1962|5|4|38
John Windsor|Syracuse Nationals|Stanford|1962|5|5|39
Mike Wroblewski|Cincinnati Royals|Kansas State|1962|5|6|40
Jack Jackson|San Francisco Warriors|Virginia Union|1962|5|7|41
Art Whisnant|Los Angeles Lakers|South Carolina|1962|5|8|42
Gary Daniels|Boston Celtics|Citadel|1962|5|9|43
Bill Hanson|Chicago Zephyrs|Washington|1962|6|1|44
Ken Stanley|New York Knicks|Pacific|1962|6|2|45
Jay Carty|St. Louis Hawks|Oregon State|1962|6|3|46
Ed Noe|Detroit Pistons|Morehead State|1962|6|4|47
Larry Van Eman|Syracuse Nationals|Wichita State|1962|6|5|48
Jerry Foster|Cincinnati Royals|Drake|1962|6|6|49
