Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Shareef Abdur-Rahim|Vancouver Grizzlies|California|1996|1|3|3
Stephon Marbury|Milwaukee Bucks|Georgia Tech|1996|1|4|4
Ray Allen|Minnesota Timberwolves|Connecticut|1996|1|5|5
Antoine Walker|Boston Celtics|Kentucky|1996|1|6|6
Lorenzen Wright|Los Angeles Clippers|Memphis|1996|1|7|7
Kerry Kittles|New Jersey Nets|Villanova|1996|1|8|8
Samaki Walker|Dallas Mavericks|Louisville|1996|1|9|9
Erick Dampier|Indiana Pacers|Mississippi State|1996|1|10|10
Todd Fuller|Golden State Warriors|North Carolina State|1996|1|11|11
Vitaly Potapenko|Cleveland Cavaliers|Wright State|1996|1|12|12
Kobe Bryant|Charlotte Hornets|Lower Merion|1996|1|13|13
Peja Stojakovic|Sacramento Kings|P.A.O.K. B.C. (Greece)|1996|1|14|14
Steve Nash|Phoenix Suns|Santa Clara|1996|1|15|15
Tony Delk|Charlotte Hornets|Kentucky|1996|1|16|16
Jermaine O'Neal|Portland Trail Blazers|Eau Claire|1996|1|17|17
John Wallace|New York Knicks|Syracuse|1996|1|18|18
Walter McCarty|New York Knicks|Kentucky|1996|1|19|19
Zydrunas Ilgauskas|Cleveland Cavaliers|LSU-Atletas (Lithuania)|1996|1|20|20
Dontae' Jones|New York Knicks|Mississippi State|1996|1|21|21
Roy Rogers|Vancouver Grizzlies|Alabama|1996|1|22|22
Efthimios Rentzias|Denver Nuggets|P.A.O.K. B.C. (Greece)|1996|1|23|23
Derek Fisher|Los Angeles Lakers|Arkansas-Little Rock|1996|1|24|24
Martin Muursepp|Utah Jazz|BC Kalev/Cramo (Estonia)|1996|1|25|25
Jerome Williams|Detroit Pistons|Georgetown|1996|1|26|26
Brian Evans|Orlando Magic|Indiana|1996|1|27|27
Priest Lauderdale|Atlanta Hawks|Peristeri B.C. (Greece)|1996|1|28|28
Travis Knight|Chicago Bulls|Connecticut|1996|1|29|29
Othella Harrington|Houston Rockets|Georgetown|1996|2|1|30
Mark Hendrickson|Philadelphia 76ers|Washington State|1996|2|2|31
Ryan Minor|Philadelphia 76ers|Oklahoma|1996|2|3|32
Moochie Norris|Milwaukee Bucks|West Florida|1996|2|4|33
Shawn Harvey|Dallas Mavericks|West Virginia State|1996|2|5|34
Joseph Blair|Seattle SuperSonics|Arizona|1996|2|6|35
Doron Sheffer|Los Angeles Clippers|Connecticut|1996|2|7|36
Jeff McInnis|Denver Nuggets|North Carolina|1996|2|8|37
Steve Hamer|Boston Celtics|Tennessee|1996|2|9|38
Russ Millard|Phoenix Suns|Iowa|1996|2|10|39
Marcus Mann|Golden State Warriors|Mississippi Valley State|1996|2|11|40
Jason Sasser|Sacramento Kings|Texas Tech|1996|2|12|41
Randy Livingston|Houston Rockets|Louisiana State|1996|2|13|42
Ben Davis|Phoenix Suns|Arizona|1996|2|14|43
Malik Rose|Charlotte Hornets|Drexel|1996|2|15|44
Joe Vogel|Seattle SuperSonics|Colorado State|1996|2|16|45
Marcus Brown|Portland Trail Blazers|Murray State|1996|2|17|46
Ron Riley|Seattle SuperSonics|Arizona State|1996|2|18|47
Jamie Feick|Philadelphia 76ers|Michigan State|1996|2|19|48
Amal McCaskill|Orlando Magic|Marquette|1996|2|20|49
Terrell Bell|Houston Rockets|Georgia|1996|2|21|50
Chris Robinson|Vancouver Grizzlies|Western Kentucky|1996|2|22|51
Mark Pope|Indiana Pacers|Kentucky|1996|2|23|52
