Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Mike Jones|Milwaukee Bucks|Auburn|1988|3|13|63
Winston Bennett|Cleveland Cavaliers|Kentucky|1988|3|14|64
Corey Gaines|Seattle SuperSonics|Loyola-Marymount|1988|3|15|65
Dwight Boyd|Denver Nuggets|Memphis|1988|3|16|66
Ricky Grace|Utah Jazz|Oklahoma|1988|3|17|67
Darryl Middleton|Atlanta Hawks|Baylor|1988|3|18|68
Phil Stinnie|New York Knicks|Virginia Commonwealth|1988|3|19|69
Jerry Johnson|Dallas Mavericks|Florida Southern|1988|3|20|70
Craig Neal|Portland Trail Blazers|Georgia Tech|1988|3|21|71
Lee Johnson|Detroit Pistons|Norfolk State|1988|3|22|72
Michael Anderson|Indiana Pacers|Drexel|1988|3|23|73
Gerald Paddio|Boston Celtics|Nevada-Las Vegas|1988|3|24|74
Archie Marshall|San Antonio Spurs|Kansas|1988|3|25|75
David Robinson|San Antonio Spurs|Navy|1987|1|1|1
Armen Gilliam|Phoenix Suns|Nevada-Las Vegas|1987|1|2|2
Dennis Hopson|New Jersey Nets|Ohio State|1987|1|3|3
Reggie Williams|Los Angeles Clippers|Georgetown|1987|1|4|4
Scottie Pippen|Seattle SuperSonics|Central Arkansas|1987|1|5|5
Kenny Smith|Sacramento Kings|North Carolina|1987|1|6|6
Kevin Johnson|Cleveland Cavaliers|California|1987|1|7|7
Olden Polynice|Chicago Bulls|Virginia|1987|1|8|8
Derrick McKey|Seattle SuperSonics|Alabama|1987|1|9|9
Horace Grant|Chicago Bulls|Clemson|1987|1|10|10
Reggie Miller|Indiana Pacers|California-Los Angeles|1987|1|11|11
Muggsy Bogues|Washington Bullets|Wake Forest|1987|1|12|12
Joe Wolf|Los Angeles Clippers|North Carolina|1987|1|13|13
Tellis Frank|Golden State Warriors|Western Kentucky|1987|1|14|14
Jose Ortiz|Utah Jazz|Oregon State|1987|1|15|15
Chris Welp|Philadelphia 76ers|Washington|1987|1|16|16
Ronnie Murphy|Portland Trail Blazers|Jacksonville|1987|1|17|17
Mark Jackson|New York Knicks|St. John's (NY)|1987|1|18|18
Ken Norman|Los Angeles Clippers|Illinois|1987|1|19|19
Jim Farmer|Dallas Mavericks|Alabama|1987|1|20|20
Dallas Comegys|Atlanta Hawks|DePaul|1987|1|21|21
Reggie Lewis|Boston Celtics|Northeastern|1987|1|22|22
Greg Anderson|San Antonio Spurs|Houston|1987|1|23|23
Fred Banks|Detroit Pistons|Nevada-Las Vegas|1987|2|1|24
Ron Moore|New York Knicks|West Virginia State|1987|2|2|25
Steve Alford|Dallas Mavericks|Indiana|1987|2|3|26
Nate Blackwell|San Antonio Spurs|Temple|1987|2|4|27
Rickie Winslow|Chicago Bulls|Houston|1987|2|5|28
Lester Fonville|Portland Trail Blazers|Jackson State|1987|2|6|29
Nikita Wilson|Portland Trail Blazers|Louisiana State|1987|2|7|30
Andre Moore|Denver Nuggets|Loyola-Chicago|1987|2|8|31
Bob McCann|Milwaukee Bucks|Morehead State|1987|2|9|32
Tony White|Chicago Bulls|Tennessee|1987|2|10|33
Brian Rowsom|Indiana Pacers|North Carolina-Wilmington|1987|2|11|34
Doug Lee|Houston Rockets|Purdue|1987|2|12|35
Duane Washington|Washington Bullets|Middle Tennessee State|1987|2|13|36
Derrick Dowell|Washington Bullets|Southern California|1987|2|14|37
