Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Willie Polk|Detroit Pistons|Grand Canyon|1979|10|3|187
Terry Peavy|Cleveland Cavaliers|Point Park|1979|10|4|188
Gordon Thomas|New York Knicks|St. John's (NY)|1979|10|5|189
Marvin Thoms|Chicago Bulls|California-Los Angeles|1979|10|6|190
Eric Fleisher|New Jersey Nets|Tulane|1979|10|7|191
Kevin Heenan|Golden State Warriors|Cal State-Fullerton|1979|10|8|192
Chris Fahrbach|Milwaukee Bucks|North Dakota|1979|10|9|193
Greg Hunter|San Diego Clippers|Loyola-Marymount|1979|10|10|194
Kelvin Small|Portland Trail Blazers|Oregon|1979|10|11|195
Chad Nelson|Atlanta Hawks|Drake|1979|10|12|196
Cortez Collins|Chicago Bulls|Southern Indiana|1979|10|13|197
Keith McCord|Philadelphia 76ers|Alabama-Birmingham|1979|10|14|198
Glen Fine|San Antonio Spurs|Harvard|1979|10|15|199
Russell Saunders|Kansas City Kings|New Mexico|1979|10|16|200
Korky Nelson|Phoenix Suns|Santa Clara|1979|10|17|201
Steve Martin|Washington Bullets|Georgetown|1979|10|18|202
Mychal Thompson|Portland Trail Blazers|Minnesota|1978|1|1|1
Phil Ford|Kansas City Kings|North Carolina|1978|1|2|2
Rick Robey|Indiana Pacers|Kentucky|1978|1|3|3
Micheal Ray Richardson|New York Knicks|Montana|1978|1|4|4
Purvis Short|Golden State Warriors|Jackson State|1978|1|5|5
Larry Bird|Boston Celtics|Indiana State|1978|1|6|6
Ron Brewer|Portland Trail Blazers|Arkansas|1978|1|7|7
Freeman Williams|Boston Celtics|Portland State|1978|1|8|8
Reggie Theus|Chicago Bulls|Nevada-Las Vegas|1978|1|9|9
Butch Lee|Atlanta Hawks|Marquette|1978|1|10|10
James Hardy|New Orleans Jazz|San Francisco|1978|1|11|11
George Johnson|Milwaukee Bucks|St. John's (NY)|1978|1|12|12
Winford Boynes|New Jersey Nets|San Francisco|1978|1|13|13
Roger Phegley|Washington Bullets|Bradley|1978|1|14|14
Mike Mitchell|Cleveland Cavaliers|Auburn|1978|1|15|15
Jack Givens|Atlanta Hawks|Kentucky|1978|1|16|16
Rod Griffin|Denver Nuggets|Wake Forest|1978|1|17|17
Dave Corzine|Washington Bullets|DePaul|1978|1|18|18
Marty Byrnes|Phoenix Suns|Syracuse|1978|1|19|19
Frankie Sanders|San Antonio Spurs|Southern University|1978|1|20|20
Mike Evans|Denver Nuggets|Kansas State|1978|1|21|21
Raymond Townsend|Golden State Warriors|California-Los Angeles|1978|1|22|22
Terry Tyler|Detroit Pistons|Detroit Mercy|1978|2|1|23
Keith Herron|Portland Trail Blazers|Villanova|1978|2|2|24
Rick Wilson|Atlanta Hawks|Louisville|1978|2|3|25
Ron Carter|Los Angeles Lakers|Virginia Military Institute|1978|2|4|26
Wayne Radford|Indiana Pacers|Indiana|1978|2|5|27
Buster Matheney|Houston Rockets|Utah|1978|2|6|28
John Long|Detroit Pistons|Detroit Mercy|1978|2|7|29
Jeff Judkins|Boston Celtics|Utah|1978|2|8|30
Marvin Johnson|Chicago Bulls|New Mexico|1978|2|9|31
John Rudd|New York Knicks|McNeese State|1978|2|10|32
Harry Davis|Cleveland Cavaliers|Florida State|1978|2|11|33
Greg Bunch|New York Knicks|Cal State-Fullerton|1978|2|12|34
