Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Tommy Green|New Orleans Jazz|Southern University|1978|2|13|35
Maurice Cheeks|Philadelphia 76ers|West Texas A&M|1978|2|14|36
Terry Sykes|Washington Bullets|Grambling|1978|2|15|37
Lew Massey|Los Angeles Lakers|North Carolina-Charlotte|1978|2|16|38
James Lee|Seattle SuperSonics|Kentucky|1978|2|17|39
Wayne Cooper|Golden State Warriors|New Orleans|1978|2|18|40
Jerome Whitehead|San Diego Clippers|Marquette|1978|2|19|41
Kevin McDonald|Seattle SuperSonics|Pennsylvania|1978|2|20|42
Glenn Hagan|Philadelphia 76ers|St. Bonaventure|1978|2|21|43
Clemon Johnson|Portland Trail Blazers|Florida A&M|1978|2|22|44
Mike Phillips|New Jersey Nets|Kentucky|1978|3|1|45
Hollis Copeland|Denver Nuggets|Rutgers|1978|3|2|46
Billyray Bates|Houston Rockets|Kentucky State|1978|3|3|47
Mike Santos|San Diego Clippers|Utah State|1978|3|4|48
Jeff Cook|Kansas City Kings|Idaho State|1978|3|5|49
Dana Skinner|Boston Celtics|Merrimack|1978|3|6|50
Ricky Gallon|San Diego Clippers|Louisville|1978|3|7|51
Mike Russell|Kansas City Kings|Texas Tech|1978|3|8|52
Randy Ayers|Chicago Bulls|Miami (OH)|1978|3|9|53
Steve Grant|Atlanta Hawks|Manhattan|1978|3|10|54
Marc Iavaroni|New York Knicks|Virginia|1978|3|11|55
Steve Neff|Golden State Warriors|Southern Nazarene|1978|3|12|56
Ken Higgs|Cleveland Cavaliers|Louisiana State|1978|3|13|57
Rick Apke|Washington Bullets|Creighton|1978|3|14|58
Pat Cummings|Milwaukee Bucks|Cincinnati|1978|3|15|59
Michael Cooper|Los Angeles Lakers|New Mexico|1978|3|16|60
Dave Baxter|Seattle SuperSonics|Michigan|1978|3|17|61
Dave Batton|New Jersey Nets|Notre Dame|1978|3|18|62
Joel Kramer|Phoenix Suns|San Diego State|1978|3|19|63
Gerald Henderson|San Antonio Spurs|Virginia Commonwealth|1978|3|20|64
Marvin Dalph|San Diego Clippers|Arkansas|1978|3|21|65
Sterling Edmunds|Portland Trail Blazers|Dartmouth|1978|3|22|66
Jackie Robinson|Houston Rockets|Nevada-Las Vegas|1978|4|1|67
Jim Boylan|San Diego Clippers|Marquette|1978|4|2|68
Joel Thompson|Houston Rockets|Michigan|1978|4|3|69
Jeffrey Crompton|Kansas City Kings|North Carolina|1978|4|4|70
Ricky Lee|Indiana Pacers|Oregon State|1978|4|5|71
Dave Nelson|Boston Celtics|Bloomfield|1978|4|6|72
Larry Harris|San Diego Clippers|Pittsburgh|1978|4|7|73
Mel Davis|New Orleans Jazz|North Texas|1978|4|8|74
Jeff Covington|New Orleans Jazz|Youngstown State|1978|4|9|75
Leroy McDonald|San Diego Clippers|Wake Forest|1978|4|10|76
Derrick Jackson|Golden State Warriors|Georgetown|1978|4|11|77
Stan Rome|Cleveland Cavaliers|Clemson|1978|4|12|78
Erving Giddings|New York Knicks|Dayton|1978|4|13|79
Otis Howard|Milwaukee Bucks|Austin Peay|1978|4|14|80
Lawrence Boston|Washington Bullets|Maryland|1978|4|15|81
Harold Robertson|Los Angeles Lakers|Lincoln (MO)|1978|4|16|82
Billy Lewis|Seattle SuperSonics|Illinois State|1978|4|17|83
Walter Jordan|New Jersey Nets|Purdue|1978|4|18|84
