Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Layton Johns|Los Angeles Lakers|Auburn|1963|4|8|34
Connie McGuire|Boston Celtics|Southeastern Oklahoma State|1963|4|9|35
Joe McDermott|New York Knicks|Belmont Abbey|1963|5|1|36
Ron Glaser|Baltimore Bullets|Marquette|1963|5|2|37
Don Turner|San Francisco Warriors|Southwestern (KS)|1963|5|3|38
Bill Small|Detroit Pistons|Illinois|1963|5|4|39
Mac Herndon|Cincinnati Royals|Bradley|1963|5|5|40
Tony Yates|St. Louis Hawks|Cincinnati|1963|5|6|41
Tony Cerkvenik|Philadelphia 76ers|Arizona State|1963|5|7|42
Larry Jones|Los Angeles Lakers|Toledo|1963|5|8|43
W. D. Stroud|Boston Celtics|Mississippi State|1963|5|9|44
Jim Kerwin|New York Knicks|Tulane|1963|6|1|45
Ken Siebel|Baltimore Bullets|Wisconsin|1963|6|2|46
Gene Shields|San Francisco Warriors|Santa Clara|1963|6|3|47
Reggie Harding|Detroit Pistons|Eastern|1963|6|4|48
Jim McCormack|Cincinnati Royals|West Virginia|1963|6|5|49
Al Santio|St. Louis Hawks|Maryland|1963|6|6|50
Vince Brewer|Philadelphia 76ers|Iowa State|1963|6|7|51
Warren Salade|Los Angeles Lakers|Westminster (PA)|1963|6|8|52
Vinnie Ernst|Boston Celtics|Providence|1963|6|9|53
Bob Woolard|New York Knicks|Wake Forest|1963|7|1|54
Larry Brown|Baltimore Bullets|North Carolina|1963|7|2|55
Don Clemetson|San Francisco Warriors|Stanford|1963|7|3|56
Ira Harge|Detroit Pistons|New Mexico|1963|7|4|57
Hunter Beckman|Cincinnati Royals|Memphis|1963|7|5|58
Ken Rohloff|St. Louis Hawks|North Carolina State|1963|7|6|59
Bill Brown|Philadelphia 76ers|Howard Payne|1963|7|7|60
Gordie Martin|Los Angeles Lakers|Southern California|1963|7|8|61
Herb Magee|Boston Celtics|Philadelphia University|1963|7|9|62
Freddie Crawford|New York Knicks|St. Bonaventure|1963|8|1|63
Dick Riesback|Baltimore Bullets|Iowa State|1963|8|2|64
Harry Dinnell|San Francisco Warriors|Pepperdine|1963|8|3|65
Gary Silc|Detroit Pistons|Northern Michigan|1963|8|4|66
Harold Strothers|St. Louis Hawks|Texas A&M|1963|8|5|67
Ray Cronk|New York Knicks|Lakeland|1963|9|1|68
Ron Jackson|Baltimore Bullets|Wisconsin|1963|9|2|69
Chuck White|San Francisco Warriors|Idaho|1963|9|3|70
Ernie Durston|Detroit Pistons|Seattle|1963|9|4|71
Frank Davis|St. Louis Hawks|Oklahoma Christian|1963|9|5|72
Gerald Glur|New York Knicks|Furman|1963|10|1|73
M. C. Thompson|Baltimore Bullets|DePaul|1963|10|2|74
Carl Ritter|St. Louis Hawks|Southeast Missouri State|1963|10|3|75
Orbie Bowling|New York Knicks|Tennessee|1963|11|1|76
Marv Straw|St. Louis Hawks|Iowa State|1963|11|2|77
Bob Walter|New York Knicks|Baldwin Wallace|1963|12|1|78
Hugh Evans|St. Louis Hawks|North Carolina A&T|1963|12|2|79
Jerry Szachara|New York Knicks|Cornell|1963|13|1|80
Gordon McFarland|St. Louis Hawks|Central Missouri|1963|13|2|81
Bill Raftery|New York Knicks|La Salle|1963|14|1|82
Ron Pickett|New York Knicks|Eastern Kentucky|1963|15|1|83
