Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Cliff Pondexter|Chicago Bulls|Long Beach State|1974|1|16|16
Glenn McDonald|Boston Celtics|Long Beach State|1974|1|17|17
Gary Brokaw|Milwaukee Bucks|Notre Dame|1974|1|18|18
Don Smith|Philadelphia 76ers|Dayton|1974|2|1|19
Jan Van Breda Kolff|Portland Trail Blazers|Vanderbilt|1974|2|2|20
Billy Knight|Los Angeles Lakers|Pittsburgh|1974|2|3|21
Truck Robinson|Washington Bullets|Tennessee State|1974|2|4|22
Gus Bailey|Houston Rockets|Texas-El Paso|1974|2|5|23
Len Kosmalski|Kansas City-Omaha Kings|Tennessee|1974|2|6|24
John Drew|Atlanta Hawks|Gardner-Webb|1974|2|7|25
Leonard Gray|Seattle SuperSonics|Long Beach State|1974|2|8|26
Leon Benbow|Chicago Bulls|Jacksonville|1974|2|9|27
Aaron James|New Orleans Jazz|Grambling|1974|2|10|28
Phil Smith|Golden State Warriors|San Francisco|1974|2|11|29
Dennis DuVal|Washington Bullets|Syracuse|1974|2|12|30
Fred Saunders|Phoenix Suns|Syracuse|1974|2|13|31
Jesse Dark|New York Knicks|Virginia Commonwealth|1974|2|14|32
Eric Money|Detroit Pistons|Arizona|1974|2|15|33
Phil Lumpkin|Portland Trail Blazers|Miami (OH)|1974|2|16|34
Kevin Stacom|Boston Celtics|Providence|1974|2|17|35
Rubin Collins|Portland Trail Blazers|Maryland-Eastern Shore|1974|2|18|36
Connie Norman|Philadelphia 76ers|Arizona|1974|3|1|37
Foots Walker|Cleveland Cavaliers|West Georgia|1974|3|2|38
Kevin Restani|Cleveland Cavaliers|San Francisco|1974|3|3|39
George Gervin|Phoenix Suns|Eastern Michigan|1974|3|4|40
Robert Wilson|Houston Rockets|Iowa State|1974|3|5|41
Harvey Catchings|Philadelphia 76ers|Hardin-Simmons|1974|3|6|42
Darrell Elston|Atlanta Hawks|North Carolina|1974|3|7|43
Talvin Skinner|Seattle SuperSonics|Maryland-Eastern Shore|1974|3|8|44
Kim Hughes|Buffalo Braves|Wisconsin|1974|3|9|45
Bruce King|New Orleans Jazz|Texas-Pan American|1974|3|10|46
Frank Kendrick|Golden State Warriors|Purdue|1974|3|11|47
Jim Bradley|Los Angeles Lakers|Northern Illinois|1974|3|12|48
Earl Williams|Phoenix Suns|Winston-Salem State|1974|3|13|49
Rudy Jackson|New York Knicks|Hutchinson Community College|1974|3|14|50
Roland Grant|Detroit Pistons|New Mexico State|1974|3|15|51
Bobby Wilson|Chicago Bulls|Wichita State|1974|3|16|52
Roscoe Pondexter|Boston Celtics|Long Beach State|1974|3|17|53
Greg McDougald|Milwaukee Bucks|Oral Roberts|1974|3|18|54
Butch Taylor|Philadelphia 76ers|Jacksonville|1974|4|1|55
Mickey Johnson|Portland Trail Blazers|Aurora|1974|4|2|56
James Foster|Cleveland Cavaliers|Connecticut|1974|4|3|57
Randy Allen|Phoenix Suns|Indiana (PA)|1974|4|4|58
Larry Robinson|Houston Rockets|Texas|1974|4|5|59
Lloyd Batts|Kansas City-Omaha Kings|Cincinnati|1974|4|6|60
Ed Palubinskas|Atlanta Hawks|Louisiana State|1974|4|7|61
William Gordon|Seattle SuperSonics|Maryland-Eastern Shore|1974|4|8|62
Bernie Harris|Buffalo Braves|Virginia Commonwealth|1974|4|9|63
Ray Price|New Orleans Jazz|Washington|1974|4|10|64
Willie Biles|Golden State Warriors|Tulsa|1974|4|11|65
