Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Lamar Heard|San Antonio Spurs|Georgia|1983|10|19|225
Andy Kupec|Boston Celtics|Bentley|1983|10|20|226
James Worthy|Los Angeles Lakers|North Carolina|1982|1|1|1
Terry Cummings|San Diego Clippers|DePaul|1982|1|2|2
Dominique Wilkins|Utah Jazz|Georgia|1982|1|3|3
Bill Garnett|Dallas Mavericks|Wyoming|1982|1|4|4
LaSalle Thompson|Kansas City Kings|Texas|1982|1|5|5
Trent Tucker|New York Knicks|Minnesota|1982|1|6|6
Quintin Dailey|Chicago Bulls|San Francisco|1982|1|7|7
Clark Kellogg|Indiana Pacers|Ohio State|1982|1|8|8
Cliff Levingston|Detroit Pistons|Wichita State|1982|1|9|9
Keith Edmonson|Atlanta Hawks|Purdue|1982|1|10|10
Lafayette Lever|Portland Trail Blazers|Arizona State|1982|1|11|11
John Bagley|Cleveland Cavaliers|Boston College|1982|1|12|12
Sleepy Floyd|New Jersey Nets|Georgetown|1982|1|13|13
Lester Conner|Golden State Warriors|Oregon State|1982|1|14|14
David Thirdkill|Phoenix Suns|Bradley|1982|1|15|15
Terry Teagle|Houston Rockets|Baylor|1982|1|16|16
Brook Steppe|Kansas City Kings|Georgia Tech|1982|1|17|17
Ricky Pierce|Detroit Pistons|Rice|1982|1|18|18
Rob Williams|Denver Nuggets|Houston|1982|1|19|19
Paul Pressey|Milwaukee Bucks|Tulsa|1982|1|20|20
Eddie Phillips|New Jersey Nets|Alabama|1982|1|21|21
Mark McNamara|Philadelphia 76ers|California|1982|1|22|22
Darren Tillis|Boston Celtics|Cleveland State|1982|1|23|23
Oliver Robinson|San Antonio Spurs|Alabama-Birmingham|1982|2|1|24
Bryan Warrick|Washington Bullets|Saint Joseph's|1982|2|2|25
Ricky Frazier|Chicago Bulls|Missouri|1982|2|3|26
Fred Roberts|Milwaukee Bucks|Brigham Young|1982|2|4|27
Dave Magley|Cleveland Cavaliers|Kansas|1982|2|5|28
Scott Hastings|New York Knicks|Arkansas|1982|2|6|29
Wallace Bryant|Chicago Bulls|San Francisco|1982|2|7|30
Rod Higgins|Chicago Bulls|Fresno State|1982|2|8|31
Richard Anderson|San Diego Clippers|California-Santa Barbara|1982|2|9|32
Linton Townes|Portland Trail Blazers|James Madison|1982|2|10|33
Vince Taylor|New York Knicks|Duke|1982|2|11|34
Derek Smith|Golden State Warriors|Louisville|1982|2|12|35
Mitchell Anderson|Philadelphia 76ers|Bradley|1982|2|13|36
Audie Norris|Portland Trail Blazers|Jackson State|1982|2|14|37
Wayne Sappleton|Golden State Warriors|Loyola-Chicago|1982|2|15|38
Kevin Magee|Phoenix Suns|California-Irvine|1982|2|16|39
Guy Morgan|Indiana Pacers|Wake Forest|1982|2|17|40
Dwight Anderson|Washington Bullets|Southern California|1982|2|18|41
Jeff Taylor|Houston Rockets|Texas Tech|1982|2|19|42
Jose Slaughter|Indiana Pacers|Portland|1982|2|20|43
Mike Gibson|Washington Bullets|South Carolina Upstate|1982|2|21|44
Russ Schoene|Philadelphia 76ers|Tennessee-Chattanooga|1982|2|22|45
Tony Guy|Boston Celtics|Kansas|1982|2|23|46
Mike Wilson|Cleveland Cavaliers|Marquette|1982|3|1|47
Craig Hodges|San Diego Clippers|Long Beach State|1982|3|2|48
