Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Terry Long|Portland Trail Blazers|Lamar|1982|7|11|149
Wendell Gibson|Washington Bullets|South Carolina|1982|7|12|150
Tony Anderson|New Jersey Nets|California-Los Angeles|1982|7|13|151
Matt Waldron|Golden State Warriors|Pacific|1982|7|14|152
Jeb Barlow|Denver Nuggets|North Carolina|1982|7|15|153
Mike Helms|Houston Rockets|Wake Forest|1982|7|16|154
Phil Ward|Phoenix Suns|North Carolina-Charlotte|1982|7|17|155
Delonte Taylor|San Antonio Spurs|North Texas|1982|7|18|156
Allen Rayhorn|Seattle SuperSonics|Northern Illinois|1982|7|19|157
Bobby Austin|Milwaukee Bucks|Cincinnati|1982|7|20|158
Maurice Williams|Los Angeles Lakers|Southern California|1982|7|21|159
Keith Hilliard|Philadelphia 76ers|Missouri State|1982|7|22|160
Phil Collins|Boston Celtics|West Virginia|1982|7|23|161
Monty Knight|Cleveland Cavaliers|Virginia Commonwealth|1982|8|1|162
Jacques Tuz|San Diego Clippers|Colorado|1982|8|2|163
Rick Campbell|Utah Jazz|Middle Tennessee State|1982|8|3|164
Keith Peterson|Dallas Mavericks|Arkansas|1982|8|4|165
Ed Nealy|Kansas City Kings|Kansas State|1982|8|5|166
Dan Terwilliger|New York Knicks|Siena|1982|8|6|167
Mike Burns|Chicago Bulls|Nevada-Las Vegas|1982|8|7|168
Donald Reese|Indiana Pacers|Bradley|1982|8|8|169
Brian Nyenhuis|Detroit Pistons|Marquette|1982|8|9|170
Dave Porter|Portland Trail Blazers|Western Oregon|1982|8|10|171
James Ratiff|Atlanta Hawks|Howard|1982|8|11|172
Ken Luck|Washington Bullets|Delaware|1982|8|12|173
Otis Jackson|New Jersey Nets|Memphis|1982|8|13|174
Mark King|Golden State Warriors|Florida Southern|1982|8|14|175
Dan Callandrillo|Houston Rockets|Seton Hall|1982|8|15|176
Rick Elrod|Phoenix Suns|Georgetown (KY)|1982|8|16|177
Donny Speer|Denver Nuggets|Alabama-Birmingham|1982|8|17|178
Chris Faggi|San Antonio Spurs|Memphis|1982|8|18|179
Steve Burks|Seattle SuperSonics|Washington|1982|8|19|180
Bryan Leonard|Milwaukee Bucks|Illinois|1982|8|20|181
Micah Blunt|Los Angeles Lakers|Tulane|1982|8|21|182
Donald Seals|Philadelphia 76ers|Jackson State|1982|8|22|183
Ed Spriggs|Boston Celtics|Georgetown|1982|8|23|184
Tony Hafley|Cleveland Cavaliers|South Alabama|1982|9|1|185
John Hegwood|San Diego Clippers|San Francisco|1982|9|2|186
Riley Clarida|Utah Jazz|Long Island-Brooklyn|1982|9|3|187
Ralph McPherson|Dallas Mavericks|Texas-Arlington|1982|9|4|188
Jack Moore|Kansas City Kings|Nebraska|1982|9|5|189
Merle Scott|New York Knicks|South Carolina State|1982|9|6|190
Skip Dillard|Chicago Bulls|DePaul|1982|9|7|191
Mike Scearce|Indiana Pacers|Purdue|1982|9|8|192
Kevin Smith|Detroit Pistons|Michigan State|1982|9|9|193
Pierre Bland|Atlanta Hawks|Elizabeth City State|1982|9|10|194
Mark Dearborn|Portland Trail Blazers|Saint Joseph's|1982|9|11|195
James Terry|Washington Bullets|Howard|1982|9|12|196
Gary Johnson|New Jersey Nets|Oral Roberts|1982|9|13|197
Nick Morken|Golden State Warriors|Tennessee|1982|9|14|198
