Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Vonteego Cummings|Indiana Pacers|Pittsburgh|1999|1|26|26
Jumaine Jones|Atlanta Hawks|Georgia|1999|1|27|27
Scott Padgett|Utah Jazz|Kentucky|1999|1|28|28
Leon Smith|San Antonio Spurs|Martin Luther King|1999|1|29|29
John Celestand|Los Angeles Lakers|Villanova|1999|2|1|30
Rico Hill|Los Angeles Clippers|Illinois State|1999|2|2|31
Michael Ruffin|Chicago Bulls|Tulsa|1999|2|3|32
Chris Herren|Denver Nuggets|Fresno State|1999|2|4|33
Evan Eschmeyer|New Jersey Nets|Northwestern|1999|2|5|34
Calvin Booth|Washington Wizards|Penn State|1999|2|6|35
Wang Zhi-zhi|Dallas Mavericks|Bayi Rockets (China)|1999|2|7|36
Obinna Ekezie|Vancouver Grizzlies|Maryland|1999|2|8|37
Laron Profit|Orlando Magic|Maryland|1999|2|9|38
A.J. Bramlett|Cleveland Cavaliers|Arizona|1999|2|10|39
Gordan Giricek|Dallas Mavericks|KK Cibona (Croatia)|1999|2|11|40
Francisco Elson|Denver Nuggets|California|1999|2|12|41
Louis Bullock|Minnesota Timberwolves|Michigan|1999|2|13|42
Lee Nailon|Charlotte Hornets|Texas Christian|1999|2|14|43
Tyrone Washington|Houston Rockets|Mississippi State|1999|2|15|44
Ryan Robertson|Sacramento Kings|Kansas|1999|2|16|45
J.R. Koch|New York Knicks|Iowa|1999|2|17|46
Todd MacCulloch|Philadelphia 76ers|Washington|1999|2|18|47
Galen Young|Milwaukee Bucks|North Carolina-Charlotte|1999|2|19|48
Lari Ketner|Chicago Bulls|Massachusetts|1999|2|20|49
Venson Hamilton|Houston Rockets|Nebraska|1999|2|21|50
Antwain Smith|Vancouver Grizzlies|Saint Paul's|1999|2|22|51
Roberto Bergersen|Portland Trail Blazers|Boise State|1999|2|23|52
Rodney Buford|Miami Heat|Creighton|1999|2|24|53
Melvin Levett|Detroit Pistons|Cincinnati|1999|2|25|54
Kris Clack|Boston Celtics|Texas|1999|2|26|55
Tim Young|Golden State Warriors|Stanford|1999|2|27|56
Manu Ginobili|San Antonio Spurs|Viola Reggio Calabria (Italy)|1999|2|28|57
Eddie Lucas|Utah Jazz|Virginia Tech|1999|2|29|58
Michael Olowokandi|Los Angeles Clippers|Pacific|1998|1|1|1
Mike Bibby|Vancouver Grizzlies|Arizona|1998|1|2|2
Raef LaFrentz|Denver Nuggets|Kansas|1998|1|3|3
Antawn Jamison|Toronto Raptors|North Carolina|1998|1|4|4
Vince Carter|Golden State Warriors|North Carolina|1998|1|5|5
Robert Traylor|Dallas Mavericks|Michigan|1998|1|6|6
Jason Williams|Sacramento Kings|Florida|1998|1|7|7
Larry Hughes|Philadelphia 76ers|Saint Louis|1998|1|8|8
Dirk Nowitzki|Milwaukee Bucks|DJK Wurzburg (Germany)|1998|1|9|9
Paul Pierce|Boston Celtics|Kansas|1998|1|10|10
Bonzi Wells|Detroit Pistons|Ball State|1998|1|11|11
Michael Doleac|Orlando Magic|Utah|1998|1|12|12
Keon Clark|Orlando Magic|Nevada-Las Vegas|1998|1|13|13
Michael Dickerson|Houston Rockets|Arizona|1998|1|14|14
Matt Harpring|Orlando Magic|Georgia Tech|1998|1|15|15
Bryce Drew|Houston Rockets|Valparaiso|1998|1|16|16
Rasho Nesterovic|Minnesota Timberwolves|Virtus Pallacanestro Bologna (Italy)|1998|1|17|17
