Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Ricky Ross|Washington Bullets|Tulsa|1984|3|6|53
Roosevelt Chapman|Kansas City Kings|Dayton|1984|3|7|54
Lewis Jackson|Golden State Warriors|Alabama State|1984|3|8|55
Jeff Allen|Kansas City Kings|St. John's (NY)|1984|3|9|56
Joe Binion|San Antonio Spurs|North Carolina A&T|1984|3|10|57
Bobby Parks|Atlanta Hawks|Memphis|1984|3|11|58
Murray Jarman|Phoenix Suns|Clemson|1984|3|12|59
Leonard Mitchell|Cleveland Cavaliers|Louisiana State|1984|3|13|60
Jeff Cross|Dallas Mavericks|Maine|1984|3|14|61
David Pope|Utah Jazz|Norfolk State|1984|3|15|62
Yommy Sangodeyi|New Jersey Nets|Sam Houston State|1984|3|16|63
Curtis Green|New York Knicks|Southern Mississippi|1984|3|17|64
Tim Kearney|Portland Trail Blazers|West Virginia|1984|3|18|65
Kevin Springman|Detroit Pistons|Saint Joseph's|1984|3|19|66
Vernon Delancy|Milwaukee Bucks|Florida|1984|3|20|67
Butch Graves|Philadelphia 76ers|Yale|1984|3|21|68
George Singleton|Los Angeles Lakers|Furman|1984|3|22|69
Rick Carlisle|Boston Celtics|Virginia|1984|3|23|70
Ralph Jackson|Indiana Pacers|California-Los Angeles|1984|4|1|71
Melvin Johnson|Chicago Bulls|North Carolina-Charlotte|1984|4|2|72
Art Aaron|Cleveland Cavaliers|Northwestern|1984|4|3|73
Willie Jackson|Houston Rockets|Centenary (LA)|1984|4|4|74
Marc Glass|Los Angeles Clippers|Montana|1984|4|5|75
Jim Grandholm|Washington Bullets|South Florida|1984|4|6|76
Mark Halsel|Chicago Bulls|Northeastern|1984|4|7|77
John Devereaux|San Antonio Spurs|Ohio|1984|4|8|78
Karl Tilleman|Denver Nuggets|Calgary (CAN)|1984|4|9|79
Carl Henry|Kansas City Kings|Kansas|1984|4|10|80
Dickie Beal|Atlanta Hawks|Kentucky|1984|4|11|81
Jeff Collins|Phoenix Suns|Nevada-Las Vegas|1984|4|12|82
Jeff Jenkins|Seattle SuperSonics|Xavier|1984|4|13|83
John Horrocks|Dallas Mavericks|North Texas|1984|4|14|84
Hank Cornley|New Jersey Nets|Illinois State|1984|4|15|85
Jim Rowinski|Utah Jazz|Purdue|1984|4|16|86
Bob Thornton|New York Knicks|California-Irvine|1984|4|17|87
Brett Applegate|Portland Trail Blazers|Brigham Young|1984|4|18|88
Phillip Smith|Detroit Pistons|New Mexico|1984|4|19|89
Ozell Jones|San Antonio Spurs|Cal State-Fullerton|1984|4|20|90
Earl Harrison|Philadelphia 76ers|Morehead State|1984|4|21|91
John Revelli|Los Angeles Lakers|Stanford|1984|4|22|92
Kevin Mullin|Boston Celtics|Princeton|1984|4|23|93
Gene Smith|Indiana Pacers|Georgetown|1984|5|1|94
Lamont Robinson|Chicago Bulls|Lamar|1984|5|2|95
Vince Hinchen|Cleveland Cavaliers|Boise State|1984|5|3|96
Al McClain|Houston Rockets|New Hampshire|1984|5|4|97
Alonza Allen|Los Angeles Clippers|Louisiana-Lafayette|1984|5|5|98
Cohn Irish|Washington Bullets|Bowling Green|1984|5|6|99
Eric Richardson|San Antonio Spurs|Alabama|1984|5|7|100
Steve Bartek|Golden State Warriors|Doane|1984|5|8|101
Jim Foster|Kansas City Kings|South Carolina|1984|5|9|102
