Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Vincent White|Detroit Pistons|Savannah State|1971|5|11|79
Richard Hood|Philadelphia 76ers|Phillips|1971|5|12|80
Lee Dedmon|Los Angeles Lakers|North Carolina|1971|5|13|81
Kenneth Gardner|Phoenix Suns|Utah|1971|5|14|82
Larry Weatherford|Chicago Bulls|Purdue|1971|5|15|83
Bob Kissane|Phoenix Suns|Holy Cross|1971|5|16|84
Barry Nelson|Milwaukee Bucks|Duquesne|1971|5|17|85
Mike Childress|Cleveland Cavaliers|Colorado State|1971|6|1|86
Glen Summors|Buffalo Braves|Gannon|1971|6|2|87
Jim Day|Portland Trail Blazers|Morehead State|1971|6|3|88
Gil McGregor|Cincinnati Royals|Wake Forest|1971|6|4|89
Willie Humes|Atlanta Hawks|Idaho|1971|6|5|90
Mike Neciase|Seattle SuperSonics|William Carey|1971|6|6|91
Garry Reist|Houston Rockets|Rice|1971|6|7|92
Charlie Johnson|Golden State Warriors|California|1971|6|8|93
John Novey|Baltimore Bullets|Mount St. Mary's|1971|6|9|94
Thorpe Weber|Boston Celtics|Vanderbilt|1971|6|10|95
Jim Larranga|Detroit Pistons|Providence|1971|6|11|96
Jake Jones|Philadelphia 76ers|Assumption|1971|6|12|97
Bill Brickhouse|Los Angeles Lakers|Montana State|1971|6|13|98
William Graham|Phoenix Suns|Kentucky State|1971|6|14|99
Jim England|Chicago Bulls|Tennessee|1971|6|15|100
Bill Mainor|New York Knicks|Fordham|1971|6|16|101
Ed Kemp|Milwaukee Bucks|Adams State|1971|6|17|102
Tom Bush|Cleveland Cavaliers|Drake|1971|7|1|103
Randy Smith|Buffalo Braves|Buffalo State|1971|7|2|104
Gene Knolle|Portland Trail Blazers|Texas Tech|1971|7|3|105
Ollie Shannon|Cincinnati Royals|Minnesota|1971|7|4|106
Mike Jordan|Atlanta Hawks|Savannah State|1971|7|5|107
John Duncan|Seattle SuperSonics|Kentucky Wesleyan|1971|7|6|108
Eric Hill|Houston Rockets|Minnesota|1971|7|7|109
Ken May|Golden State Warriors|Dayton|1971|7|8|110
Dennis Hogg|Baltimore Bullets|Washington State|1971|7|9|111
Skip Young|Boston Celtics|Florida State|1971|7|10|112
Steve Kelly|Detroit Pistons|Brigham Young|1971|7|11|113
Curtis Ford|Philadelphia 76ers|Northeastern State|1971|7|12|114
Gene Gathers|Los Angeles Lakers|Bradley|1971|7|13|115
Ralph Brateris|Phoenix Suns|College of New Jersey|1971|7|14|116
Artis Gilmore|Chicago Bulls|Jacksonville|1971|7|15|117
Danny Davis|New York Knicks|Henderson State|1971|7|16|118
Gene Phillips|Milwaukee Bucks|Southern Methodist|1971|7|17|119
Charlie Davis|Cleveland Cavaliers|Wake Forest|1971|8|1|120
Craig Love|Buffalo Braves|Ohio|1971|8|2|121
John Sutter|Portland Trail Blazers|Tulane|1971|8|3|122
Frank Fitzgerald|Cincinnati Royals|Boston College|1971|8|4|123
Jim Smith|Atlanta Hawks|Kentucky Wesleyan|1971|8|5|124
Chuck Lowery|Seattle SuperSonics|Puget Sound|1971|8|6|125
Rich Katherman|Houston Rockets|Duke|1971|8|7|126
Jim Haderlein|Golden State Warriors|Loyola-Marymount|1971|8|8|127
Russell Golden|Baltimore Bullets|Jackson State|1971|8|9|128
