Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Eric Riley|Dallas Mavericks|Michigan|1993|2|6|33
Darnell Mee|Golden State Warriors|Western Kentucky|1993|2|7|34
Ed Stokes|Miami Heat|Arizona|1993|2|8|35
John Best|New Jersey Nets|Tennessee Tech|1993|2|9|36
Nick Van Exel|Los Angeles Lakers|Cincinnati|1993|2|10|37
Conrad McRae|Washington Bullets|Syracuse|1993|2|11|38
Thomas Hill|Indiana Pacers|Duke|1993|2|12|39
Richard Manning|Atlanta Hawks|Washington|1993|2|13|40
Anthony Reed|Chicago Bulls|Tulane|1993|2|14|41
Adonis Jordan|Seattle SuperSonics|Kansas|1993|2|15|42
Josh Grant|Denver Nuggets|Utah|1993|2|16|43
Alex Holcombe|Sacramento Kings|Baylor|1993|2|17|44
Bryon Russell|Utah Jazz|Long Beach State|1993|2|18|45
Richard Petruska|Houston Rockets|California-Los Angeles|1993|2|19|46
Chris Whitney|San Antonio Spurs|Clemson|1993|2|20|47
Kevin Thompson|Portland Trail Blazers|North Carolina State|1993|2|21|48
Mark Buford|Phoenix Suns|Mississippi Valley State|1993|2|22|49
Marcelo Nicola|Houston Rockets|Saski Baskonia (Spain)|1993|2|23|50
Spencer Dunkley|Indiana Pacers|Delaware|1993|2|24|51
Mike Peplowski|Sacramento Kings|Michigan State|1993|2|25|52
Leonard White|Los Angeles Clippers|Southern University|1993|2|26|53
Byron Wilson|Phoenix Suns|Utah|1993|2|27|54
Shaquille O'Neal|Orlando Magic|Louisiana State|1992|1|1|1
Alonzo Mourning|Charlotte Hornets|Georgetown|1992|1|2|2
Christian Laettner|Minnesota Timberwolves|Duke|1992|1|3|3
Jim Jackson|Dallas Mavericks|Ohio State|1992|1|4|4
LaPhonso Ellis|Denver Nuggets|Notre Dame|1992|1|5|5
Tom Gugliotta|Washington Bullets|North Carolina State|1992|1|6|6
Walt Williams|Sacramento Kings|Maryland|1992|1|7|7
Todd Day|Milwaukee Bucks|Arkansas|1992|1|8|8
Clar. Weatherspoon|Philadelphia 76ers|Southern Mississippi|1992|1|9|9
Adam Keefe|Atlanta Hawks|Stanford|1992|1|10|10
Robert Horry|Houston Rockets|Alabama|1992|1|11|11
Harold Miner|Miami Heat|Southern California|1992|1|12|12
Bryant Stith|Denver Nuggets|Virginia|1992|1|13|13
Malik Sealy|Indiana Pacers|St. John's (NY)|1992|1|14|14
Anthony Peeler|Los Angeles Lakers|Missouri|1992|1|15|15
Randy Woods|Los Angeles Clippers|La Salle|1992|1|16|16
Doug Christie|Seattle SuperSonics|Pepperdine|1992|1|17|17
Tracy Murray|San Antonio Spurs|California-Los Angeles|1992|1|18|18
Don MacLean|Detroit Pistons|California-Los Angeles|1992|1|19|19
Hubert Davis|New York Knicks|North Carolina|1992|1|20|20
Jon Barry|Boston Celtics|Georgia Tech|1992|1|21|21
Oliver Miller|Phoenix Suns|Arkansas|1992|1|22|22
Lee Mayberry|Milwaukee Bucks|Arkansas|1992|1|23|23
Latrell Sprewell|Golden State Warriors|Alabama|1992|1|24|24
Elmore Spencer|Los Angeles Clippers|Nevada-Las Vegas|1992|1|25|25
Dave Johnson|Portland Trail Blazers|Syracuse|1992|1|26|26
Byron Houston|Chicago Bulls|Oklahoma State|1992|1|27|27
Marlon Maxey|Minnesota Timberwolves|Texas-El Paso|1992|2|1|28
