Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Bob Heim|Baltimore Bullets|Xavier|1954|6|1|46
Bob Carney|Milwaukee Hawks|Bradley|1954|6|2|47
Len Winogard|Philadelphia Warriors|Brandeis|1954|6|3|48
Charles Kraak|Ft. Wayne Zollner Pistons|Indiana|1954|6|4|49
Otto Krieghauser|Boston Celtics|Washington (MO)|1954|6|5|50
Norman Pott|Syracuse Nationals|Wheaton (IL)|1954|6|6|51
James Davis|Rochester Royals|St. John's (NY)|1954|6|7|52
Ron Rivers|New York Knicks|Wyoming|1954|6|8|53
Nick Revon|Minneapolis Lakers|Southern Mississippi|1954|6|9|54
Joe Pehanick|Baltimore Bullets|Seattle|1954|7|1|55
Alan Kelley|Milwaukee Hawks|Kansas|1954|7|2|56
Bob Brady|Philadelphia Warriors|San Diego State|1954|7|3|57
Bernie Janicki|Ft. Wayne Zollner Pistons|Duke|1954|7|4|58
Paul Estergaard|Boston Celtics|Bradley|1954|7|5|59
Gus Levett|Syracuse Nationals|Franklin & Marshall|1954|7|6|60
Bill Hull|Rochester Royals|Utah State|1954|7|7|61
Solly Walker|New York Knicks|St. John's (NY)|1954|7|8|62
Dan Finch|Minneapolis Lakers|Vanderbilt|1954|7|9|63
Harry Brooks|Baltimore Bullets|Seton Hall|1954|8|1|64
Dick Nunneley|Milwaukee Hawks|Tulsa|1954|8|2|65
Bob Hodges|Philadelphia Warriors|East Carolina|1954|8|3|66
Don Bielke|Ft. Wayne Zollner Pistons|Valparaiso|1954|8|4|67
Jim Young|Boston Celtics|Santa Clara|1954|8|5|68
Mel Besdin|Syracuse Nationals|Syracuse|1954|8|6|69
Paul Morrow|Rochester Royals|Wisconsin|1954|8|7|70
Cob Jarvis|New York Knicks|Mississippi State|1954|8|8|71
Bob Hopkins|Minneapolis Lakers|Point Loma Nazarene|1954|8|9|72
Ron Goerrs|Baltimore Bullets|Concord|1954|9|1|73
Hal Cervini|Milwaukee Hawks|Tulane|1954|9|2|74
Vince Leta|Philadelphia Warriors|Lycoming|1954|9|3|75
Joel Hittleman|Ft. Wayne Zollner Pistons|Loyola-Maryland|1954|9|4|76
Fletcher Johnson|Syracuse Nationals|Duquesne|1954|9|5|77
Roy Irvin|Rochester Royals|Southern California|1954|9|6|78
Henry Duckham|New York Knicks|Polytechnic (NY)|1954|9|7|79
Dick Garmaker|Minneapolis Lakers|Minnesota|1954|9|8|80
Gary Shivers|Baltimore Bullets|Houston|1954|10|1|81
Joe Bertrand|Milwaukee Hawks|Notre Dame|1954|10|2|82
Bill Sullivan|Philadelphia Warriors|Notre Dame|1954|10|3|83
Phil Larson|Ft. Wayne Zollner Pistons|Brigham Young|1954|10|4|84
Tony Daukas|Boston Celtics|Boston College|1954|10|5|85
Jack Davidson|Syracuse Nationals|California-Los Angeles|1954|10|6|86
Ed Parchinski|Rochester Royals|Fordham|1954|10|7|87
John Clune|New York Knicks|Navy|1954|10|8|88
John Blever|Minneapolis Lakers|Northwestern|1954|10|9|89
Elliott Karver|Baltimore Bullets|George Washington|1954|11|1|90
Jerry Domerschick|Milwaukee Hawks|City College of New York|1954|11|2|91
Frank O'Hara|Philadelphia Warriors|La Salle|1954|11|3|92
Forrest Jackson|Ft. Wayne Zollner Pistons|Taylor (IN)|1954|11|4|93
Bill Johnson|Boston Celtics|Nebraska|1954|11|5|94
Jim Paxson|Rochester Royals|Dayton|1954|11|6|95
