Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Claude Virden|Seattle SuperSonics|Murray State|1970|9|6|142
Tom Lagodich|Cleveland Cavaliers|Kent State|1970|9|7|143
Billy Gaskins|Portland Trail Blazers|Oregon|1970|9|8|144
Larry Duckworth|Buffalo Braves|Henderson State|1970|9|9|145
Carl Ashley|Phoenix Suns|Wyoming|1970|9|10|146
Glen Johnson|Chicago Bulls|Jackson State|1970|9|11|147
Mike Hauer|Philadelphia 76ers|Saint Joseph's|1970|9|12|148
Bobby Sands|Los Angeles Lakers|Pepperdine|1970|9|13|149
Larry Jackson|Atlanta Hawks|Sul Ross State|1970|9|14|150
Will Hetzel|Baltimore Bullets|Maryland|1970|9|15|151
Joe Hamilton|Milwaukee Bucks|North Texas|1970|9|16|152
Walker Banks|New York Knicks|Western Kentucky|1970|9|17|153
Toke Coleman|San Diego Rockets|Eastern Kentucky|1970|10|1|154
Coby Dietrick|San Francisco Warriors|San Jose State|1970|10|2|155
Bruce Chapman|Detroit Pistons|Nevada-Reno|1970|10|3|156
Mike Maloy|Boston Celtics|Davidson|1970|10|4|157
Carl Johnson|Cincinnati Royals|Gustavus Adolphus|1970|10|5|158
Chuck Lloyd|Seattle SuperSonics|Yankton|1970|10|6|159
Joe Taylor|Buffalo Braves|Dillard|1970|10|7|160
Israel Oliver|Portland Trail Blazers|Elizabeth City State|1970|10|8|161
Ken Johnson|Cleveland Cavaliers|Indiana|1970|10|9|162
Gerhardus Schreur|Phoenix Suns|Arizona State|1970|10|10|163
Dale Blaut|Chicago Bulls|West Texas A&M|1970|10|11|164
Gordon Stiles|Philadelphia 76ers|American|1970|10|12|165
Kindell Stephens|Los Angeles Lakers|Fisk|1970|10|13|166
Manuel Raga|Atlanta Hawks|Pallacanestro Varese (Italy)|1970|10|14|167
Ron Becker|Baltimore Bullets|New Mexico|1970|10|15|168
Bob Seemer|Milwaukee Bucks|Georgia Tech|1970|10|16|169
Don Curnutt|New York Knicks|Miami (FL)|1970|10|17|170
Ron Belton|San Diego Rockets|Bellarmine|1970|11|1|171
Rick Anhauser|Detroit Pistons|North Carolina State|1970|11|2|172
Ted Hillary|Cincinnati Royals|Saint Joseph's (IN)|1970|11|3|173
Andy Owens|Seattle SuperSonics|Florida|1970|11|4|174
Dave Schneider|Cleveland Cavaliers|Wayne State (MI)|1970|11|5|175
Don McClemore|Portland Trail Blazers|Bowling Green|1970|11|6|176
Dick Walker|Buffalo Braves|Wake Forest|1970|11|7|177
Jim Walls|Phoenix Suns|Clark Atlanta|1970|11|8|178
Doug Howard|Chicago Bulls|Brigham Young|1970|11|9|179
David Whitley|Philadelphia 76ers|Tufts|1970|11|10|180
Bob Duklet|Los Angeles Lakers|Boston College|1970|11|11|181
Dino Meneghin|Atlanta Hawks|Pallacanestro Varese (Italy)|1970|11|12|182
Mel Bell|Baltimore Bullets|Houston|1970|11|13|183
Jim Brooks|San Diego Rockets|Nebraska|1970|12|1|184
Don Ogletree|Detroit Pistons|Cincinnati|1970|12|2|185
Reggie Roach|Cincinnati Royals|Virginia State|1970|12|3|186
John Brunson|Seattle SuperSonics|Furman|1970|12|4|187
Paul Adams|Portland Trail Blazers|Central Washington|1970|12|5|188
Oliver Taylor|Cleveland Cavaliers|Houston|1970|12|6|189
Ric Cobb|Phoenix Suns|Marquette|1970|12|7|190
Booker Brown|Chicago Bulls|Middle Tennessee State|1970|12|8|191
