Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Bill Ebben|Detroit Pistons|Detroit Mercy|1957|3|2|18
Jim Spivey|Minneapolis Lakers|Southeastern Oklahoma State|1957|3|3|19
John Smyth|St. Louis Hawks|Notre Dame|1957|3|4|20
Gary Clark|New York Knicks|Syracuse|1957|3|5|21
Angelo Lombardo|Philadelphia Warriors|Manhattan|1957|3|6|22
Vince Cohen|Syracuse Nationals|Syracuse|1957|3|7|23
Chuck Schramm|Boston Celtics|Western Illinois|1957|3|8|24
Jed Dormeyer|Cincinnati Royals|Minnesota|1957|4|1|25
Kurt Englebert|Detroit Pistons|Saint Joseph's|1957|4|2|26
George Brown|Minneapolis Lakers|Wayne State (MI)|1957|4|3|27
Hank Nowak|St. Louis Hawks|Canisius|1957|4|4|28
Rayford Wells|New York Knicks|Lenoir-Rhyne|1957|4|5|29
Ray Radziszewski|Philadelphia Warriors|Saint Joseph's|1957|4|6|30
Jerry Mallett|Syracuse Nationals|Baylor|1957|4|7|31
Jim Ashmore|Boston Celtics|Mississippi State|1957|4|8|32
Stewart Murray|Cincinnati Royals|Lafayette|1957|5|1|33
Ron Kramer|Detroit Pistons|Michigan|1957|5|2|34
Gary Thompson|Minneapolis Lakers|Iowa State|1957|5|3|35
Al Rochelle|St. Louis Hawks|Vanderbilt|1957|5|4|36
Lee Marshall|New York Knicks|Washington & Lee|1957|5|5|37
Jim Radcliffe|Philadelphia Warriors|Lafayette|1957|5|6|38
Frank Nimmo|Syracuse Nationals|Cincinnati|1957|5|7|39
Grady Wallace|Boston Celtics|South Carolina|1957|5|8|40
John Maglio|Cincinnati Royals|North Carolina State|1957|6|1|41
Walt Acamushko|Detroit Pistons|St. Francis Brooklyn|1957|6|2|42
Phil Murrell|Minneapolis Lakers|Drake|1957|6|3|43
Raymond Downs|St. Louis Hawks|Texas|1957|6|4|44
Jim Humphreys|New York Knicks|Saint Michael's|1957|6|5|45
Alonzo Lewis|Philadelphia Warriors|La Salle|1957|6|6|46
Lyndon Lee|Syracuse Nationals|Oklahoma City|1957|6|7|47
Maury King|Boston Celtics|Kansas|1957|6|8|48
Chet Forte|Cincinnati Royals|Columbia|1957|7|1|49
Carl Boldt|Detroit Pistons|San Francisco|1957|7|2|50
George Ferguson|Minneapolis Lakers|Michigan|1957|7|3|51
Mason Pope|St. Louis Hawks|Kentucky Wesleyan|1957|7|4|52
Max Jameson|Philadelphia Warriors|Kentucky State|1957|7|5|53
Dick Gaines|Syracuse Nationals|Seton Hall|1957|7|6|54
Dick Brott|Boston Celtics|Denver|1957|7|7|55
Bob Daniels|Cincinnati Royals|Western Kentucky|1957|8|1|56
Doug Bolstorff|Detroit Pistons|Minnesota|1957|8|2|57
John Haaven|Minneapolis Lakers|North Dakota|1957|8|3|58
Bill Darragh|St. Louis Hawks|Louisville|1957|8|4|59
Woody Sauldsberry|Philadelphia Warriors|Texas Southern|1957|8|5|60
Cebe Price|Syracuse Nationals|Marshall|1957|8|6|61
Bill Von Weyhe|Boston Celtics|Rhode Island|1957|8|7|62
Dick Heise|Cincinnati Royals|DePaul|1957|9|1|63
Bob Lazor|Detroit Pistons|Pittsburgh|1957|9|2|64
Jim Sutton|Minneapolis Lakers|North Dakota State|1957|9|3|65
Calvin Grosscup|St. Louis Hawks|Tulane|1957|9|4|66
Steve Hamilton|Philadelphia Warriors|Morehead State|1957|9|5|67
