Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Matt Guokas|Philadelphia 76ers|Saint Joseph's|1966|1|9|9
Dave Schellhase|Chicago Bulls|Purdue|1966|1|10|10
Henry Akin|New York Knicks|Morehead State|1966|2|1|11
Dorie Murrey|Detroit Pistons|Detroit Mercy|1966|2|2|12
Joe Ellis|San Francisco Warriors|San Francisco|1966|2|3|13
Dick Snyder|St. Louis Hawks|Davidson|1966|2|4|14
Neil Johnson|Baltimore Bullets|Creighton|1966|2|5|15
Jerry Lee Wells|Cincinnati Royals|Oklahoma City|1966|2|6|16
Hank Finkel|Los Angeles Lakers|Dayton|1966|2|7|17
Leon Clark|Boston Celtics|Wyoming|1966|2|8|18
Bill Melchionni|Philadelphia 76ers|Villanova|1966|2|9|19
Erwin Mueller|Chicago Bulls|San Francisco|1966|2|10|20
Stew Johnson|New York Knicks|Murray State|1966|3|1|21
Ollie Darden|Detroit Pistons|Michigan|1966|3|2|22
Stephen Chubin|San Francisco Warriors|Rhode Island|1966|3|3|23
Tom Kron|St. Louis Hawks|Kentucky|1966|3|4|24
Dave Wagnon|Baltimore Bullets|Idaho State|1966|3|5|25
Jim Ware|Cincinnati Royals|Oklahoma City|1966|3|6|26
John Block|Los Angeles Lakers|Southern California|1966|3|7|27
Gary Turner|Boston Celtics|Texas Christian|1966|3|8|28
Donnie Freeman|Philadelphia 76ers|Illinois|1966|3|9|29
Ed Bodkin|Chicago Bulls|Eastern Kentucky|1966|3|10|30
Lee DeFore|New York Knicks|Auburn|1966|4|1|31
Jeffrey Congdon|Detroit Pistons|Brigham Young|1966|4|2|32
Stephen Vacendak|San Francisco Warriors|Duke|1966|4|3|33
Bob McIntyre|St. Louis Hawks|St. John's (NY)|1966|4|4|34
George Peeples|Baltimore Bullets|Iowa|1966|4|5|35
Charles Schmaus|Cincinnati Royals|Virginia Military Institute|1966|4|6|36
Archie Clark|Los Angeles Lakers|Minnesota|1966|4|7|37
John Austin|Boston Celtics|Boston College|1966|4|8|38
Ken Wilburn|Philadelphia 76ers|Central State (OH)|1966|4|9|39
Jim Williams|Chicago Bulls|Temple|1966|4|10|40
Ron Jackson|New York Knicks|Clark Atlanta|1966|5|1|41
William Pickens|Detroit Pistons|Georgia Southern|1966|5|2|42
Tom Kerwin|San Francisco Warriors|Centenary (LA)|1966|5|3|43
Dick Nemelka|St. Louis Hawks|Brigham Young|1966|5|4|44
John Beasley|Baltimore Bullets|Texas A&M|1966|5|5|45
John Jones|Baltimore Bullets|Louisiana State|1966|5|6|46
Richard Parks|Cincinnati Royals|Saint Louis|1966|5|7|47
Stan Washington|Los Angeles Lakers|Michigan State|1966|5|8|48
Tom Duff|Philadelphia 76ers|Saint Joseph's|1966|5|9|49
Larry Humes|Chicago Bulls|Evansville|1966|5|10|50
George Fisher|New York Knicks|Utah|1966|6|1|51
Carroll Hooser|Detroit Pistons|Southern Methodist|1966|6|2|52
Jim Pitts|San Francisco Warriors|Northwestern|1966|6|3|53
Lonnie Wright|St. Louis Hawks|Colorado State|1966|6|4|54
Jeff Newman|Baltimore Bullets|Pennsylvania|1966|6|5|55
Steve Cunningham|Cincinnati Royals|Western Kentucky|1966|6|6|56
Keith Thomas|Los Angeles Lakers|Vanderbilt|1966|6|7|57
Charlie Hunter|Boston Celtics|Oklahoma City|1966|6|8|58
