Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Isaiah Wilson|Detroit Pistons|Baltimore|1971|2|12|29
Spencer Haywood|Buffalo Braves|Detroit Mercy|1971|2|13|30
Joe Bergman|Cincinnati Royals|Creighton|1971|2|14|31
Howard Porter|Chicago Bulls|Villanova|1971|2|15|32
Marvin Stewart|Philadelphia 76ers|Nebraska|1971|2|16|33
Gregg Northington|New York Knicks|Alabama State|1971|2|17|34
Willie Long|Cleveland Cavaliers|New Mexico|1971|2|18|35
Gerald Lockett|Cleveland Cavaliers|Arkansas-Pine Bluff|1971|3|1|36
Larry Steele|Portland Trail Blazers|Kentucky|1971|3|2|37
Rich Yunkus|Cincinnati Royals|Georgia Tech|1971|3|3|38
Jeff Halliburton|Atlanta Hawks|Drake|1971|3|4|39
Clifford Ray|Chicago Bulls|Oklahoma|1971|3|5|40
Jackie Ridgle|Cleveland Cavaliers|California|1971|3|6|41
Bill Smith|Portland Trail Blazers|Syracuse|1971|3|7|42
Rich Rinaldi|Baltimore Bullets|St. Peter's|1971|3|8|43
Dave Robisch|Boston Celtics|Kansas|1971|3|9|44
Marv Roberts|Detroit Pistons|Utah State|1971|3|10|45
Dave Wohl|Philadelphia 76ers|Pennsylvania|1971|3|11|46
Mike Gale|Chicago Bulls|Elizabeth City State|1971|3|12|47
Dennis Layton|Phoenix Suns|Southern California|1971|3|13|48
Dick Gibbs|Chicago Bulls|Texas-El Paso|1971|3|14|49
Ken Mayfield|New York Knicks|Tuskegee|1971|3|15|50
Gary Brell|Milwaukee Bucks|Marquette|1971|3|16|51
Cliff Harris|Cleveland Cavaliers|Hardin-Simmons|1971|4|1|52
Jimmy O'Brien|Buffalo Braves|Boston College|1971|4|2|53
Bobby Fields|Portland Trail Blazers|La Salle|1971|4|3|54
Sid Catlett|Cincinnati Royals|Notre Dame|1971|4|4|55
Jim Welch|Atlanta Hawks|Houston|1971|4|5|56
Pembroke Burrows|Seattle SuperSonics|Jacksonville|1971|4|6|57
Tom Owens|Houston Rockets|South Carolina|1971|4|7|58
Greg Gary|Golden State Warriors|St. Bonaventure|1971|4|8|59
Willie Allen|Baltimore Bullets|Miami (FL)|1971|4|9|60
Randy Denton|Boston Celtics|Duke|1971|4|10|61
Jarrett Durham|Detroit Pistons|Duquesne|1971|4|11|62
Erwin Johnson|Philadelphia 76ers|Augusta State|1971|4|12|63
Roger Brown|Los Angeles Lakers|Kansas|1971|4|13|64
Walt Szczerbiak|Phoenix Suns|George Washington|1971|4|14|65
Jim Irving|Chicago Bulls|Saint Louis|1971|4|15|66
Steve Niles|New York Knicks|Texas A&M|1971|4|16|67
Henry Smith|Milwaukee Bucks|Missouri|1971|4|17|68
Brian Mahoney|Cleveland Cavaliers|Manhattan|1971|5|1|69
Garry Nelson|Buffalo Braves|Duquesne|1971|5|2|70
Hector Blondet|Portland Trail Blazers|Murray State|1971|5|3|71
Jim Guymond|Cincinnati Royals|Eastern New Mexico|1971|5|4|72
Tyrone Marionneaux|Cincinnati Royals|Loyola (LA)|1971|5|5|73
Jeff Smith|Seattle SuperSonics|New Mexico State|1971|5|6|74
Rudy Benjamin|Houston Rockets|Michigan State|1971|5|7|75
Odis Allison|Golden State Warriors|Nevada-Las Vegas|1971|5|8|76
Don Johnson|Baltimore Bullets|Tennessee|1971|5|9|77
Greg Nelson|Houston Rockets|Jacksonville|1971|5|10|78
