Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Ray Warren|Ft. Wayne Zollner Pistons|Texas Christian|1955|0|0|0
Bob Reiter|Ft. Wayne Zollner Pistons|Missouri|1955|0|0|0
Marty Satalino|Syracuse Nationals|St. John's (NY)|1955|0|0|0
Jim Ahearn|Boston Celtics|Connecticut|1955|10|0|0
K.C. Jones|Minneapolis Lakers|San Francisco|1955|0|0|0
Frank Selvy|Baltimore Bullets|Furman|1954|1|1|1
Bob Pettit|Milwaukee Hawks|Louisiana State|1954|1|2|2
Gene Shue|Philadelphia Warriors|Maryland|1954|1|3|3
Dick Rosenthal|Ft. Wayne Zollner Pistons|Notre Dame|1954|1|4|4
Togo Palazzi|Boston Celtics|Holy Cross|1954|1|5|5
Johnny Kerr|Syracuse Nationals|Illinois|1954|1|6|6
Tom Marshall|Rochester Royals|Western Kentucky|1954|1|7|7
Jack Turner|New York Knicks|Western Kentucky|1954|1|8|8
Ed Kalafat|Minneapolis Lakers|Minnesota|1954|1|9|9
Bob Leonard|Baltimore Bullets|Indiana|1954|2|1|10
Bob Mattick|Milwaukee Hawks|Oklahoma State|1954|2|2|11
Larry Costello|Philadelphia Warriors|Niagara|1954|2|3|12
Arnold Short|Ft. Wayne Zollner Pistons|Oklahoma City|1954|2|4|13
Dwight Morrison|Boston Celtics|Idaho|1954|2|5|14
Dick Farley|Syracuse Nationals|Indiana|1954|2|6|15
Boris Nachamkin|Rochester Royals|New York University|1954|2|7|16
Richie Guerin|New York Knicks|Iona|1954|2|8|17
Al Bianchi|Minneapolis Lakers|Bowling Green|1954|2|9|18
Werner Killen|Baltimore Bullets|Lawrence Tech|1954|3|1|19
Walt Walowac|Milwaukee Hawks|Marshall|1954|3|2|20
Ben Peters|Philadelphia Warriors|Benedictine (KS)|1954|3|3|21
B. H. Born|Ft. Wayne Zollner Pistons|Kansas|1954|3|4|22
Henry Daubenschmidt|Boston Celtics|St. Francis Brooklyn|1954|3|5|23
Jim Tucker|Syracuse Nationals|Duquesne|1954|3|6|24
Lee Morton|Rochester Royals|Cornell|1954|3|7|25
Don Anielak|New York Knicks|Missouri State|1954|3|8|26
Don Lance|Minneapolis Lakers|Rice|1954|3|9|27
Burt Spice|Baltimore Bullets|Toledo|1954|4|1|28
Phil Martin|Milwaukee Hawks|Toledo|1954|4|2|29
Chuck Noble|Philadelphia Warriors|Louisville|1954|4|3|30
Mel Thompson|Ft. Wayne Zollner Pistons|North Carolina State|1954|4|4|31
Ron Perry|Boston Celtics|Holy Cross|1954|4|5|32
Don McLane|Syracuse Nationals|Duquesne|1954|4|6|33
Art Spoelstra|Rochester Royals|Western Kentucky|1954|4|7|34
Don Lange|New York Knicks|Navy|1954|4|8|35
Gene Schwinger|Minneapolis Lakers|Rice|1954|4|9|36
Lou Scott|Baltimore Bullets|Indiana|1954|5|1|37
Paul Ebert|Milwaukee Hawks|Ohio State|1954|5|2|38
Rudy D'Emilio|Philadelphia Warriors|Duke|1954|5|3|39
Dutch Burch|Ft. Wayne Zollner Pistons|Pittsburgh|1954|5|4|40
Troy Burris|Boston Celtics|West Texas A&M|1954|5|5|41
Paul Pottenburgh|Syracuse Nationals|Siena|1954|5|6|42
Bo Erias|Rochester Royals|Niagara|1954|5|7|43
Jesse Priscock|New York Knicks|Kansas State|1954|5|8|44
Buzz Bennett|Minneapolis Lakers|Minnesota|1954|5|9|45
