Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Robin Freeman|St. Louis Hawks|Ohio State|1956|0|0|0
Elgin Baylor|Minneapolis Lakers|Seattle|1956|0|0|0
Jim Reed|St. Louis Hawks|Texas Tech|1956|0|0|0
Morris Taft|St. Louis Hawks|California-Los Angeles|1956|0|0|0
Julius McCoy|St. Louis Hawks|Michigan State|1956|0|0|0
O'Neal Weaver|Boston Celtics|Midwestern State|1956|7|0|0
Jerry Bird|Minneapolis Lakers|Kentucky|1956|0|0|0
Darrell Floyd|St. Louis Hawks|Furman|1956|0|0|0
Bob Burrow|Rochester Royals|Kentucky|1956|0|0|0
Harvey Halbrook|Syracuse Nationals|Oregon State|1956|0|0|0
Dick Ricketts|St. Louis Hawks|Duquesne|1955|1|1|1
Maurice Stokes|Rochester Royals|Saint Francis (PA)|1955|1|2|2
Jim Loscutoff|Boston Celtics|Oregon|1955|1|3|3
Ken Sears|New York Knicks|Santa Clara|1955|1|4|4
Ed Conlin|Syracuse Nationals|Fordham|1955|1|5|5
Johnny Horan|Ft. Wayne Zollner Pistons|Dayton|1955|1|6|6
Jack Stephens|St. Louis Hawks|Notre Dame|1955|2|1|7
Jack Twyman|Rochester Royals|Cincinnati|1955|2|2|8
Walter Devlin|Philadelphia Warriors|George Washington|1955|2|3|9
Dick Hemric|Boston Celtics|Wake Forest|1955|2|4|10
Jerry Mullen|New York Knicks|San Francisco|1955|2|5|11
Chuck Mencel|Minneapolis Lakers|Minnesota|1955|2|6|12
Jesse Arnelle|Ft. Wayne Zollner Pistons|Penn State|1955|2|7|13
Don Schlundt|Syracuse Nationals|Indiana|1955|2|8|14
Al Ferrari|St. Louis Hawks|Michigan State|1955|3|1|15
Ed Fleming|Rochester Royals|Niagara|1955|3|2|16
Bob Schafer|Philadelphia Warriors|Villanova|1955|3|3|17
Buzz Wilkinson|Boston Celtics|Virginia|1955|3|4|18
Guy Sparrow|New York Knicks|Detroit Mercy|1955|3|5|19
Dick Boushka|Minneapolis Lakers|Saint Louis|1955|3|6|20
Jack Sallee|Syracuse Nationals|Dayton|1955|3|7|21
Ron Bennink|Ft. Wayne Zollner Pistons|Washington State|1955|3|8|22
Burdette Haldorson|St. Louis Hawks|Colorado|1955|4|1|23
Bob McKeen|Rochester Royals|California|1955|4|2|24
Ed Wiener|Philadelphia Warriors|Tennessee|1955|4|3|25
Bart Leach|Boston Celtics|Pennsylvania|1955|4|4|26
Ed Cole|New York Knicks|Creighton|1955|4|5|27
John Miller|Minneapolis Lakers|Ohio State|1955|4|6|28
Dick Howard|Ft. Wayne Zollner Pistons|Case Western|1955|4|7|29
Frank Ehmann|Syracuse Nationals|Northwestern|1955|4|8|30
Bill Bagley|St. Louis Hawks|St. Mary's (CA)|1955|5|1|31
Bill Evans|Rochester Royals|Kentucky|1955|5|2|32
Jack Devine|Philadelphia Warriors|Villanova|1955|5|3|33
Bob Patterson|Boston Celtics|Tulsa|1955|5|4|34
Denver Brackeen|New York Knicks|Mississippi|1955|5|5|35
Bill Banks|Minneapolis Lakers|Texas State|1955|5|6|36
Mal Duffy|Syracuse Nationals|St. Bonaventure|1955|5|7|37
Cleo Littleton|Ft. Wayne Zollner Pistons|Wichita State|1955|5|8|38
Happy Mahfouz|Ft. Wayne Zollner Pistons|Spring Hill|1955|0|0|0
Tom Mixon|Ft. Wayne Zollner Pistons|Mercer|1955|0|0|0
